id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
s00000619,system,好意的に承知する,客が希望する食べ物 客がインドア派かアウトドア派か,魚料理 インドア,インドアで魚料理を食べたいのですね、凄く良いですね承知いたしました,魚料理をインドアで食事したいということですね、とてもいいと思います承知しました
s00000708,system,好意的に承知する,客が希望する観光の季節 客がインドア派かアウトドア派か,希望なし 特になし,観光は季節の希望はなく、アウトドアインドアどちらでもかまわないのですね、凄く良いと思います承知しました,季節の希望はなく、アウトドアインドア観光はどちらでもかまわないのですね、承知いたしました凄く良いと思います
s00000555,system,好意的に承知する,客の希望の観光時間帯 客が希望する交通手段,朝 徒歩,観光を朝徒歩でしたいのですね、承知いたしました凄く良いですね,徒歩で朝観光したいのですね、承知しましたとてもいいと思います
s00002439,system,観光地の情報を使って客におすすめする,観光地の名称 観光地での観光の所要時間 観光地におすすめな人,大田神社 30分未満 女性,大田神社は30分未満で観光できるので女性におすすめです,30分未満で観光できるので女性に大田神社はおすすめできます
s00001225,system,情報を教える,観光地の名称 観光地での観光の所要時間 観光地の定休日,出石城跡 30分以上60未満 開園期間中無休,30分以上60分未満で観光でき開園期間中は無休なのが出石城跡です,出石城跡は30分以上60分未満で観光でき開園期間中は無休です
s00001834,system,情報を教える,観光地の名称 観光地の手荷物預かりの有無 観光地の撮影可否,資生堂アートハウス あり 不可能,資生堂アートハウスは、手荷物預かりはありますが撮影は不可です,資生堂アートハウスは、撮影はできませんが手荷物預かりはあります
s00001805,system,情報を教える,観光地の名称 観光地の新型コロナウイルス感染対策 観光地のWi-Fiの有無,くりはら田園鉄道公園 不明 不明,くりはら田園鉄道公園は、新型コロナウイルス感染対策が不明でWi-Fiの有無もわかりません,新型コロナウイルス感染対策が不明でWi-Fiの有無もわからないのが、くりはら田園鉄道公園です
s00001857,system,情報を教える,観光地の名称 観光地の手荷物預かりの有無 観光地の駐車場の料金,萩・明倫学舎 あり 提携駐車場あり,萩・明倫学舎は手荷物預かりもありますし提携駐車場もあります,手荷物預かりがあり提携駐車場もあるのが萩・明倫学舎です
s00001368,system,情報を教える,観光地の名称 観光地の駐車場の有無 観光地におすすめな時期,花江茶亭 あり 春,花江茶亭は春がおすすめです、また駐車場もあります,駐車場もありますし、花江茶亭は春がおすすめです
s00001147,system,情報を教える,観光地の名称 観光地の広さ,函館浪漫館 不明,函館浪漫館は広さがわかりません。,広いかどうか不明なのが函館浪漫館です
s00002284,system,観光地の情報を使って客におすすめする,観光地の名称 観光地のジャンル 観光地におすすめな時期,鈴鹿ほたるの里 乗馬 春,鈴鹿ほたるの里は乗馬できますし特に春がおすすめです,乗馬できますし春におすすめなのが鈴鹿ほたるの里です
s00000671,system,好意的に承知する,客の希望の観光時間帯 客が希望する観光の季節,未定 春,観光の時間帯は未定でも春に観光するのは良いと思います,春に観光するのは時間帯が未定でも凄く良いですね
s00000529,system,好意的に承知する,客の趣味 客が希望する交通手段,インテリア 希望なし,インテリアが趣味で、交通手段は希望がなしというのはとてもいいと思います,交通手段の希望はなしで、インテリアが趣味というのは素晴らしいです
s00001924,system,情報を教える,観光地の名称 観光地の飲食物持ち込みの可否 観光地の広さ,つがる地球村オートキャンプ場 不可能 一日あれば十分見て回れるような広さ,つがる地球村オートキャンプ場は一日あれば十分見て回れるような広さで、飲食の持ち込みは不可です,一日あれば十分見て回れるような広さで飲食の持ち込みは不可なのが、つがる地球村オートキャンプ場です
s00001028,system,情報を教える,客の名前（※） 観光地の名称 観光地での観光の所要時間,小林 日本玩具博物館 30分以上60未満,小林さま、日本玩具博物館は所要時間30分以上60未満となります,日本玩具博物館の観光所要時間30分以上60未満です小林さま
s00001670,system,情報を教える,観光地の名称 観光地の設備 観光地の喫煙可否,鉄砲蔵 障害者への対応あり 不明,鉄砲蔵は障害者への対応はありますが、喫煙の可否はわかりません,障害者への対応はありますが、喫煙の可否はわからないのが鉄砲蔵です
s00002260,system,観光地の情報を使って客におすすめする,観光地の名称 観光地がインドアかアウトドアか,高森峠千本桜 アウトドア,高森峠千本桜はとてもアウトドアなのでおすすめできます,アウトドアなのでおすすめしたいのが高森峠千本桜です
s00000353,system,好意的に承知する,客の観光の同行者 客の希望の観光時間帯,乳幼児 希望なし,観光の時間帯は希望なしで乳幼児がいらっしゃるのですね、承知いたしました凄く良いと思います,乳幼児とともに観光して時間の希望はないのですね、分かりました凄く良いと思います
s00002568,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の設備 観光地の喫煙可否,浜名湖体験学習施設ウォット ペットへの対応なし 可能,浜名湖体験学習施設ウォットは、ペットの対応はありませんが喫煙はできます,ペットの対応はありませんが喫煙はできるのが、名湖体験学習施設ウォットです
s00001476,system,情報を教える,観光地の名称 観光地におすすめな人 観光地におすすめな時期,大江戸温泉物語日光霧降 歴史好き 秋,大江戸温泉物語日光霧降は歴好きなら秋がおすすめです,歴好きなら秋におすすめなのが、大江戸温泉物語日光霧降です
