id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
s00000885,system,質問する,客の希望の観光時間帯,?,ご希望の時間帯はございますか。,時間帯の希望はありますか。
s00001207,system,情報を教える,観光地の名称 観光地の営業時間 観光地におすすめな人,名古屋能楽堂 10時30分～21時、土・日曜、祝日は10時30分～22時 家族,名古屋能楽堂の営業時間は土日の朝10時30分から21時、祝日は22時まで、ご家族と参られるのがおすすめです。,名古屋能楽堂は土日は朝の10時半から夜の9時まで、祝日は夜の10時までが営業時間となっていて、家族と行かれるのがおすすめです。
s00002096,system,情報を教える,観光地の名称 観光地がインドアかアウトドアか 観光地の新型コロナウイルス感染対策,天宮神社 不明 不明,申し訳ございませんが、天宮神社はインドアかアウトドアの観光となるのか、そして新型コロナウイルスの感染対策が施されているのかどうかは不明になっています。,すみませんが、天宮神社の新型コロナウイルス感染対策については不明で、観覧がインドアになるのかアウトドアになるのかもわかりかねます。
s00001305,system,情報を教える,観光地の名称 観光地の車でのアクセス 観光地におすすめな時期,小城公園 山陰道出雲ICから国道9号、県道46号経由40km50分 秋,小城公園へのアクセスは山陰道出雲ICから国道9号、県道46号経由40kmで車で50分です。おすすめの季節は秋です。,小城公園は秋が良いです。アクセスは車で山陰道出雲ICから国道9号、県道46号経由40km50分ほどになります。
s00002425,system,観光地の情報を使って客におすすめする,観光地の名称 観光地での観光の所要時間 観光地の電話番号,さきたま古墳公園 90分以上 0735-65-0002,さきたま古墳公園の観覧に要する時間は90分以上が見込まれ、お電話番号は0735-65-0002です。,さきたま古墳公園の連絡先番号は0735-65-0002で、観光には90分以上かかると思われます。
s00000310,system,好意的に承知する,客の観光の同行者 客が観光にかけたい時間,家族 60分以上90分未満,ご家族を同伴され、観光には60分以上90分未満の時間をかけたいとのこと、承知いたしました。,観光には1時間から1時間半の時間をかけられ、ご家族様もご一緒されるとのこと、承知いたしました。
s00002652,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の駐車場の料金 観光地のすいている曜日，時間帯,美しの塔 310円 平日の午後,美しの塔の駐車料金は310円で、すいている時間帯は平日の午後です。,美しの塔は平日の午後がすいています。駐車場の料金は310円です。
s00000055,system,好意的に承知する,客の本日の交通手段,徒歩,徒歩で行かれるとのこと、いいですね。承知いたしました。,歩いていかれるのは、おすすめですよ。承りました。
s00001270,system,情報を教える,観光地の名称 観光地の公共交通機関でのアクセス 観光地の電話番号,名勝旧堀氏庭園 ＪＲ相模原駅南口→神奈中バス水郷田名行きで24分、バス停：ふれあい科学館前下車、徒歩すぐ 018-827-2270,名勝旧堀氏庭園の連絡先は018-827-2270で、交通機関でのアクセスはＪＲ相模原駅南口から神奈中バス水郷田名行きで24分、バス停：ふれあい科学館前下車、徒歩すぐ,名勝旧堀氏庭園への公共交通機関でのアクセスはＪＲ相模原駅南口から神奈中バス水郷田名行きで24分、バス停：ふれあい科学館前下車、徒歩すぐです。連絡先は018-827-2270です。
s00000890,system,質問する,客の名前（※） 客が希望する観光の季節,小山 ?,小山様、ご希望の季節はございますでしょうか。,それでは、小山様、観光を希望する季節はございますか。
