id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
s00000712,system,好意的に承知する,客が希望する観光の季節 客がインドア派かアウトドア派か,春 インドア,なるほど、春にインドアで過ごすのは良いですね。,良いと思います。インドアのスタイルは春にピッタリですからね。
s00000803,system,好意的に承知する,客の趣味 客の希望の観光時間帯,トランプ 午後,午後に観光ですね、了解です。トランプも楽しめる観光を探してみますね。,なるほど、趣味はトランプですね、トランプと午後の観光に合うスポットを探してみます。
s00002158,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の待ち時間,瑞巌寺 通常はあまり待たずに入場可能,こちらは瑞巌寺です。普段はあまり混雑しないので、すぐに入場できますよ。,普段はあまり混雑せず待ち時間が少ないという点でオススメは瑞巌寺です。
s00000535,system,好意的に承知する,客の希望の観光時間帯 客が希望する交通手段,未定 未定,了解しました、観光時間や交通手段はこれから考えていきましょう。,観光時間や交通手段はまだ決まっていないのですね、大丈夫ですよ。
s00001739,system,情報を教える,観光地の名称 観光地がインドアかアウトドアか 観光地の設備,望洋平キャンプ場 アウトドア 乳幼児への対応あり,望洋平キャンプ場はアウトドア向けで、乳幼児向けの設備もございます。,アウトドアで乳幼児にも対応した場所ですと、望洋平キャンプ場になりますね。
s00001720,system,情報を教える,観光地の名称 観光地の設備 観光地の新型コロナウイルス感染対策,下津井めがね橋 ペットへの対応なし 入場時のアルコール消毒とマスクの着用,こちらが下津井めがね橋です。アルコールやマスク着用などコロナ対策もしっかりしています。ペットには対応しないのでご注意ください。,ペットには対応しませんが、下津井めがね橋はアルコールやマスク着用などコロナ対策もしっかりしていますのでご安心ください。
s00001478,system,情報を教える,観光地の名称 観光地におすすめな人 観光地が雨天でも楽しめるか,みなと見晴らし台 子供 不明,みなと見晴らし台は子供でもオススメです。雨にはご注意ください。,子供でオススメなスポットはみなと見晴らし台です。雨天の対応はまだ情報がないのでこれから調べてみます。
s00002461,system,観光地の情報を使って客におすすめする,観光地の名称 観光地での観光の所要時間 観光地におすすめな時期,野間埼灯台 30分未満 春,野間埼灯台は春がオススメで、30分以内で回ることができます。,春の観光で30分以内で回れるオススメスポットは野間埼灯台です。
s00002515,system,観光地の情報を使って客におすすめする,観光地の名称 観光地のお土産 観光地の設備,彰古館 伝統工芸品 障害者への対応あり,彰古館のお土産は伝統工芸品になります。障害者の方にも対応した施設になっています。,障害者の方でも観光できる施設でオススメなのは彰古館です。伝統工芸品のお土産が名物です。
s00001073,system,情報を教える,客の名前（※） 観光地の名称 観光地の利用可能なキャッシュレス決済,石川 八ケ岳自然文化園 バーコード決済,石川様、こちらが八ケ岳自然文化園です。バーコード決済にも対応しています。,石川様、バーコード決済できる観光地の一つは、八ケ岳自然文化園になります。
s00001661,system,情報を教える,観光地の名称 観光地の設備 観光地の予約要否,五色台 障害者への対応なし 不明,五色台は障害者の方への対応はしていません。予約できるかどうかこれから調べます。,障害者の方に対応しないスポットは五色台です。
s00001135,system,情報を教える,観光地の名称 観光地の撮影可否,石川県森林公園三国山キャンプ場 不明,こちらは石川県森林公園三国山キャンプ場です。撮影できるかどうかはこれから調べてみます。,石川県森林公園三国山キャンプ場で撮影できるかどうかですね、ちょっと聞いてみます。
s00002189,system,観光地の情報を使って客におすすめする,客の名前（※） 観光地の名称 観光地におすすめな時期,武田 織々屋 冬,武田様、こちらが織々屋です。冬に行くのがオススメです。,武田様、冬にオススメなのが織々屋です。
s00000260,system,好意的に承知する,客が希望する観光ジャンル 客の観光の同行者,観光牧場・観光農園 未定,観光牧場・観光農園が希望ですね、了解しました。どんな方と行っても楽しめる観光地を探してみますね。,了解しました、ではどんな方と行っても楽しめる観光牧場・観光農園をこれから探します。
s00000740,system,好意的に承知する,客の趣味 客が観光にかけたい時間,観葉植物 希望なし,趣味は観葉植物ですか、良いですね。観葉植物のように時間を気にせず楽しめる観光をこれから探しますね。,良いですね観葉植物、それに合って時間を気にせず楽しめる観光地を探してみます。
s00002513,system,観光地の情報を使って客におすすめする,観光地の名称 観光地が雨天でも楽しめるか 観光地におすすめな時期,倉吉ふるさと工芸館 可能 秋,倉吉ふるさと工芸館は雨天でも楽しめる施設です。秋に行くのがオススメです。,秋に行くのがオススメなのは倉吉ふるさと工芸館です。雨天だった場合でも楽しむことができる施設です。
s00000844,system,好意的に承知する,客の本日の交通手段 客の本日の同行者,徒歩 乳幼児,今日は徒歩で行くのですね、赤ちゃんも楽しめる天候だと思います。,お子さんと徒歩で行くのですね。楽しんでください。
s00001928,system,情報を教える,観光地の名称 観光地の飲食物持ち込みの可否 観光地の新型コロナウイルス感染対策,二重滝 不明 不明,こちらは二重滝ですね、飲食物の持ち込みやコロナ対策などを今から調べますので少々お待ちください。,詳しい情報はこれから調べてみますが、とりあえず名前が二重滝であるのを先に伝えておきます。
s00002014,system,情報を教える,観光地の名称 観光地の予約要否 観光地の待ち時間,STONE MAGIC 不可能 通常はあまり待たずに入場可能,STONE MAGICは予約はできませんが、普段は待ち時間少なく入ることができます。,待ち時間が少なく入場しやすいのはSTONE MAGICです。予約はできませんので注意してください。
s00000307,system,好意的に承知する,客の観光の同行者 客が観光にかけたい時間,家族 希望なし,家族とじっくり旅行ですか、良いですね。,なるほど、家族と旅行は良いですね。時間を気にせずじっくり観光できるのをこれから探してみます。
