id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
s00001393,system,情報を教える,観光地の名称 観光地におすすめな人 観光地の電話番号,平和島公園 家族 0553-44-0645,平和島公園は家族にお勧めで、電話番号は0553-44-0645になります。,家族にお勧めなのが、0553-44-0645の平和島公園になります。
s00000088,system,好意的に承知する,客の名前（※） 客が希望する観光の季節,鈴木 冬,鈴木様は冬がお好きなようと伺っております。,お話では、鈴木様は冬がお好きなようですね。
s00001557,system,情報を教える,観光地の名称 観光地の飲食物持ち込みの可否 観光地の割引,白浜海洋美術館 不可能 子供とお年寄り、障害を持つ方に対して割引がある,白浜海洋美術館は、観光地の飲食物持ち込みは不可能ですが、子供とお年寄り、障害を持つ方に対して割引がございます。,子供とお年寄り、障害を持つ方に対して割引がありますのが、白浜海洋美術館で、観光地の飲食物持ち込みは出来ません。
s00000446,system,好意的に承知する,客が希望する観光の季節 客が希望する交通手段,希望なし 車,観光の季節は特になく、お車で行かれたいのですね。,お車で行き、観光の季節は特に無いということですね。
s00000836,system,好意的に承知する,客の本日の交通手段 客の本日の同行者,公共交通機関 なし,公共交通機関を利用し、同行者は無しと言うことで承ります。,同行者は無く、公共交通機関を利用されるという事で承知いたします。
s00000640,system,好意的に承知する,客が希望する観光の季節 客が観光にかけたい時間,春 希望なし,春にお出かけで、観光にかけたい時間は特に無いと言うことで承ります。,観光にかけたい時間は特に無く、春にお出かけしたいという事で承知いたします。
s00001595,system,情報を教える,観光地の名称 観光地の手荷物預かりの有無 観光地の設備,人吉鉄道ミュージアムMOZOCAステーション868 不明 乳幼児への対応あり,人吉鉄道ミュージアムMOZOCAステーション868は、観光地の手荷物預かりの有無はわかりませんが、乳幼児への対応はございます。,観光地の手荷物預かりの有無はわかりませんが、乳幼児への対応がございますのが、人吉鉄道ミュージアムMOZOCAステーション868となっております。
s00000965,system,情報を教える,観光地の名称 観光地におすすめな時期,くりはま花の国 秋,くりはま花の国は秋におすすめな観光地です。,秋におすすめな観光地が、くりはま花の国となります。
s00001825,system,情報を教える,観光地の名称 観光地の手荷物預かりの有無 観光地の飲食物持ち込みの可否,わんわん花みち園 あり 不可能,わんわん花みち園は、観光地の飲食物持ち込みは不可ですが、手荷物預かりはございます。,手荷物預かりはございますが、飲食物持ち込みが不可なのが、わんわん花みち園でございます。
s00002362,system,観光地の情報を使って客におすすめする,観光地の名称 観光地におすすめな人 観光地の公共交通機関でのアクセス,歴史と文化の美術館わらべの里 女性 京都丹後鉄道網野駅→丹後海陸交通バス経ケ岬行きで35分、バス停：竹野下車、徒歩5分,女性におすすめなのが、歴史と文化の美術館わらべの里で、京都丹後鉄道網野駅→丹後海陸交通バス経ケ岬行きで35分、バス停：竹野下車、徒歩5分の道のりとなっております。,京都丹後鉄道網野駅→丹後海陸交通バス経ケ岬行きで35分、バス停：竹野下車、徒歩5分の道のりとなっておりますのが、女性におすすめな歴史と文化の美術館わらべの里でございます。
s00000908,system,質問する,客が希望する食べ物 客が希望する交通手段,? ?,お客様の希望される食べ物や交通手段はございますか？,食べ物や交通手段でお客さまのご希望はございますか？
s00002594,system,観光地の情報を使って客におすすめする,観光地の名称 観光地がインドアかアウトドアか 観光地の設備,岩清水 インドア ペットへの対応あり,岩清水は、インドアな観光地で、ペットへの対応もございますがいかがでしょう。,ペットへの対応がございますのが、岩清水で、インドアな観光地でございますがいかがですか。
s00002295,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の駐車場の有無 観光地の営業時間,養老公園 あり 8時30分～16時、土・日曜、祝日、年末年始は8～16時,養老公園は、駐車場もあり、営業時間が8時30分～16時、土・日曜、祝日、年末年始は8～16時で宜しいかと思われますがいかがですか？,営業時間が8時30分～16時、土・日曜、祝日、年末年始は8～16時の養老公園は、駐車場もあり宜しいかと思われますがお気に召されますか？
s00000340,system,好意的に承知する,客の観光の同行者 客の希望の観光時間帯,未定 未定,希望の観光時間帯や観光の同行者は無いと言うことで承りました。,観光の同行者もなく、希望の観光時間帯も特に無いと言うことで承知いたしました。
s00001405,system,情報を教える,観光地の名称 観光地での観光の所要時間 観光地におすすめな人,浜名湖体験学習施設ウォット 30分未満 恋人,浜名湖体験学習施設ウォットは、観光の所要時間が30分未満で恋人におすすめな観光地です。,恋人におすすめな観光地が、浜名湖体験学習施設ウォットで、観光の所要時間が30分未満となります。
s00001874,system,情報を教える,観光地の名称 観光地の手荷物預かりの有無 観光地のおすすめイベント,高知市卸売市場 不明 不明,高知市卸売市場は手荷物預かりの有無やおすすめイベントは不明となっております。,手荷物預かりの有無やおすすめイベントが不明となっておりますのが、高知市卸売市場です。
s00001428,system,情報を教える,観光地の名称 観光地での観光の所要時間 観光地におすすめな時期,ネスタ リゾート 神戸 30分未満 秋,ネスタ リゾート 神戸は、観光の所要時間30分未満で、秋がおすすめな時期でございます。,秋におすすめなのが、ネスタ リゾート 神戸で、観光の所要時間は30分未満となります。
s00001808,system,情報を教える,観光地の名称 観光地のおすすめイベント 観光地のWi-Fiの有無,有峰湖 不明 不明,有峰湖は、おすすめイベントやWi-Fiの有無が不明となっております。,おすすめイベントやWi-Fiの有無が不明となっておりますのが、有峰湖でございます。
s00001295,system,情報を教える,観光地の名称 観光地の車でのアクセス 観光地での観光の所要時間,KPS那須高原パラグライダースクール 中央道八王子ICから国道16号経由30分 60分以上90分未満,KPS那須高原パラグライダースクールは、お車で中央道八王子ICから国道16号経由30分、観光の所要時間は60分以上90分未満となっております。,観光の所要時間が60分以上90分未満なのがKPS那須高原パラグライダースクールで、お車で中央道八王子ICから国道16号経由30分となります。
s00000217,system,好意的に承知する,客の観光の同行者 客が希望する観光の季節,乳幼児 冬,希望する観光の季節で、あかちゃんが同行されると言う事で承知いたします。,あかちゃんとご一緒に冬に観光されると言う事で承ります。
