id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
s00001647,system,情報を教える,観光地の名称 観光地の設備 観光地の撮影可否,小室山公園 ペットへの対応なし 可能,小室山公園は観光地の撮影も可能ですが、ペットが使用できる設備などは対応しておりません。,ペット用設備の対応はしていませんが、小室山公園は観光地の撮影も可能です。
s00001630,system,情報を教える,観光地の名称 観光地の飲食物持ち込みの可否 観光地の設備,大山祇神社宝物館 不可能 ペットへの対応なし,大山祇神社宝物館への飲食物持ち込みは不可能となっております。また、こちらの設備はペットへの対応はなしとなっております。,大山祇神社宝物館にはペット対応設備がありません。また、飲食物の持ち込みも禁止されております。
s00002518,system,観光地の情報を使って客におすすめする,観光地の名称 観光地のお土産 観光地の手荷物預かりの有無,大原海水浴場 伝統工芸品 あり,大原海水浴場では、手荷物預かりのサービスがございます。伝統工芸品がお土産としておすすめです。,伝統工芸品がお土産としておすすめな大原海水浴場では、手荷物預かりサービスもご利用いただけます。
s00001149,system,情報を教える,観光地の名称 観光地の新型コロナウイルス感染対策,しながわ水族館 入場時のアルコール消毒とマスクの着用,しながわ水族館では、入場時にアルコール消毒とマスクの着用をお願いしております。,入場時のアルコール消毒とマスクの着用をしながわ水族館ではお客様にお願いしております。
s00001003,system,情報を教える,観光地の名称 観光地のおすすめイベント,蓼科高原バラクラ イングリッシュガーデン 不明,蓼科高原バラクラ イングリッシュガーデンがとてもおすすめです。,おすすめの観光地は蓼科高原バラクラ イングリッシュガーデンなどいかがでしょう。
s00002539,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の手荷物預かりの有無 観光地の設備,こどものくに あり 乳幼児への対応あり,こどものくには、乳幼児などの小さなお子様も楽しむことができます。また、手荷物預かりのサービスも行っております。,乳幼児などのお子様が楽しめる観光地のこどものくにでは、手荷物預かりサービスも行っております。
s00000303,system,好意的に承知する,客の観光の同行者 客が観光にかけたい時間,恋人 30分以上60未満,30分から1時間くらいで、カップルで楽しめる観光地でございますね。承知いたしました。,カップルで30分から1時間くらいのお時間で楽しめる観光地でございますね。承知いたしました。お調べしてみますね。
s00002405,system,観光地の情報を使って客におすすめする,観光地の名称 観光地が雨天でも楽しめるか 観光地の最寄り駅,雲辺寺 可能 浜松,雲辺寺などいかがでしょうか？こちらは、最寄り駅は浜松駅で、雨天でも楽しめる観光スポットになっております。,雨天でも楽しめる観光スポットであれば、最寄り駅が浜松駅の雲辺寺などおすすめですがいかがでしょうか？
s00000336,system,好意的に承知する,客の観光の同行者 客の趣味,家族 切り絵,家族で切り絵を楽しめる観光スポットをお探しですね。かしこまりました。お探ししてみますね。,なるほど。切り絵ができる家族で楽しめる観光スポットですね。少し探してみますね。
s00002502,system,観光地の情報を使って客におすすめする,観光地の名称 観光地におすすめな人 観光地におすすめな時期,あきたブルーベリー農園 歴史好き 夏,夏のおすすめ観光スポットであれば、鳥取県にある『あきたブルーベリー農園』はいかがでしょうか？遺跡を楽しみながら新鮮なブルーベリーも頂くことができ、楽しめますよ。,遺跡の多い鳥取県など、歴史好きの方におすすめです。また、『あきたブルーベリー農園』さんでは夏場、とれたてのブルーベリーも楽しめるのでこちらもおすすめです。
