id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
s00001647,system,情報を教える,観光地の名称 観光地の設備 観光地の撮影可否,小室山公園 ペットへの対応なし 可能,小室山公園での撮影は可能ですが、ペットへの対応はありません。,小室山公園はペットへの対応はありませんが、公園内の撮影はできます。
s00001630,system,情報を教える,観光地の名称 観光地の飲食物持ち込みの可否 観光地の設備,大山祇神社宝物館 不可能 ペットへの対応なし,大山祇神社宝物館は飲食物は持ち込みは不可で、ペットへの対応はしておりません。,大山祇神社宝物館ではペットの対応はしておらず、飲食物の持ち込みもできません。
s00002518,system,観光地の情報を使って客におすすめする,観光地の名称 観光地のお土産 観光地の手荷物預かりの有無,大原海水浴場 伝統工芸品 あり,大原海水浴場のお土産は伝統工芸品がおすすめで、手荷物の預り所もあります。,大原海水浴場では手荷物の預りもあるので、伝統工芸品のお土産を買うのもいいですね。
s00001149,system,情報を教える,観光地の名称 観光地の新型コロナウイルス感染対策,しながわ水族館 入場時のアルコール消毒とマスクの着用,しながわ水族館では入場時のアルコール消毒とマスクの着用で感染対策をしています,しながわ水族館ではコロナウイルス感染対策として、マスクの着用と入場時のアルコール消毒を実施しています。
s00001003,system,情報を教える,観光地の名称 観光地のおすすめイベント,蓼科高原バラクラ イングリッシュガーデン 不明,蓼科高原バラクラ イングリッシュガーデンで行われるイベントは今の所未定です。,蓼科高原バラクラ イングリッシュガーデンでイベントが行われるかはまだわかりません。
s00002539,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の手荷物預かりの有無 観光地の設備,こどものくに あり 乳幼児への対応あり,こどものくにでは手荷物預かりがあり、また乳幼児への対応もあります。,こどものくにでしたら手荷物預かりもあって、乳幼児連れのお客様にもおすすめです。
s00000303,system,好意的に承知する,客の観光の同行者 客が観光にかけたい時間,恋人 30分以上60未満,30分から60分で、お二人様で行かれるのですね。,恋人の方と一緒に30分から60分の間、観光されるんですね。
s00002405,system,観光地の情報を使って客におすすめする,観光地の名称 観光地が雨天でも楽しめるか 観光地の最寄り駅,雲辺寺 可能 浜松,雲辺寺の最寄り駅は浜松駅で、雨でも楽しめますよ。,雲辺寺は浜松駅からが一番近く、雨でも大丈夫です。
s00000336,system,好意的に承知する,客の観光の同行者 客の趣味,家族 切り絵,ご家族で切り絵を楽しまれるのですね。,ご家族と一緒に切り絵をなさりたいということですね。
s00002502,system,観光地の情報を使って客におすすめする,観光地の名称 観光地におすすめな人 観光地におすすめな時期,あきたブルーベリー農園 歴史好き 夏,歴史好きな方でしたら、夏のあきたブルーベリー農園がおすすめです。,夏のあきたブルーベリー農園は歴史好きな方におすすめですよ。
s00001363,system,情報を教える,観光地の名称 観光地の駐車場の有無 観光地におすすめな人,イルカウォッチング なし 歴史好き,駐車場はありませんが、イルカウォッチングは歴史好きなかたにもお楽しみいただけます。,イルカウォッチングは駐車場はありませんが、歴史好きな方におすすめします。
s00001231,system,情報を教える,観光地の名称 観光地におすすめな人 観光地の定休日,瀧廉太郎記念館 恋人 境内自由,瀧廉太郎記念館は境内を自由に観覧でき、恋人同士におすすめです。,恋人と行かれるのでしたら、瀧廉太郎記念館が境内を自由に観覧できおすすめです。
s00001782,system,情報を教える,観光地の名称 観光地のWi-Fiの有無 観光地の喫煙可否,洞川温泉郷のほたる 不明 可能,洞川温泉郷のほたるは、現地での喫煙は可能ですが、Wi-Fiがあるかはわかりません。,洞川温泉郷のほたるは、Wi-Fi設備はわかりかねますが、喫煙は可能です。
s00000772,system,好意的に承知する,客の希望の観光時間帯 客が観光にかけたい時間,午後 30分以上60未満,午後に30分から60分の観光ですね。,昼以降で、30分から60分の間で承ります。
s00000073,system,好意的に承知する,客の名前（※） 客の観光の同行者,藤原 女性,藤原様と女性のお連れ様ですね。,藤原様とお連れの女性で承ります。
s00002650,system,観光地の情報を使って客におすすめする,観光地の名称 観光地がインドアかアウトドアか 観光地の喫煙可否,観音山梅の里梅園 インドア 可能,観音山梅の里梅園は室内で、喫煙できます。,観音山梅の里梅園はインドアの観光で、喫煙可能です。
s00002480,system,観光地の情報を使って客におすすめする,観光地の名称 観光地での観光の所要時間 観光地が雨天でも楽しめるか,臥牛窯・窯元ぎゃらりい 90分以上 可能,臥牛窯・窯元ぎゃらりいを観光する際の所要時間は90分以上で雨でも楽しめます。,臥牛窯・窯元ぎゃらりいは雨でも観光を楽しめ、所要時間は90分以上です。
s00000687,system,好意的に承知する,客の希望の観光時間帯 客が希望する観光の季節,日中 未定,季節はまだお決まりではないということですが、日中の観光をご希望ですね。,日中の観光をご希望で、季節は未定ということで承ります。
s00000188,system,好意的に承知する,客の観光の同行者 客が希望する交通手段,歴史好き 公共交通機関,歴史好きのお連れ様と、公共交通機関と使っての観光ですね。,交通手段は公共交通機関で、お連れ様が歴史好きということですね。承知致しました。
s00001376,system,情報を教える,観光地の名称 観光地の駐車場の有無 観光地が雨天でも楽しめるか,雑賀崎 不明 不明,雑賀崎は駐車場があるか、雨でも楽しめるか、わかりかねます。,あいにく雑賀崎の駐車場、また雨天での観光が楽しめるかの情報はございません。
