id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
s00000481,system,好意的に承知する,客が希望する観光ジャンル 客が希望する交通手段,山・丘陵 車,山や丘陵までお車での移動をご希望ですね。良いですね。,お車で山や丘陵を旅するのは楽しみですね。
s00001348,system,情報を教える,観光地の名称 観光地の駐車場の有無 観光地におすすめな人,フルーツランドみなかみ 不明 女性,フルーツランドみなかみは女性のお客様にもおすすめです。駐車場があるかどうかはわかりかねます。,駐車場は確認できていませんが、女性におすすめの観光地はフルーツランドみなかみです。
s00001215,system,情報を教える,観光地の名称 観光地の営業時間 観光地が雨天でも楽しめるか,観覧車ドリームスカイ 開催日により異なる 不可能,雨の日にはおすすめできませんが、観覧車ドリームスカイがあります。営業時間は開催日によって違うので予め確認が必要です。,観覧車ドリームスカイの営業時間は開催日によって違います。雨の日には観光できません。
s00000341,system,好意的に承知する,客の観光の同行者 客の希望の観光時間帯,未定 希望なし,お仲間とご一緒でもお一人でも、お好きな時間に観光できるのは良いですね。,時間帯のご希望がなければお好みの観光地が選びやすくて良いですね。ご同行される方は未定ということで承知いたしました。
s00001396,system,情報を教える,観光地の名称 観光地の電話番号 観光地におすすめな時期,茂右衛門蔵 0255-86-3911 夏,茂右衛門蔵は夏におすすめです。電話番号は0255-86-3911になります。,夏におすすめの観光地、茂右衛門蔵へのお電話での連絡先は、0255-86-3911です。
s00001092,system,情報を教える,観光地の名称 観光地の料金,盛岡市遺跡の学び館 本堂参拝400円、投入堂参拝は別途800円,盛岡市遺跡の学び館の参拝料金は、本堂が400円で投入堂は別途800円かかります。,盛岡市遺跡の学び館は参拝料がかかります。本堂参拝は400円、投入堂への参拝もご希望であれば本堂の参拝料とは別に800円必要です。
s00002004,system,情報を教える,観光地の名称 観光地のすいている曜日，時間帯 観光地の予約要否,金沢21世紀美術館 不明 可能,金沢21世紀美術館の空いている曜日や時間帯はわかりかねますが、予約は可能です。,金沢21世紀美術館は予約できます。空いている時間帯や曜日はわかりません。
s00001588,system,情報を教える,観光地の名称 観光地の設備 観光地のWi-Fiの有無,萩城跡指月公園 乳幼児への対応なし なし,萩城跡指月公園にはWi-Fiや乳幼児への対応設備はありません。,萩城跡指月公園は乳幼児対応設備やWi-Fiが備わっていない観光地です。
s00000843,system,好意的に承知する,客の本日の交通手段 客の本日の同行者,公共交通機関 歴史好き,公共交通機関でご来店下さったのですね。歴史好きですか、良いですね。,歴史がお好きなんて素敵ですね。お車ではなく公共交通機関でお越しですね。
s00002000,system,情報を教える,観光地の名称 観光地の駐車場の料金 観光地の予約要否,出会いの森総合公園 オートキャンプ場 無料、バス3台 不明,出会いの森総合公園 オートキャンプ場の駐車場は、バス3台まで料金無料です。予約できるかどうかは確認が取れていません。,予約可能かどうかはわかりかねますが、出会いの森総合公園 オートキャンプ場はバス3台停められ、駐車料金は無料です。
s00002578,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の利用可能なキャッシュレス決済 観光地の設備,古澤酒造資料館 クレジットカード ペットへの対応あり,古澤酒造資料館はペット対応設備があり、クレジットカードも使えるのでおすすめです。,ペット対応設備があるので古澤酒造資料館がおすすめです。クレジットカード決済にも対応しています。
s00002222,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の車でのアクセス,田上町梅林公園 大分道九重ICから国道210号、県道140号経由20km30分,田上町梅林公園はお車での観光におすすめです。大分道九重ICから国道210号、県道140号経由20km30分で着きます。,田上町梅林公園へのアクセスは、大分道九重ICから国道210号、県道140号経由20km30分になりますので、お車での観光におすすめです。
s00001728,system,情報を教える,観光地の名称 観光地がインドアかアウトドアか 観光地の設備,本沢梅園 不明 障害者への対応あり,インドアかアウトドアかは確認が取れていませんが、本沢梅園には障害者対応設備があります。,本沢梅園は障害者対応設備が整っていますが、インドアで楽しむ場所なのかアウトドアなのかはわかりかねます。
s00000830,system,好意的に承知する,客の本日の交通手段 客の本日の同行者,電車 恋人,パートナーの方とご一緒に電車でご来店下さったのですね。,電車でお越し下さったのですね。お付き合いされている方とご一緒とは良いですね。
s00001466,system,情報を教える,観光地の名称 観光地におすすめな人 観光地におすすめな時期,天幕城趾あかぼり蓮園 恋人 春,春のデートにおすすめなのは天幕城趾あかぼり蓮園です。,天幕城趾あかぼり蓮園は春におすすめです。恋人同士で訪れるのも良い場所ですよ。
s00001608,system,情報を教える,観光地の名称 観光地の手荷物預かりの有無 観光地の設備,大江戸温泉物語日光霧降 なし 障害者への対応あり,大江戸温泉物語日光霧降に手荷物の預かり場所はありません。障害者の方への対応設備はあります。,障害者対応設備があるのは大江戸温泉物語日光霧降ですが、手荷物預かり所はありません。
s00000104,system,好意的に承知する,客の名前（※） 客の本日の同行者,藤井 女性,藤井様、本日は女性の方とご一緒ですね。良いですね。,藤井様ですね。女性の方と一緒にご来店とは素敵ですね。
s00000102,system,好意的に承知する,客の名前（※） 客の本日の同行者,石川 家族,石川様、ご家族の方と一緒にご来店下さったのですね。,石川様ですね。ご家族の方とお越し下さるなんて素敵ですね。
s00002023,system,情報を教える,観光地の名称 観光地がインドアかアウトドアか 観光地の予約要否,新屋 山神社 奥宮 不明 不可能,新屋 山神社 奥宮は予約できません。インドアでの観光かアウトドアでの観光かはわかりかねます。,インドアかアウトドアかはわかりませんが、新屋 山神社 奥宮は予約できない観光地です。
s00000358,system,好意的に承知する,客の観光の同行者 客の希望の観光時間帯,子供 未定,お子様と一緒のご旅行は楽しみですね。観光時間帯は未定ですね。,観光時間帯は決まっていなくてもお子様との旅行なんて良いですね。
