id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
s00002115,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の説明,農家食堂・ベジQ 内浦湾の東側にある海域の呼称。深海性回遊魚の鯛が群生する珍しい海域で国の特別天然記念物に指定されている。日蓮が生まれた時、鯛が集まってきて跳びはね祝ったとの伝説があり、この地では鯛は聖人の使いと考え、決して捕獲しない慣わしになっている。この鯛を見る遊覧船が鯛の浦会館から出航。エンジン音が聞こえるとエサを求めて鯛などの魚が浮き上がってくる。,深海性回遊魚の鯛を見ることのできる遊覧船が出航しています。,この鯛は聖人の使いと考えていて、捕獲しないという習わしになっています。
s00002445,system,観光地の情報を使って客におすすめする,観光地の名称 観光地での観光の所要時間 観光地におすすめな人,県立三ツ池公園 30分以上60未満 女性,県立三ツ池公園は女性におすすめの観光地です。,おおむね一時間程度で公園を散策できます。
s00001666,system,情報を教える,観光地の名称 観光地の設備 観光地の予約要否,KOSE新横浜スケートセンター ペットへの対応なし 不可能,KOSE新横浜スケートセンターは予約なしで入場できる施設となっております。,ペットへの対応はないので、ペットをお連れの際はご注意ください。
s00001241,system,情報を教える,観光地の名称 観光地の公共交通機関でのアクセス 観光地の料金,アグリコア越後ワイナリー 養老鉄道養老駅→徒歩10分 境内無料,おいしいワインが有名なアグリコア越後ワイナリーは無料で入場できます。,養老鉄道養老駅から徒歩10分ほどで到着しますので、他の観光地と併せてご覧になるのもおすすめです。
s00000014,system,好意的に承知する,客の観光の同行者,友達,かしこまりました。すぐに対応いたします。,お友達との旅行も楽しめる場所ですよ。
s00000205,system,好意的に承知する,客の観光の同行者 客が希望する観光の季節,未定 冬,かしこまりました。今すぐお調べいたします。,冬にはライトアップされてきれいな景色を楽しめますよ。
s00002456,system,観光地の情報を使って客におすすめする,観光地の名称 観光地での観光の所要時間 観光地におすすめな人,道の駅なるさわ 軽食堂 90分以上 友達,こちらの道の駅なるさわ軽食堂は、友達と一緒に楽しめるおいしいメニューが揃っています。,1時間半以上のんびりできる場所なので、休憩にもおすすめです。
s00000828,system,好意的に承知する,客の本日の交通手段 客の本日の同行者,電車 子供,かしこまりました。ただいま確認してまいります。,本日は電車でご来店されたのですね。お子様も一緒で可愛らしいですね。
s00000825,system,好意的に承知する,客の本日の交通手段 客の本日の同行者,バス 歴史好き,かしこまりました。少々お待ちください。,本日はバスでいらしたのですね。バスの途中で有名な史跡をお見掛けしませんでしたか？
s00000141,system,好意的に承知する,客の観光の同行者 客が希望する交通手段,子供 未定,かしこまりました。ただいまお調べいたします。,お子様とご一緒される旅行であれば、交通手段としてはゆったりできる新幹線がおすすめです。
s00000105,system,好意的に承知する,客の名前（※） 客の本日の同行者,福田 歴史好き,福田様、かしこまりました。,福田様は歴史がお好きなのですね。こちらの観光地ですと、合戦があったとされる史跡や史料を展示してある博物館などもありますよ。
s00000723,system,好意的に承知する,客が希望する観光ジャンル 客が観光にかけたい時間,岬・海岸・断崖 未定,かしこまりました。絶景が見られる岬などをお調べいたします。,このあたりですと、こちらの方面に行けば断崖や景色のきれいな海岸もよく見ることができます。
s00000951,system,情報を教える,観光地の名称 観光地の駐車場の有無,出雲大神宮 なし,こちらのプランでしたら、出雲大神宮を見学することもできます。,駐車場についてはただいま確認してまいります。
s00000827,system,好意的に承知する,客の本日の交通手段 客の本日の同行者,電車 なし,かしこまりました。こちらのプランで予約をお受けいたします。,本日は電車で来店されたのですね。混んでいましたでしょうか？
s00001934,system,情報を教える,観光地の名称 観光地の飲食物持ち込みの可否 観光地がインドアかアウトドアか,夜叉ケ池 不明 不明,こちらの場所は夜叉ケ池という場所になります。,飲食物の持ち込みや、アウトドアとして楽しめる場所かどうかは確認してまいります。
s00000199,system,好意的に承知する,客の観光の同行者 客が希望する食べ物,歴史好き 海鮮料理,かしこまりました。ぴったりのプランをご案内いたします。,お客様は歴史がお好きなのですね。史跡巡りにぴったりなプランでしたらこちらになります。このプランでしたらここのお店で海鮮料理もお召し上がりになれます。
s00000531,system,好意的に承知する,客の趣味 客が希望する交通手段,散歩 バス,かしこまりました。散歩にちょうどよいプランはこちらになります。,バスで移動されるならこちらのルートがおすすめです。
s00001482,system,情報を教える,観光地の名称 観光地におすすめな人 観光地が雨天でも楽しめるか,フェスタ立花 友達 可能,こちらのフェスタ立花はお友達と一緒に楽しめるプランのご用意がありますよ。,屋内施設なので、天候を気にすることもありません。
s00002219,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の定休日,道の駅 上品の郷 ふたごの湯 7月下旬～8月下旬営業。,お客様に今の時期に特におすすめしたいのは、道の駅上品の郷ふたごの湯ですね。,7月下旬から8月下旬までの夏休みの期間のみ営業している温泉なので、今の時期にこそ楽しめる温泉です。
s00000749,system,好意的に承知する,客の希望の観光時間帯 客が観光にかけたい時間,未定 60分以上90分未満,かしこまりました。出発時間をお選びいただけるプランをご提案いたします。,こちらの観光地でしたら、広く見どころもたくさんあるので、1時間以上かけてゆっくり散策することもできます。
