id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
s00002115,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の説明,農家食堂・ベジQ 内浦湾の東側にある海域の呼称。深海性回遊魚の鯛が群生する珍しい海域で国の特別天然記念物に指定されている。日蓮が生まれた時、鯛が集まってきて跳びはね祝ったとの伝説があり、この地では鯛は聖人の使いと考え、決して捕獲しない慣わしになっている。この鯛を見る遊覧船が鯛の浦会館から出航。エンジン音が聞こえるとエサを求めて鯛などの魚が浮き上がってくる。,内浦湾の東側にあり、深海性回遊魚の鯛が群生する珍しい海域で国の特別天然記念物に指定されており、遊覧船で鯛を見ることができるので、農家食堂・ベジQはおすすめです。,農家食堂・ベジQについてですが、内浦湾の東側にあって、深海性回遊魚の鯛が群生している珍しい海域であり、国の特別天然記念物に指定されています。遊覧船で鯛を見ることができるためおすすめいたします。
s00002445,system,観光地の情報を使って客におすすめする,観光地の名称 観光地での観光の所要時間 観光地におすすめな人,県立三ツ池公園 30分以上60未満 女性,県立三ツ池公園は30分以上60未満の時間で観光でき、女性のお客様におすすめです。,県立三ツ池公園での所要時間は30分以上60未満であり、女性向きの観光地でおすすめです。
s00001666,system,情報を教える,観光地の名称 観光地の設備 観光地の予約要否,KOSE新横浜スケートセンター ペットへの対応なし 不可能,KOSE新横浜スケートセンターはペットへの対応はございません。予約も不可能となっております。,KOSE新横浜スケートセンターではペットに対応は行っておりません。また、予約は受け付けておりません。
s00001241,system,情報を教える,観光地の名称 観光地の公共交通機関でのアクセス 観光地の料金,アグリコア越後ワイナリー 養老鉄道養老駅→徒歩10分 境内無料,アグリコア越後ワイナリーへは養老鉄道養老駅で下車して、徒歩10分ほどで着きます。料金は境内無料です。,アグリコア越後ワイナリーへのアクセスですが、養老鉄道養老駅から徒歩10分で到着いたします。料金ですが、境内無料となっております。
s00000014,system,好意的に承知する,客の観光の同行者,友達,お友達と一緒に観光されるのですね。素敵ですね。,お友達がご同行されるんですね。良いですね。
s00000205,system,好意的に承知する,客の観光の同行者 客が希望する観光の季節,未定 冬,同行者の方はまだ未定で、季節は冬をご希望ですね。承知いたしました。,現時点では同行者の方はお決まりになっていなくて、冬に観光をされたいということですね。分かりました。
s00002456,system,観光地の情報を使って客におすすめする,観光地の名称 観光地での観光の所要時間 観光地におすすめな人,道の駅なるさわ 軽食堂 90分以上 友達,道の駅なるさわ 軽食堂での観光の所要時間は90分以上で、お友達とご一緒に行かれるのがおすすめです。,道の駅なるさわ 軽食堂では90分以上の観光ができ、お友達との観光におすすめとなっております。
s00000828,system,好意的に承知する,客の本日の交通手段 客の本日の同行者,電車 子供,本日の交通手段は電車で、お子さんとご一緒なんですね。承知いたしました。,本日はお子さんといらっしゃって、電車をご利用なんですね。分かりました。
s00000825,system,好意的に承知する,客の本日の交通手段 客の本日の同行者,バス 歴史好き,本日の交通手段はバスで、同行者の方は歴史好きなんですね。承知しました。,本日はバスをご利用で、歴史好きの方がご一緒されるんですね。分かりました。
s00000141,system,好意的に承知する,客の観光の同行者 客が希望する交通手段,子供 未定,お子さんとの観光で、ご希望の交通手段はまだ未定ということですね。了解いたしました。,観光の同行者はお子様で、交通手段はまだお決まりではないんですね。承知いたしました。
