id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
s00001144,system,情報を教える,観光地の名称 観光地の駐車場の料金,赤城南面千本桜 1台1500円～,赤城南面千本桜の駐車場を利用する場合、1台1500円～です。,赤城南面千本桜で駐車するには1台1500円～支払う必要があります。
s00000161,system,好意的に承知する,客の観光の同行者 客が希望する交通手段,恋人 徒歩,恋人と観光地を徒歩で巡るんですね。良いですね。,徒歩で恋人と観光ですか。素晴らしいですね。
s00000077,system,好意的に承知する,客の名前（※） 客が希望する交通手段,西村 車,西村さんは車を使用して観光されるのですね。便利で良いですよね。,車で移動しながら西村さんは観光するのですね。楽しそうですね。
s00000935,system,質問する,客の本日の交通手段 客の本日の同行者,? ?,今日、お客様はどなたと同行し、どのような交通手段を使用する予定がありますか。,本日の同行者と利用する交通手段についてお伺いしてもよろしいですか。
s00001715,system,情報を教える,観光地の名称 観光地の設備 観光地の新型コロナウイルス感染対策,小田急山中湖フォレストコテージ 乳幼児への対応あり 不明,小田急山中湖フォレストコテージは乳幼児に対応する設備はありますが、新型コロナウイルス感染対策については確認が取れていません。,小田急山中湖フォレストコテージの新型コロナウイルス感染対策は現状では不明ですが、乳幼児への対応に関しては設備が整っていることが確認できています。
s00000796,system,好意的に承知する,客が観光にかけたい時間 客がインドア派かアウトドア派か,90分以上 特になし,インドアでもアウトドアでも問題なく、90分以上観光できる場所ですね。そういうところ良いですよね。,90分以上楽しめ、インドア、アウトドアは特に気にしなくていい観光ですね。楽しそうですね。
s00001962,system,情報を教える,観光地の名称 観光地の駐車場の料金 観光地の撮影可否,竹野海水浴場 普通車600円 可能,竹野海水浴場での駐車料金は普通車600円になります。撮影に関しては何の問題もなく行えます。,竹野海水浴場での撮影は可能です。また駐車場を利用した場合は普通車で600円の支払いが必要です。
s00002446,system,観光地の情報を使って客におすすめする,観光地の名称 観光地での観光の所要時間 観光地におすすめな人,アサヒ飲料明石工場 30分以上60未満 恋人,アサヒ飲料明石工場は30分以上60分未満の時間で手軽に楽しめる観光地なので、恋人との観光にはぴったりですよ。,所要時間30分以上60分未満で観光できるアサヒ飲料明石工場は、恋人との楽しい時間を過ごせる良い場所ですよ。
s00001572,system,情報を教える,観光地の名称 観光地の割引 観光地の新型コロナウイルス感染対策,たち農園 子供とお年寄り、障害を持つ方に対して割引がある 入場時のアルコール消毒とマスクの着用,たち農園には子供やお年寄り、障害を持つ方に対しての割引が存在しています。ただ新型コロナウイルス感染対策として入場時にはアルコール消毒とマスクの着用が必要です。,たち農園では入場時のアルコール消毒とマスクの着用が新型コロナウイルス感染対策として求められます。また入場時の割引があり、子供やお年寄り、障害を持つ方がそれを利用できます。
s00001662,system,情報を教える,観光地の名称 観光地の設備 観光地の予約要否,深田久弥山の文化館 障害者への対応なし 可能,深田久弥山の文化館は予約する必要がある観光地ですが、障害者に対する設備はありません。,深田久弥山の文化館は障害者への対応が整っていないです。また観光するために予約が必要になります。
