id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
s00000519,system,好意的に承知する,客が観光にかけたい時間 客が希望する交通手段,60分以上90分未満 公共交通機関,公共交通機関を使い、60分から90分くらい観光ができるプランを作成します。,観光地での滞在時間は60分から90分くらいがご希望ですね。では、公共交通機関で行けてご希望に沿う観光地をお探しします。
s00002335,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の駐車場の有無 観光地の料金,芭蕉翁記念館 あり 入場大人610円、小人300円,芭蕉翁記念館の入場料は、大人が610円で小人は300円です。そして、駐車場完備です。,芭蕉翁記念館には、車で来館される方のために、駐車場があります。ちなみに、入場料は大人が610円で小人は300円となっています。
s00001456,system,情報を教える,観光地の名称 観光地におすすめな人 観光地におすすめな時期,大阪府立花の文化園 子供 秋,大阪府立花の文化園は、お子様が楽しめる施設です。特におススメの時期としては、秋に行くとより楽しむことができるでしょう。,お子様のいるご家族には大阪府立花の文化園がオススメで、特に秋の時期に行くと最高でしょう。
s00001209,system,情報を教える,観光地の名称 観光地の営業時間 観光地におすすめな時期,シャトレーゼ ガトーキングダム サッポロ 9～12時、13～17時。 春,シャトレーゼ ガトーキングダム サッポロへは、春に行くことをおススメします。営業時間は、9時~12時と13時から17時です。,シャトレーゼ ガトーキングダム サッポロは、9:00~12:00の間と13:00~17:00に営業しています。訪れるべき時期としては、春をお勧めします。
s00001418,system,情報を教える,観光地の名称 観光地での観光の所要時間 観光地におすすめな人,弥彦の丘美術館 60分以上90分未満 家族,ご家族連れにおススメの弥彦の丘美術館では、60分から90分程度の所要時間が必要です。,っ存分に楽しむために60分から90分程度必要ですが、家族での旅なら弥彦の丘美術館がオススメです。
s00002658,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の利用可能なキャッシュレス決済 観光地の待ち時間,うみたま体験パーク「つくみイルカ島」 バーコード決済 通常はあまり待たずに入場可能,うみたま体験パーク「つくみイルカ島」は、待ち時間が少なく入場ができバーコード決済ができるおススメの施設です。,待ち時間が長いと楽しめないお客様には、うみたま体験パーク「つくみイルカ島」がオススメです。さらに、この施設はバーコードによるキャッシュレス決済にも対応しています。
s00000845,system,好意的に承知する,客の本日の交通手段 客の本日の同行者,徒歩 なし,徒歩でゆっくりと楽しむことができます。,ここではゆっくりと歩くことで、おひとりの時間をお楽しみいただけます。
s00002024,system,情報を教える,観光地の名称 観光地がインドアかアウトドアか 観光地の予約要否,八ケ岳自然文化園 インドア 不明,八ケ岳自然文化園は屋内の施設で、入場に予約が必要かどうかは不明です。,入場に予約が必要かどうかまだわかりませんが、八ケ岳自然文化園は天気に影響を受けることなく楽しめる屋内の施設です。
s00000994,system,情報を教える,観光地の名称 観光地の喫煙可否,鮎正宗酒造 不明,鮎正宗酒造で喫煙ができるかどうかは分かりません。,おタバコをお吸いになられる方は、鮎正宗酒造で喫煙できるか不明なのでご注意ください。
s00001829,system,情報を教える,観光地の名称 観光地の手荷物預かりの有無 観光地の撮影可否,滋賀県立安土城考古博物館 不明 不明,滋賀県立安土城考古博物館の手荷物の預かりの有無や撮影の可否ついては、現段階では不明です。,滋賀県立安土城考古博物館に行かれるのであれば、手荷物の預かりや撮影ができるかどうかについてお調べします。
