id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
s00000207,system,好意的に承知する,客の観光の同行者 客が希望する観光の季節,なし 希望なし,季節を問わずの一人旅として承りました。,観光の季節や同行者は考慮せずということですね。
s00000750,system,好意的に承知する,客の希望の観光時間帯 客が観光にかけたい時間,未定 90分以上,時間帯は未定ながら90分以上を観光に費やしたいというご希望ですね。,時間帯を問わず、90分以上の観光ということで承りました。
s00002557,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の設備 観光地の予約要否,壷阪寺 乳幼児への対応あり 可能,壷阪寺は予約が可能で、乳幼児への対応も考慮されていますよ。,乳幼児への対応がある壷阪寺なら事前に予約することも可能ですよ。
s00001544,system,情報を教える,観光地の名称 観光地の割引 観光地の設備,八重岳 桜の森公園 不明 障害者への対応あり,「八重岳 桜の森公園」の割引制度は不明ながら、障害者への対応はあります。,「八重岳 桜の森公園」には障害者対応の設備がありますが、割引制度については情報がありません。
s00000721,system,好意的に承知する,客が希望する観光の季節 客がインドア派かアウトドア派か,冬 インドア,冬に楽しめるインドア施設ですね。,季節は冬ですね。インドア希望ということで承りました。
s00002120,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の公共交通機関でのアクセス,八女市上陽地区一円のほたる ＪＲ渋川駅→渋川タウンバス渋川スカイランドパークまたは平和墓苑行きで15分、渋川スカイランドパーク下車、徒歩すぐ,ＪＲ渋川駅から渋川タウンバス渋川スカイランドパークまたは平和墓苑行きで15分ほど乗車した場所にある、渋川スカイランドパーク停留所近くの「八女市上陽地区一円のほたる」がアクセス性も高くてお薦めですよ。,「八女市上陽地区一円のほたる」へはＪＲ渋川駅から渋川タウンバス渋川スカイランドパークまたは平和墓苑行きで15分ほど乗車します。渋川スカイランドパーク停留所で下車したらすぐなので便利ですよ。
s00000082,system,好意的に承知する,客の名前（※） 客が希望する食べ物,高橋 パスタ,高橋様はパスタがご希望ということで承りました。,高橋様のご希望はパスタですね。
s00002436,system,観光地の情報を使って客におすすめする,観光地の名称 観光地が雨天でも楽しめるか 観光地の電話番号,八ケ崎海水浴場 可能 0748-82-3411,八ケ崎海水浴場の連絡先は「0748-82-3411」です。雨天でも楽しめますよ。,八ケ崎海水浴場は雨天でも楽しめますので、「0748-82-3411」までお問合せください。
s00002558,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の設備 観光地の予約要否,みかど農園 障害者への対応あり 可能,みかど農園は予約が可能なうえ、障害者への対応もありますよ。,みかど農園は障害者への対応があります。事前の予約も可能ですよ。
s00002026,system,情報を教える,観光地の名称 観光地がインドアかアウトドアか 観光地の予約要否,トドワラ インドア 不可能,予約はできませんが、トドワラにはインドア施設があります。,トドワラのインドア施設は予約が出来ません。
s00002090,system,情報を教える,観光地の名称 観光地の待ち時間 観光地の新型コロナウイルス感染対策,白米千枚田 不明 不明,白米千枚田の待ち時間や新型コロナウイルス感染対策については情報がございません。,白米千枚田の新型コロナウイルス感染対策は不明です。待ち時間についても分かりません。
s00000674,system,好意的に承知する,客の希望の観光時間帯 客が希望する観光の季節,未定 冬,冬の観光ですね。時間帯は未定ということで承りました。,時間帯は不明ながら冬の観光がご希望ということですね。
s00001584,system,情報を教える,観光地の名称 観光地の設備 観光地のWi-Fiの有無,黄金崎 ペットへの対応あり あり,黄金崎はWi-Fiが完備されており、ペットへの対応もあります。,黄金崎はペット対応が可能で、Wi-Fiも使用できます。
s00002276,system,観光地の情報を使って客におすすめする,観光地の名称 観光地での観光の所要時間 観光地のジャンル,臥牛窯・窯元ぎゃらりい 60分以上90分未満 山・丘陵,臥牛窯・窯元ぎゃらりいは山や丘陵を望みながらも、60分から90分くらいあれば見学できますよ。,山(丘陵)に位置している臥牛窯・窯元ぎゃらりいは60分から90分ほどで見学できますよ。
s00001491,system,情報を教える,観光地の名称 観光地におすすめな人 観光地が雨天でも楽しめるか,宇和島市営闘牛場 家族 可能,宇和島市営闘牛場は家族で楽しめる全天候型施設です。,宇和島市営闘牛場は雨天でも楽しめる家族連れにお勧めの施設です。
s00001684,system,情報を教える,観光地の名称 観光地の設備 観光地の喫煙可否,赤間神宮 ペットへの対応なし 不可能,赤間神宮での喫煙は禁止されており、ペットへの対応はありません。,赤間神宮ではペットへの対応はなく、喫煙は禁止されています。
s00001183,system,情報を教える,観光地の名称 観光地のジャンル 観光地におすすめな時期,ひがし茶屋街 テーマパーク・遊園地 夏,ひがし茶屋街は夏にお勧めのテーマパーク・遊園地です。,ひがし茶屋街はジャンルとしてはテーマパーク・遊園地に属する観光地で、訪れるなら夏がお勧めです。
s00000905,system,質問する,客の観光の同行者 客の趣味,? ?,お客様の趣味と同行者の有無について教えてください。,同行者はいますか？　また、よろしければお客様の趣味つにいてお聞かせください。
s00001896,system,情報を教える,観光地の名称 観光地の飲食物持ち込みの可否 観光地の予約要否,目の霊山 油山寺 不明 可能,「目の霊山 油山寺」は予約が可能です。なお、飲食物持ち込みの可否については分かりません。,「目の霊山 油山寺」への飲食物持ち込みについては情報がありませんが、予約は可能です。
s00000041,system,好意的に承知する,客の趣味,食べる,食べることが趣味なんですね。,食べることがお好きなのですね。
