id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
s00000207,system,好意的に承知する,客の観光の同行者 客が希望する観光の季節,なし 希望なし,お一人でご旅行されるのですね、良いですね。,一人旅、時期の希望は特になしということで承知いたしました、羨ましいです。
s00000750,system,好意的に承知する,客の希望の観光時間帯 客が観光にかけたい時間,未定 90分以上,時間帯はまだですが90分以上かけての観光をということですね、良いプランだと思います。,観光時間は90分以上で時間帯はまだお決めになっていないのですね、良いですね。
s00002557,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の設備 観光地の予約要否,壷阪寺 乳幼児への対応あり 可能,壷阪寺は訪問の際のご予約も可能ですし、乳幼児対応もありますのでおすすめですよ。,壷阪寺は設備が充実していて乳幼児対応もありますし、事前予約も可能ですのでおすすめです。
s00001544,system,情報を教える,観光地の名称 観光地の割引 観光地の設備,八重岳 桜の森公園 不明 障害者への対応あり,八重岳桜の森公園の割引等の有無は申し訳ありません、把握できておりませんが、障害者対応はございますよ。,八重岳桜の森公園に割引制度があるのかは不明ですが、障害者対応はあるようです。
s00000721,system,好意的に承知する,客が希望する観光の季節 客がインドア派かアウトドア派か,冬 インドア,冬にインドア的なご旅行をご希望ですね、良いですね。,ご希望の季節は冬で、インドアを嗜好されるのですね、素敵なプランだと思います。
s00002120,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の公共交通機関でのアクセス,八女市上陽地区一円のほたる ＪＲ渋川駅→渋川タウンバス渋川スカイランドパークまたは平和墓苑行きで15分、渋川スカイランドパーク下車、徒歩すぐ,八女市上陽地区一円のほたるは非常に有名ですのでお勧めしますよ、JR渋川駅からもバスで15分程度、バス停からもすぐですのでアクセスも良好です。,JR渋川駅からバスで15分ほどの八女市上陽地区という所は大変美しいほたるの群生地として知られていますがいかがですか。
s00000082,system,好意的に承知する,客の名前（※） 客が希望する食べ物,高橋 パスタ,高橋様はパスタをご希望ですね、素晴らしいご選択です。,パスタで間違いございませんか高橋様、良い選択だと思います。
s00002436,system,観光地の情報を使って客におすすめする,観光地の名称 観光地が雨天でも楽しめるか 観光地の電話番号,八ケ崎海水浴場 可能 0748-82-3411,八ケ崎海水浴場は雨天でも楽しめる場所ですし、海水浴場の管理先へ電話することも出来ますのでプランに組み込まれてはいかがですか。,八ケ崎海水浴場は雨天でも楽しめる施設だと聞いておりますし、天候その他不安がおありの場合は電話連絡先もありますのでおすすめですよ。
s00002558,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の設備 観光地の予約要否,みかど農園 障害者への対応あり 可能,みかど農園は障害者対応の施設でご予約も可能ですのでおすすめです。,みかど農園は障害者への対応もありますし、必要なら事前予約も可能ですので大変おススメです。
s00002026,system,情報を教える,観光地の名称 観光地がインドアかアウトドアか 観光地の予約要否,トドワラ インドア 不可能,トドワラは予約はできませんがインドア要素はありますよ。,トドワラはインドア派向きです、ただ、予約はできないようです。
s00002090,system,情報を教える,観光地の名称 観光地の待ち時間 観光地の新型コロナウイルス感染対策,白米千枚田 不明 不明,白米千枚田ですが、見学のための待ち時間や現地のコロナ対策等は不明です。,白米千枚田の待ち時間やコロナの感染対策の有無は不明です。
s00000674,system,好意的に承知する,客の希望の観光時間帯 客が希望する観光の季節,未定 冬,時間帯はまだ未定ですが冬場の観光がご希望ですね、良いと思います。,季節は冬でその他詳細は決まっていないのですね、冬いいですね。
s00001584,system,情報を教える,観光地の名称 観光地の設備 観光地のWi-Fiの有無,黄金崎 ペットへの対応あり あり,黄金崎はペットにも対応していますし、Wi-Fiも使えますよ。,黄金崎にはペット対応設備もありますし、Wi-Fi利用も可能です。
s00002276,system,観光地の情報を使って客におすすめする,観光地の名称 観光地での観光の所要時間 観光地のジャンル,臥牛窯・窯元ぎゃらりい 60分以上90分未満 山・丘陵,ちょっとした丘陵地帯にありますが、臥牛窯・窯元ぎゃらりいは60分から90分程度で訪れるにはピッタリの場所ですよ。,臥牛窯という窯元があるのですが、山・丘陵にあって風光明媚ですし90分見ておけばじっくり見て回れますのでおすすめです。
s00001491,system,情報を教える,観光地の名称 観光地におすすめな人 観光地が雨天でも楽しめるか,宇和島市営闘牛場 家族 可能,宇和島市営闘牛場は屋根付きで雨の心配もいりませんしご家族で楽しめると思います。,宇和島市営闘牛場は家族で観光するのにおすすめですし、雨にふられる心配もいりませんよ。
s00001684,system,情報を教える,観光地の名称 観光地の設備 観光地の喫煙可否,赤間神宮 ペットへの対応なし 不可能,赤間神宮はペット対応もないですし、禁煙です。,赤間神宮はペットも喫煙も禁止です。
s00001183,system,情報を教える,観光地の名称 観光地のジャンル 観光地におすすめな時期,ひがし茶屋街 テーマパーク・遊園地 夏,ひがし茶屋街は夏にぴったりのテーマパークです。,ひがし茶屋街というテーマパークは夏におすすめの観光施設です。
s00000905,system,質問する,客の観光の同行者 客の趣味,? ?,お客様の同行者様とご趣味を教えていただけますか？,ご旅行はどなたと行かれますか、またおきゃのご趣味などもあれば教えてください。
s00001896,system,情報を教える,観光地の名称 観光地の飲食物持ち込みの可否 観光地の予約要否,目の霊山 油山寺 不明 可能,目の霊山 油山寺は予約可能ですが飲食物の持ち込みが可能かどうかは分かりません。,目の霊山油山寺は事前予約可能です。また、飲食物持ち込みに関しましてはふめいです。
s00000041,system,好意的に承知する,客の趣味,食べる,食べることがお好きなのですね、素晴らしいです。,食がご趣味ですか、良いですね。
