id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
s00002277,system,観光地の情報を使って客におすすめする,観光地の名称 観光地での観光の所要時間 観光地のジャンル,野球歴史資料館 の・ぼーるミュージアム 90分以上 動物園,野球歴史資料館の・ぼーるミュージアムはここから90分以上かかる動物園です。,代表的な観光地として動物園である野球歴史資料館の・ぼーるミュージアムがあります。ここから90分以上かかります。
s00001127,system,情報を教える,観光地の名称 観光地のWi-Fiの有無,延命公園 あり,この付近の名所として延命公園がありWi-Fiを使用することができます。,この付近で無料Wi-Fiがあるのは延命公園です。
s00002349,system,観光地の情報を使って客におすすめする,観光地の名称 観光地におすすめな時期 観光地の料金,大津アレックスシネマ 秋 入園大人550円,大津アレックスシネマは秋が最も見ごろです。入園料は大人1人550円です。,秋のおすすめ観光地といえば大人1人550円で入園できる大津アレックスシネマです。
s00000559,system,好意的に承知する,客の希望の観光時間帯 客が希望する交通手段,日中 バス,日中の観光はバスを使うことをお勧めします。,バスは日中多く運送していますので使用しやすいと思います。
s00002289,system,観光地の情報を使って客におすすめする,観光地の名称 観光地のジャンル 観光地のレビュー,船岡竹林公園 ハイキング・自然研究路・遊歩道・探勝路 凄くおっきくてエベレストかと思いました。,船岡竹林公園は遊歩道やハイキングができる観光地であり、竹林の山が凄くおっきくてエベレストかと思いました。,船岡竹林公園には凄くおっきくてエベレストかと思うくらいの竹林があり、ハイキングにうってつけです。
s00001126,system,情報を教える,観光地の名称 観光地のWi-Fiの有無,みかん資料館 不明,みかん資料館に無料Wi-Fiがあるかはわかりません。,この近辺の観光地としてはみかん資料館がありますが、無料Wi-Fiがあるかはわかりません。
s00000829,system,好意的に承知する,客の本日の交通手段 客の本日の同行者,電車 友達,友達と一緒に電車で来ていただくことをお勧めします。,電車で来ていただくと友達も来やすいと思います。
s00002371,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の車でのアクセス 観光地の最寄り駅,もみじ谷大吊橋 常磐道桜土浦ICから県道55号経由8km20分 三河高浜,もみじ谷大吊橋の最寄り駅は三河高浜です。お車でお越しの場合は常磐道桜土浦ICから県道55号経由で8km、約20分かかります。,三河高浜付近の観光地としてもみじ谷大吊橋が有名です。お車でお越しの場合は、常磐道桜土浦ICから県道55号経由で8km、約20分かかります。
s00001832,system,情報を教える,観光地の名称 観光地の手荷物預かりの有無 観光地の撮影可否,さきたま古墳公園 あり 不明,さきたま古墳公園は手荷物を預かってくれるので散策しやすいです。観光地で撮影できるかはわかりませんので現地で確認してください。,この付近の観光地で手荷物を預けられる観光地はさきたま古墳公園です。撮影できるかがここではわかりかねますので、現地にてご確認ください。
s00000079,system,好意的に承知する,客の名前（※） 客が希望する交通手段,原田 電車,原田様は電車で来られると聞いております。お気をつけてお越しくださいませ。,原田さんがここへ来るのには電車が最も良いかと思います。
s00002251,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の飲食物持ち込みの可否,石見銀山資料館 可能,石見銀山資料館は近辺を代表する観光地で飲食物持ち込みもできます。,この付近で飲食物持ち込みができる観光地としては石見銀山資料館があります。
s00001338,system,情報を教える,観光地の名称 観光地の駐車場の有無 観光地での観光の所要時間,農事組合法人ブルーベリー明野 あり 30分未満,農事組合法人ブルーベリー明野は駐車場がありますので、車で行きやすいです。観光地は30分程度でまわることができます。,少しの空き時間がある場合は農事組合法人ブルーベリー明野をお勧めします。30分程度ですべて見ることができますし、駐車場があるので車で行くことができます。
s00001901,system,情報を教える,観光地の名称 観光地の飲食物持ち込みの可否 観光地の予約要否,雲辺寺 不可能 不明,この付近の代表的な観光地である雲辺寺は飲食物持ち込みができませんのでお気をつけください。また予約ができるかはここではわかりかねますので、お電話で確認してください。,雲当寺はここでは予約が必要かわかりかねますので、事前にホームページ等をご確認ください。なお、飲食物持ち込みはできません。
s00001449,system,情報を教える,観光地の名称 観光地での観光の所要時間 観光地が雨天でも楽しめるか,道の駅みなみ波賀 ブルーベリー畑 60分以上90分未満 可能,道の駅みなみ波賀 ブルーベリー畑は60分～90分程度で見て回れる観光地です。雨天でも楽しめるエリアがありますので天気を気にせずに観光することができます。,雨天でも楽しめる観光地としては道の駅みなみ波賀 ブルーベリー畑があります。観光地での所要時間は60分から90分程度ですので時間が空いているようでしたらお越しください。
s00001682,system,情報を教える,観光地の名称 観光地の設備 観光地の喫煙可否,由比ケ丘 ペットへの対応なし 不明,由比ケ丘はペットを連れ込むことができませんのでご注意ください。また喫煙箇所ができるかわかりませんので、必要な場合は事前にご確認ください。,由比ケ丘は喫煙できるかがここではわかりかねます。しかしペットを連れ込むことができないことはわかります。
s00002614,system,観光地の情報を使って客におすすめする,観光地の名称 観光地がインドアかアウトドアか 観光地のWi-Fiの有無,住吉大社 アウトドア あり,住吉大社は外で楽しむ観光地となっています。無料Wi-Fiもありますので、ご気軽にお立ち寄りください。,この付近でアウトドアを楽しみたいのであれば住吉大社がおすすめです。無料Wi-Fiもありますので、通信費を気にせずにみんなで楽しむことができます。
s00000877,system,質問する,客が希望する交通手段,?,どのような交通手段でここまで来ますか？,ここまでどのように来られますか？
s00000457,system,好意的に承知する,客が希望する観光の季節 客が希望する交通手段,春 徒歩,ここは春に来ていただくことがおすすめです。景色が良いので徒歩で来ていただくと満喫できると思います。,徒歩で来ていただく場合は春が気候もよく来やすいと思います。
s00000623,system,好意的に承知する,客が希望する観光ジャンル 客が希望する観光の季節,庭園・植物園・ハーブ園 春,春に来ていただくと植物園・ハーブ園に様々な花が咲き誇っていますのでお勧めです。,この庭園に春に来ていただくのはとても良いと思います。近くの植物園・ハーブ園も同じく春が一番散策しやすいと思います。
s00002288,system,観光地の情報を使って客におすすめする,観光地の名称 観光地のジャンル 観光地が雨天でも楽しめるか,道の駅阿武町 温水プール 立ち寄り温泉 可能,道の駅阿武町 温水プールは立ち寄り温泉であり、雨天でも入浴することができるので天候を気にせず入浴することができます。,この付近で雨天でも入ることができる温泉は道の駅阿武町 温水プールがあります。予約不要で立ち寄って入ることができるのでおすすめです。
