id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
s00000151,system,好意的に承知する,客の観光の同行者 客が希望する交通手段,友達 バス,ご友人とバスに乗られるのですね。,バスを利用して、ご友人と出かけられるのですね。
s00000572,system,好意的に承知する,客の希望の観光時間帯 客が希望する交通手段,夜 車,お車で夜に出発されるのですね。,夜にお車での移動ですね。かしこまりました。
s00002037,system,情報を教える,観光地の名称 観光地の利用可能なキャッシュレス決済 観光地の喫煙可否,舞洲陶芸館 不明 可能,舞洲陶芸館は喫煙が可能です。また、キャッシュレス決済は不明となっています。,舞洲陶芸館のキャッシュレス決済は不明ですが、喫煙は可能です。
s00000445,system,好意的に承知する,客が希望する観光の季節 客が希望する交通手段,希望なし 希望なし,それは良い季節だと思います。交通手段も問題ありません。,季節的にも交通手段も良いと思います。
s00001527,system,情報を教える,観光地の名称 観光地のお土産 観光地の予約要否,秩父宮記念 三峰山博物館 伝統工芸品 不明,秩父宮記念三峰山博物館は、伝統工芸品を展示しています。予約できるかは不明となっております。,秩父宮記念三峰山博物館の予約要否は不明ですが、伝統工芸品が数多く展示出されております。
s00002671,system,観光地の情報を使って客におすすめする,観光地の名称 観光地周辺のレストランのジャンル 観光地周辺のレストランの評価,大阪府民の森 ほしだ園地 麺類 5,大阪府民ほしだ園地の周辺では、麺類がおすすめで、レストランの評価が５です。,大阪府民ほしだ園地の周辺は、麺類が有名となっております。レストランの評価も５となっております。
s00000959,system,情報を教える,観光地の名称 観光地におすすめな人,豫章館 女性,豫章館は特に女性におすすめです。,豫章館という観光地ですが、女性におすすめなところです。
s00001794,system,情報を教える,観光地の名称 観光地のすいている曜日，時間帯 観光地のWi-Fiの有無,池田湖 平日の午後 あり,池田湖は平日の午後が空いていておすすめです。また、Wi-Fiも完備されております。,池田湖はWi-Fiがあり、空いているのは平日の午後です。
s00000524,system,好意的に承知する,客が観光にかけたい時間 客が希望する交通手段,90分以上 バス,バスで90分以上かかる観光地がご希望ですね。,そちらはバスで90分以上乗っていただけます。
s00002257,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の待ち時間,黒部湖駅 通常はあまり待たずに入場可能,黒部湖駅は、通常はあまり待たずにご入場できます。,普段、黒部湖駅はあまり待たずに入場が可能です。
s00001899,system,情報を教える,観光地の名称 観光地の飲食物持ち込みの可否 観光地の予約要否,笠間稲荷神社 可能 可能,笠間稲荷神社は、飲食物の持ち込みも、予約も可能です。,笠間稲荷神社は予約可能です。また、飲食物の持ち込みも可能となっております。
s00001737,system,情報を教える,観光地の名称 観光地がインドアかアウトドアか 観光地の設備,神明神社 インドア 障害者への対応なし,神明神社はインドアとなっております。また、障害者への対応はございません。,神明神社は障碍者への対応は行っておらず、インドアとなっております。
s00001536,system,情報を教える,観光地の名称 観光地のお土産 観光地の広さ,洲原公園 不明 一日あれば十分見て回れるような広さ,洲原公園は一日あれば十分にみて回れるような広さです。観光地のお土産は不明となっております。,洲原公園でしたら一日あれば十分に見て回れるような広さとなっております。尚、お土産は不明です。
s00001922,system,情報を教える,観光地の名称 観光地の飲食物持ち込みの可否 観光地の広さ,フレール洋菓子店 不明 不明,フレール洋菓子店ですが、飲食物持ち込み及び広さは不明です。,フレール洋菓子店は、飲食物持ち込みや場所の広さは不明となっております。
s00001657,system,情報を教える,観光地の名称 観光地の設備 観光地の予約要否,とちのきファミリーランド ペットへの対応あり 不可能,とちのきファミリーランドはペットへの対応があります。尚、予約は不可能です。,とちのきファミリーランドは予約は不可能ですが、ペットへの対応を行っております。
s00000816,system,好意的に承知する,客の本日の交通手段 客の本日の同行者,車 歴史好き,お車でお越しで、歴史がお好きなんですね。,歴史がお好きで、お車で移動できるところですね。
s00000127,system,好意的に承知する,客の観光の同行者 客が希望する交通手段,なし 未定,お一人様で、交通手段は未定でございますね。,では、おひとり様で、交通手段は未定ですね。
s00001864,system,情報を教える,観光地の名称 観光地の手荷物預かりの有無 観光地の利用可能なキャッシュレス決済,みのおキューズモール なし バーコード決済,みのおキューズモールは、手荷物預かりがなしで、バーコード決済が可能です,みのおキューズモールはバーコード決済が可能です。尚、手荷物預かりは無しとなっております。
s00001204,system,情報を教える,観光地の名称 観光地の営業時間 観光地におすすめな人,しらかば2in1スキー場 夏期9～17時、冬期9時30分～16時 友達,しらかば2in1スキー場は、夏期9～17時、冬期9時30分～16時です。ご友人とご一緒がおすすめです。,しらかば2in1スキー場はご友人とお越しになるのがおすすめです。また夏期9～17時、冬期9時30分～16時となっております。、
s00000392,system,好意的に承知する,客の観光の同行者 客の希望の観光時間帯,女性 午後,女性の方と午後に観光をご希望ですね。,観光は午後で、女性の方とご一緒ですね。
