id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
s00000151,system,好意的に承知する,客の観光の同行者 客が希望する交通手段,友達 バス,お友達とバスで観光に行かれるのですね。素敵ですね。,お友達とバスでの移動をご希望ですね。かしこまりました。
s00000572,system,好意的に承知する,客の希望の観光時間帯 客が希望する交通手段,夜 車,夜に車での移動をご希望ですね。かしこまりました。,夜の時間帯に車でご移動されるのですね。夜景が見えるといいですね。
s00002037,system,情報を教える,観光地の名称 観光地の利用可能なキャッシュレス決済 観光地の喫煙可否,舞洲陶芸館 不明 可能,舞洲陶芸館で利用できるキャッシュレス決済は不明ですが、喫煙は可能となっております。,舞洲陶芸館はキャッシュレス決済が利用できるかどうかわかりません。喫煙はできるようです。
s00000445,system,好意的に承知する,客が希望する観光の季節 客が希望する交通手段,希望なし 希望なし,ご旅行楽しみですね。,素敵なご旅行になるといいですね。
s00001527,system,情報を教える,観光地の名称 観光地のお土産 観光地の予約要否,秩父宮記念 三峰山博物館 伝統工芸品 不明,秩父宮記念 三峰山博物館では伝統工芸品などのお土産が購入できるようです。入場の予約が必要かはわかりません。,秩父宮記念 三峰山博物館は予約が必要かはわかりませんが、お土産には伝統工芸品が買えるようです。
s00002671,system,観光地の情報を使って客におすすめする,観光地の名称 観光地周辺のレストランのジャンル 観光地周辺のレストランの評価,大阪府民の森 ほしだ園地 麺類 5,大阪府民の森 ほしだ園地の周辺では、麺類を扱っているレストランがあり評価も5となっていますのでおすすめです。,大阪府民の森 ほしだ園地周辺のおすすめレストランは麺類のお店で、評価も5と高評価です。
s00000959,system,情報を教える,観光地の名称 観光地におすすめな人,豫章館 女性,豫章館には女性が多く行かれるようです。,豫章館に行かれるのは、女性の方がおすすめのようです。
s00001794,system,情報を教える,観光地の名称 観光地のすいている曜日，時間帯 観光地のWi-Fiの有無,池田湖 平日の午後 あり,池田湖は平日の午後はすいていて、Wi-Fiも使えるようです。,池田湖に行かれるようでしたら、平日の午後がすいているようです。Wi-Fiも利用可能です。
s00000524,system,好意的に承知する,客が観光にかけたい時間 客が希望する交通手段,90分以上 バス,バスで行かれて、お時間は90分以上はかけたいとのことですね。かしこまりました。,お時間は90分以上取り、バスでの移動をご希望ですね。
s00002257,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の待ち時間,黒部湖駅 通常はあまり待たずに入場可能,黒部湖駅は、通常はあまり待たずに入場が可能ですのでおすすめです。,黒部湖駅でしたら、通常はあまり待たずに入場ができますのでおすすめです。
s00001899,system,情報を教える,観光地の名称 観光地の飲食物持ち込みの可否 観光地の予約要否,笠間稲荷神社 可能 可能,笠間稲荷神社は、予約が可能、飲食物の持ち込みも可能となっております。,笠間稲荷神社は、予約が可能です。また、飲食物の持ち込みも可能です。
s00001737,system,情報を教える,観光地の名称 観光地がインドアかアウトドアか 観光地の設備,神明神社 インドア 障害者への対応なし,神明神社はインドアになっておりますが、障害者対応は行っていないようです。,神明神社はインドアで、障害者への対応なしとのことです。
s00001536,system,情報を教える,観光地の名称 観光地のお土産 観光地の広さ,洲原公園 不明 一日あれば十分見て回れるような広さ,洲原公園は一日あれば十分見て回れるような広さです。お土産は何が買えるかは不明です。,洲原公園は、お土産はわかりませんが、一日あれば十分見て回れるような広さの所です。
s00001922,system,情報を教える,観光地の名称 観光地の飲食物持ち込みの可否 観光地の広さ,フレール洋菓子店 不明 不明,フレール洋菓子店は飲食物の持ち込みができるかわかりません。広さもどのくらいかはわかりません。,フレール洋菓子店の広さや飲食物の持ち込みの可否は不明です。
s00001657,system,情報を教える,観光地の名称 観光地の設備 観光地の予約要否,とちのきファミリーランド ペットへの対応あり 不可能,とちのきファミリーランドは予約不可能ですが、ペットへの対応はあるようです。,とちのきファミリーランドはペットへの対応はありますが、予約は不可能なようです。
s00000816,system,好意的に承知する,客の本日の交通手段 客の本日の同行者,車 歴史好き,車での移動をご希望で、お連れ様は歴史がお好きなのですね。,同行者様は歴史がお好きで、車で移動されるのですね。
s00000127,system,好意的に承知する,客の観光の同行者 客が希望する交通手段,なし 未定,同行者様はなし、交通手段は決まってらっしゃらないのですね。かしこまりました。,交通手段は未定、同行者様はいらっしゃらないのですね。
s00001864,system,情報を教える,観光地の名称 観光地の手荷物預かりの有無 観光地の利用可能なキャッシュレス決済,みのおキューズモール なし バーコード決済,みのおキューズモールでは、手荷物預かりはなしで、バーコード決済は利用可能なようです。,みのおキューズモールはバーコード決済が利用できますが、手荷物預かりはないようです。
s00001204,system,情報を教える,観光地の名称 観光地の営業時間 観光地におすすめな人,しらかば2in1スキー場 夏期9～17時、冬期9時30分～16時 友達,しらかば2in1スキー場は、夏期は9～17時、冬期は9時30分～16時までの営業となっております。お友達と行かれるのもおすすめです。,しらかば2in1スキー場はお友達と行かれるのもいいですね。夏期は9～17時、冬期は9時30分～16時までの営業となっております。営業時間は
s00000392,system,好意的に承知する,客の観光の同行者 客の希望の観光時間帯,女性 午後,同行者様は女性、ご希望の時間帯は午後ですね。かしこまりました。,時間帯は午後、同行者様は女性ですね。
