id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
s00001313,system,情報を教える,観光地の名称 観光地の電話番号 観光地の最寄り駅,ナナちゃん人形 0153-23-2942 沼津,ナナちゃん人形の最寄り駅は沼津です。電話番号は0153-23-2942となっております。,ナナちゃん人形の電話番号は0153-23-2942で、沼津駅から一番近いですよ。
s00001907,system,情報を教える,観光地の名称 観光地の飲食物持ち込みの可否 観光地の喫煙可否,野外恐竜博物館 可能 不明,野外恐竜博物館では飲食物持ち込みは可能ですが、喫煙につきましては不明となっております。,野外恐竜博物館は飲食物持ち込みが可能です。また、喫煙につきましては不明となっておりますので現地のスタッフにご確認頂けますと幸いです。
s00001175,system,情報を教える,観光地の名称 観光地での観光の所要時間 観光地のジャンル,無人島「水島」リゾート 90分以上 ハイキング・自然研究路・遊歩道・探勝路,無人島「水島」リゾートではハイキング・自然研究路・遊歩道・探勝路がお楽しみいただけます。所要時間は90分以上となっております。,無人島「水島」リゾートの観光の所要時間は90分以上で、ハイキング・自然研究路・遊歩道・探勝路を楽しむことができます。
s00001200,system,情報を教える,観光地の名称 観光地での観光の所要時間 観光地の営業時間,アクアシティお台場神社 30分以上60未満 9時～16時50分,アクアシティお台場神社の営業時間は9時～16時50分です。観光の所要時間は30分以上60未満となっております。,アクアシティお台場神社の観光の所要時間は30分以上60未満で、営業時間は9時～16時50分です。
s00002307,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の営業時間 観光地におすすめな時期,道の駅 塩津海道あぢかまの里 17時～23時30分LO 春,道の駅 塩津海道あぢかまの里の営業時間は17時～23時30分LOとなっております。春の季節がおすすめですよ。,道の駅 塩津海道あぢかまの里は春の時期がおすすめです。営業時間は17時～23時30分LOとなっております。
s00001021,system,情報を教える,客の名前（※） 観光地の名称 観光地の車でのアクセス,河野 アミュプラザ長崎 常磐道土浦北ICから国道125号経由20km40分,河野様、アミュプラザ長崎は常磐道土浦北ICから国道125号経由で20km、車で40分となっております。,河野様、アミュプラザ長崎へのアクセスについてお伝えいたします。車で常磐道土浦北ICから国道125号経由20km、所要時間は40分となっております。
s00002402,system,観光地の情報を使って客におすすめする,観光地の名称 観光地におすすめな時期 観光地の最寄り駅,竹生島 夏 指宿,竹生島の最寄り駅は指宿です。観光には夏の時期が特におすすめですよ。,竹生島は夏の季節の観光がおすすめです。指宿が一番近い駅です。
s00000869,system,好意的に承知する,客の希望の観光時間帯 客がインドア派かアウトドア派か,夜 インドア,夜の観光も素敵ですね。インドア派のお客様も楽しめる内容となっております。,私もインドア派です。夜の時間帯の観光も良いですよね。
s00000417,system,好意的に承知する,客の観光の同行者 客がインドア派かアウトドア派か,恋人 アウトドア,恋人とのご旅行とても素敵ですね。アウトドア派のお客様には外の観光も楽しみですね。,アウトドア派のお客様には自然を感じられるスポットがよいかもしれません。恋人と観光されるとのことで楽しみですね。
s00000604,system,好意的に承知する,客が希望する観光ジャンル 客が希望する食べ物,高原・湿原・森・林・木 オムライス,高原・湿原・森・林・木など自然を感じられるスポットは素敵ですよね。美味しいオムライスに出会えるお店も探してみます。,高原・湿原・森・林・木など心が癒されて良いですよね。そんな自然の中でのオムライスは最高だと思います。
s00001012,system,情報を教える,観光地の名称 観光地周辺のレストランの評価,剣ケ池 4,剣ケ池の周辺のレストランの評価は４となっております。,剣ケ池付近のレストランには４の評価がつけられています。
s00001424,system,情報を教える,観光地の名称 観光地での観光の所要時間 観光地におすすめな人,高峠つつじケ丘公園 90分以上 家族,高峠つつじケ丘公園の観光の所要時間は90分以上となっております。家族連れの方におすすめですよ。,高峠つつじケ丘公園は家族連れの皆さんにおすすめです。観光の所要時間は90分以上です。
s00000857,system,好意的に承知する,客の希望の観光時間帯 客がインドア派かアウトドア派か,希望なし インドア,お客様はインドア派でご希望の観光時間帯は特に無しとのことでしたので、屋内で自由にゆったりと楽しめそうで良いですね。,インドア派でいらしゃいましたら屋内の観光が良いですね。特に時間帯のご希望は無いとのことでしたので、ゆっくり楽しめて素敵な時間になると思います。
s00001273,system,情報を教える,観光地の名称 観光地での観光の所要時間 観光地の公共交通機関でのアクセス,梼原三嶋神社 60分以上90分未満 ＪＲ阿波中島駅→車7分,梼原三嶋神社はＪＲ阿波中島駅から車で7分のところにあります。観光の所要時間は60分以上90分未満となっております。,梼原三嶋神社の観光の所要時間は60分以上90分未満で、ＪＲ阿波中島駅から車で7分の場所に位置しております。
