id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
s00001501,system,情報を教える,観光地の名称 観光地が雨天でも楽しめるか 観光地におすすめな時期,萩・明倫学舎 可能 夏,萩・明倫学舎は雨天でも楽しめます。,荻・明倫学舎は雨天で楽しむことも可能です。
s00001921,system,情報を教える,観光地の名称 観光地の飲食物持ち込みの可否 観光地の利用可能なキャッシュレス決済,とちぎ蔵の街観光館 不可能 バーコード決済,とちぎ蔵の街観光館の飲食物持ち込みは不可能です。,とちぎ蔵の街観光館に飲食物は持ち込めません。
s00001185,system,情報を教える,観光地の名称 観光地のジャンル 観光地におすすめな時期,真鶴岬 観光鉄道・ケーブルカー・トロッコ 冬,真鶴岬では観光鉄道・ケーブルカー・トロッコに乗れます。,真鶴岬には観光鉄道・ケーブルカー・トロッコがございます。
s00002184,system,観光地の情報を使って客におすすめする,客の名前（※） 観光地の名称 観光地におすすめな人,新井 紀州梅の里 なかた 家族,新井様ご一家には紀州梅の里なかたがオススメです。,家族で楽しめるので紀州梅の里なかたは新井様にピッタリです。
s00001556,system,情報を教える,観光地の名称 観光地の飲食物持ち込みの可否 観光地の割引,無人島「水島」リゾート 可能 子供とお年寄り、障害を持つ方に対して割引がある,無人島「水島」リゾートは飲食物持ち込み可能です。,無人島「水島」リゾートには飲食物を持ち込めます。
s00002032,system,情報を教える,観光地の名称 観光地の駐車場の料金 観光地の喫煙可否,茂右衛門蔵 2時間500円、以降30分毎300円 不可能,茂右衛門蔵の駐車料金は2時間500円です。喫煙は不可です。,茂右衛門蔵では2時間500円、以降30分毎300円の駐車料金がかかります。喫煙はできません。
s00001836,system,情報を教える,観光地の名称 観光地の手荷物預かりの有無 観光地の撮影可否,道の駅はわい なし 可能,道の駅はわいには手荷物預かり所はありません。撮影はできますよ。,道の駅はわいでは手荷物預かり不可です。撮影は可能です。
s00000250,system,好意的に承知する,客の観光の同行者 客が希望する観光の季節,女性 春,女性には春がオススメです。,春が女性に人気です。
s00000709,system,好意的に承知する,客が希望する観光の季節 客がインドア派かアウトドア派か,希望なし インドア,季節の希望がないならインドアもいいですね。,インドア派ならどの季節もオススメです。
s00000107,system,好意的に承知する,客の名前（※） 客の本日の交通手段,田中 バス,田中様にはバスがオススメです。,田中様はバスでお越しと伺っております。
s00000576,system,好意的に承知する,客の希望の観光時間帯 客が希望する交通手段,夜 徒歩,夜でしたら徒歩がオススメです。,徒歩でいらっしゃるなら夜がいいですよ。
s00001622,system,情報を教える,観光地の名称 観光地の飲食物持ち込みの可否 観光地の設備,大田神社 可能 乳幼児への対応なし,大田神社は飲食物持ち込み可能です。乳幼児への対応はありません。,大田神社には飲食物が持ち込めます。乳幼児設備は整っておりません。
s00000664,system,好意的に承知する,客の趣味 客が希望する観光の季節,鑑賞 希望なし,季節問わず鑑賞できます。,鑑賞でしたらどの季節もできますよ。
s00001575,system,情報を教える,観光地の名称 観光地がインドアかアウトドアか 観光地の割引,地球市民交流センター インドア 子供とお年寄り、障害を持つ方に対して割引がある,地球市民交流センターはインドア派にオススメです。子供とお年寄り、障害を持つ方に対して割引があります。,インドア派の子供とお年寄り、障害を持つ方には地球市民交流センターがピッタリです。割引もありますよ。
s00000122,system,好意的に承知する,客の観光の同行者 客が希望する交通手段,未定 車,車ならどなたでも行きやすいですよ。,同行者未定なら車がオススメです。
s00000737,system,好意的に承知する,客が希望する観光ジャンル 客がインドア派かアウトドア派か,スケート インドア,インドア派ならスケートがオススメです。,スケートならインドア派でも楽しめます。
s00001059,system,情報を教える,客の名前（※） 観光地の名称 観光地の飲食物持ち込みの可否,中川 パル観光果樹農園 不明,パル観光果樹農園には飲食物が持ち込めるかわからないと中川様が聞いています。,中川様はパル観光果樹農園は飲食物持ち込み不明なのをご存知です。
s00001804,system,情報を教える,観光地の名称 観光地の待ち時間 観光地のWi-Fiの有無,日限地蔵院 不明 なし,日限地蔵院の待ち時間は不明です。Wi-Fiはありません。,日限地蔵院に入るにはどのくらい待つかわかりません。Wi-Fiはないです。
s00000234,system,好意的に承知する,客の観光の同行者 客が希望する観光の季節,恋人 秋,恋人と行くなら秋がオススメです。,秋に行くなら恋人と一緒がいいですよ。
s00001341,system,情報を教える,観光地の名称 観光地の駐車場の有無 観光地での観光の所要時間,アサヒ飲料明石工場 あり 90分以上,アサヒ飲料明石工場には駐車場があり、90分以上観光できます。,90分以上観光できるアサヒ飲料明石工場には駐車場がございます。
