id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
s00000430,system,好意的に承知する,客が希望する食べ物 客が希望する交通手段,すし 未定,こちらのお寿司は美味しいですよね。,美味しいお寿司が食べられますよ。
s00000998,system,情報を教える,観光地の名称 観光地のすいている曜日，時間帯,南禅寺天授庵 不明,近くの観光地ですと南禅寺天授庵がおすすめです。,観光には南禅寺天授庵をおすすめいたします。
s00002463,system,観光地の情報を使って客におすすめする,観光地の名称 観光地での観光の所要時間 観光地におすすめな時期,カンドゥー 30分未満 秋,秋のご旅行ですとカンドゥーがおすすめです。30分未満で手軽に観光することができます。,カンドゥーは所要時間が30分以内で短時間の観光がでますし、秋の季節は見頃となっております。
s00001464,system,情報を教える,観光地の名称 観光地におすすめな人 観光地におすすめな時期,ジョーズ 女性 秋,女性の方にはジョーズがおすすめの観光地になります。秋の季節には特におすすめの観光地です。,秋のご旅行でしたら、ジョーズがおすすめです。こちらは女性に人気の観光地になっております。
s00002052,system,情報を教える,観光地の名称 観光地がインドアかアウトドアか 観光地の喫煙可否,卯子酉様 不明 可能,卯子酉様では喫煙が可能となっております。,卯子酉様でしたら喫煙が可能となっておりますので、おたばこをお吸いになる方でもお楽しみいただけるかと思います。
s00001344,system,情報を教える,観光地の名称 観光地の駐車場の有無 観光地での観光の所要時間,鹿山公園 なし 60分以上90分未満,鹿山公園の所要時間は60分以上90分未満となっております。,鹿山公園を観光されるには、60分以上90分未満のお時間が必要となります。
s00002383,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の車でのアクセス 観光地におすすめな人,UPパラグライダースクール 東名高速清水ICから国道149号経由10分 歴史好き,歴史が好きな方にはUPパラグライダースクールがお楽しみいただけると思います。東名高速清水ICから国道149号経由で10分の所にあるので移動も楽かと思います。,東名高速清水ICから国道149号を経由して10分の所にUPパラグライダースクールがございます。こちらは歴史好きの方に人気の観光地となっております。
s00001565,system,情報を教える,観光地の名称 観光地の割引 観光地の喫煙可否,軽井沢・プリンスショッピングプラザ／芝生のひろば 不明 可能,軽井沢・プリンスショッピングプラザの芝生のひろばでしたから喫煙が可能となっております。,近くで喫煙が可能な施設は軽井沢・プリンスショッピングプラザの芝生のひろばとなります。
s00002007,system,情報を教える,観光地の名称 観光地の利用可能なキャッシュレス決済 観光地の予約要否,伊豆ぐらんぱる公園 不明 可能,伊豆ぐらんぱる公園でしたら予約可能となっております。,予約可能な施設に伊豆ぐらんぱる公園がございます。
s00000705,system,好意的に承知する,客が希望する観光の季節 客がインドア派かアウトドア派か,未定 特になし,お好みの場所が見つかるようお手伝いいたします。,良さそうな所を一緒にお探しいたします。
s00000133,system,好意的に承知する,客の観光の同行者 客が希望する交通手段,なし 徒歩,歩いての観光ですと、様々な景色も楽しめて良いですよね。,のんびりと歩いての観光も良いですよね。
s00000283,system,好意的に承知する,客の観光の同行者 客が観光にかけたい時間,乳幼児 希望なし,小さなお子様も楽しめる施設をお探ししますね。,お子様と一緒で楽しい思い出になりますね。
s00002569,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の設備 観光地の駐車場の料金,旧片山家住宅 乳幼児への対応あり 季節により異なる,旧片山家住宅は、駐車場の料金は季節により変動いたしますが乳幼児への対応がありますのでおすすめです。,旧片山家住宅は季節により駐車料金が変わりますが、駐車場もあり乳幼児への対応可能な施設ですので小さなお子様連れのお客様にはおすすめです。
s00002299,system,観光地の情報を使って客におすすめする,観光地の名称 観光地での観光の所要時間 観光地の営業時間,角田山 60分以上90分未満 9～17時,角田山でしたら所要時間が60分以上90分未満で、9時～17時まで営業しておりますので、観光するにはおすすめです。,角田山は9時~17時まで営業しております、所要時間も60分以上90分未満となっておりますので観光するにはおすすめの場所です。
s00000872,system,否定する,,,そちらは対応しておりません。,取り扱いがございません。
s00000344,system,好意的に承知する,客の観光の同行者 客の希望の観光時間帯,未定 午後,午後からでしたら良い時間だと思います。,午後でしたら対応可能になります。
s00002628,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の飲食物持ち込みの可否 観光地の駐車場の料金,別府タワー 可能 1月中有料日あり、普通車700円、大型車1500円,別府タワーは飲食物持ち込みも可能で、1月中は普通車700円、大型車1500円となる有料日もございますが駐車場も完備されているのでおすすめです。。,車をご利用でしたら1月中は有料日もありますが、別府タワーに駐車場がございます。料金は普通車700円、大型車1500円となりますが、こちらは飲食物持ち込みも可能となっており、おすすめの施設です。
s00001069,system,情報を教える,客の名前（※） 観光地の名称 観光地の喫煙可否,佐々木 箱根強羅公園 箱根クラフトハウス 可能,佐々木様がおたばこをお吸いになるのでしたら、箱根強羅公園 箱根クラフトハウスでは喫煙可能となっております。,佐々木様が気にしておられる箱根強羅公園 箱根クラフトハウスは喫煙可能となります。
s00001018,system,情報を教える,客の名前（※） 観光地の名称 観光地の定休日,松本 近江 孤篷庵 金曜、毎年春分の日、建国記念日、天皇誕生日の前日,松本様、近江 孤篷庵の定休日は金曜、毎年春分の日、建国記念日、天皇誕生日の前日となっております。,松本様、近江 孤篷庵は年春分の日、建国記念日、天皇誕生日の前日が定休日となっております。
s00000421,system,好意的に承知する,客の観光の同行者 客がインドア派かアウトドア派か,ペット 特になし,ペットのご同行が可能な施設をお探しします。,ペットと一緒のご旅行なんて良いですね。
