id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
s00000835,system,好意的に承知する,客の本日の交通手段 客の本日の同行者,公共交通機関 乳幼児,お子様と公共交通機関を利用されるのですね。良いですね。,公共交通機関を利用して、お子様と観光されるのは良いですね。
s00002225,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の電話番号,カレッタ汐留 0139-52-0920,カレッタ汐留はおすすめの観光地ですよ。電話番号は0139-52-0920になります。,カレッタ汐留へのご連絡は0139-52-0920になります。おすすめの観光地ですよ。
s00001711,system,情報を教える,観光地の名称 観光地の設備 観光地の待ち時間,瑞峯院 ペットへの対応あり 不明,瑞峯院はペットへの対応が可能です。待ち時間は不明です。,瑞峯院はペットへの対応も行っております。待ち時間はわかりません。
s00001415,system,情報を教える,観光地の名称 観光地での観光の所要時間 観光地におすすめな人,キャロットタワー展望台 60分以上90分未満 友達,キャロットタワー展望台の観光所要時間は、60分以上90分未満となっております。友達同士がおすすめですよ。,友達同士の観光でおすすめするのならキャロットタワー展望台ですね。観光の所要時間は60分以上90分未満です。
s00002061,system,情報を教える,観光地の名称 観光地の利用可能なキャッシュレス決済 観光地の駐車場の料金,五色台 不明 隣接駐車場利用1回600円,五色台に隣接する駐車場の利用料金は、1回600円です。利用可能なキャッシュレス決済は不明です。,五色台には隣接する駐車場があります。利用される際は1回600円になります。利用可能なキャッシュレス決済はわかりません。
s00001600,system,情報を教える,観光地の名称 観光地の手荷物預かりの有無 観光地の設備,大観覧車オーロラ 不明 ペットへの対応なし,大観覧車オーロラはペットへの対応はありません。手荷物預かりの有無は不明です。,大観覧車オーロラの対応として、ペットには対応しておりません。手荷物預かりがあるかどうかはわかりません。
s00000019,system,好意的に承知する,客の観光の同行者,歴史好き,歴史が好きなのですか、良いですね。,歴史好きなのですね。良いと思います。
s00001283,system,情報を教える,観光地の名称 観光地の公共交通機関でのアクセス 観光地におすすめな時期,秩父宮記念 三峰山博物館 ＪＲ簗場駅→徒歩20分 秋,秩父宮記念三峰山博物館はＪＲ簗場駅から徒歩20分です。秋におすすめですよ。,秋におすすめの観光地として秩父宮記念三峰山博物館があります。ＪＲ簗場駅から徒歩20分になります。
s00001139,system,情報を教える,観光地の名称 観光地の予約要否,波戸岬海水浴場 可能,波戸岬海水浴場は予約が可能です。,波戸岬海水浴場に行かれる際は、予約が可能ですよ。
s00000379,system,好意的に承知する,客の観光の同行者 客の希望の観光時間帯,家族 日中,日中に家族と観光されるのですね。良いですね。,家族と日中に観光されるのは良いと思います。
s00001886,system,情報を教える,観光地の名称 観光地の飲食物持ち込みの可否 観光地の撮影可否,しらかば2in1スキー場 不明 不明,しらかば2in1スキー場に飲食物持ち込み可能かどうかは不明です。また、撮影の可否もわかりません。,しらかば2in1スキー場の、撮影と飲食物持ち込みの可否は不明です。
s00001793,system,情報を教える,観光地の名称 観光地のすいている曜日，時間帯 観光地のWi-Fiの有無,ストロベリーハウス 平日の午後 不明,ストロベリーハウスは平日の午後がすいております。有無は不明です。,平日の午後であればストロベリーハウスがすいております。ただ、Wi-Fiがあるかどうかはわかりません。
s00001435,system,情報を教える,観光地の名称 観光地での観光の所要時間 観光地におすすめな時期,福田果樹園 60分以上90分未満 夏,福田果樹園は夏におすすめの観光地です。観光所要時間は60分以上90分未満になります。,福田果樹園の観光所要時間は60分以上90分未満です。季節としては夏がおすすめですよ。
s00001125,system,情報を教える,観光地の名称 観光地の設備,伊豆の長八美術館 ペットへの対応なし,伊豆の長八美術館はペットへの対応はありません。,伊豆の長八美術館の設備としてペット対応を行っておりません。
s00000193,system,好意的に承知する,客の観光の同行者 客が希望する食べ物,子供 焼きそば,お子様と一緒に焼きそばをお召し上がりになられるのは良いですね。,焼きそばをお子様と一緒に楽しまれるのは良いと思います。
s00001463,system,情報を教える,観光地の名称 観光地におすすめな人 観光地におすすめな時期,インナー・シティー・ズー ノア 女性 夏,女性の方にはインナー・シティー・ズー ノアがおすすめです。夏にぴったりの観光地ですよ。,インナー・シティー・ズー ノア夏におすすめの観光地です。女性の方にもおすすめですよ。
s00002207,system,観光地の情報を使って客におすすめする,客の名前（※） 観光地の名称 観光地の利用可能なキャッシュレス決済,林 天童市将棋資料館 クレジットカード,林様にはクレジットカードの利用も可能な天童市将棋資料館をおすすめいたします。,林様、天童市将棋資料館はいかかでしょうか。クレジットカードの利用も可能になっております。
s00002625,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の飲食物持ち込みの可否 観光地の撮影可否,伊賀上野城 可能 可能,伊賀上野城は飲食物持ち込みも可能でおすすめですよ。撮影も可能になっております。,伊賀上野城は撮影と飲食物持ち込みが共に可能ですので、おすすめですよ。
