id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
s00002574,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の設備 観光地の駐車場の料金,梅田スカイビル ペットへの対応なし 1時間300円、以降30分毎150円,梅田スカイビルの駐車料金は、1時間300円、以降30分ごと150円となっております。また残念ながらペットをお連れの場合、対応しておりません。,梅田スカイビルにはペット用の設備がございません。また駐車場をご利用の場合、1時間300円、以降30分毎150円となっております。
s00001947,system,情報を教える,観光地の名称 観光地の撮影可否 観光地の予約要否,大手門 可能 可能,大手門での撮影は大丈夫です。またあらかじめのご予約も可能です。,大手門はご予約いただけるうえ、現地で撮影することもできます。
s00001220,system,情報を教える,観光地の名称 観光地の駐車場の有無 観光地の定休日,川之浜海水浴場 不明 黎明館敷地見学は無休,川之浜海水浴場では、無休の黎明館敷地をご見学いただけます。その際の駐車場があるかどうかは確認がとれておりません。,川之浜海水浴場の黎明館敷地は無休ですので、いつでもご見学いただけます。駐車場の有無はわかっておりません。
s00001049,system,情報を教える,客の名前（※） 観光地の名称 観光地の設備,小野 夜叉ケ池 ペットへの対応あり,小野様がご希望の夜叉ケ池につきましては、ペットへの対応がございます。,小野様のご希望された夜叉ケ池は、ペットをご同伴で観光できるように対応がされております。
s00002465,system,観光地の情報を使って客におすすめする,観光地の名称 観光地での観光の所要時間 観光地におすすめな時期,人吉鉄道ミュージアムMOZOCAステーション868 30分以上60未満 春,人吉鉄道ミュージアムMOZOCAステーション868は、30分以上60分未満で観光することができます。おでかけでしたら特に春がおすすめでございますよ。,人吉鉄道ミュージアムMOZOCAステーション868への観光でしたら、特に春をおすすめいたします。所要時間も30分以上60分未満となっております。
s00001676,system,情報を教える,観光地の名称 観光地の設備 観光地の喫煙可否,史跡 亀ケ岡石器時代遺跡 乳幼児への対応なし 不明,史跡 亀ケ岡石器時代遺跡につきましては、乳幼児への対応はございません。また喫煙ができるかどうかはこちらも把握できておりません。,史跡 亀ケ岡石器時代遺跡ではお煙草のご利用ができるかどうかは保証いたしかねます。また乳幼児さま向けの対応はいたしておりません。
s00001620,system,情報を教える,観光地の名称 観光地の飲食物持ち込みの可否 観光地の設備,毛越寺庭園 可能 障害者への対応あり,毛越寺庭園へは飲食物を持ち込んでいただけます。また障害者の方への対応もいたしております。,毛越寺庭園は障害者さま向けの設備がございまして、また飲食物もお持込みいただけます。
s00001591,system,情報を教える,観光地の名称 観光地の設備 観光地のWi-Fiの有無,井筒八ッ橋本舗 追分店 障害者への対応なし なし,井筒八ッ橋本舗 追分店ではWi-Fiはご利用いただけません。また障害者さまに対応した設備も特にないようです。,井筒八ッ橋本舗 追分店に関しまして、障害者対応設備、Wi-Fi設備、いずれもございません。
s00002221,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の公共交通機関でのアクセス,串本海中公園水族館 ＪＲ播磨徳久駅→徒歩30分,串本海中公園水族館は、ＪＲ播磨徳久駅から徒歩30分です。,串本海中公園水族館へ行かれる場合は、まずＪＲ播磨徳久駅を下車していただいて、それから30分徒歩で向かっていただくことになります。
s00002215,system,観光地の情報を使って客におすすめする,客の名前（※） 観光地の名称 観光地周辺のレストランの評価,武田 三重県庁舎 5,武田様、観光でしたら三重県庁舎はいかがですか。周辺に星5つ評価のレストランがございますよ。,武田様におすすめしたいのは三重県庁舎でして、周辺のレストランの評価も星5つと高くなっております。
