id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
s00001786,system,情報を教える,観光地の名称 観光地のWi-Fiの有無 観光地の喫煙可否,恵那峡ワンダーランド あり 不可能,恵那峡ワンダーランドでは喫煙はできませんが、Wi-Fiが利用できます。,あいにく恵那峡ワンダーランドは禁煙となっておりますが、Wi-Fiは完備されております。
s00001495,system,情報を教える,観光地の名称 観光地におすすめな人 観光地が雨天でも楽しめるか,藤井寺 歴史好き 不可能,雨の場合は残念ながらお楽しみはいただけませんが、歴史好きな方にぜひおすすめしたいのは藤井寺です。,歴史がお好きなようでしたら藤井寺がおすすめです。ただ雨の場合は楽しめないかもしれません。
s00001867,system,情報を教える,観光地の名称 観光地の手荷物預かりの有無 観光地の広さ,明神池 なし 一日あれば十分見て回れるような広さ,明神池は一日あれば十分見て回れるような広さです。ただ手荷物預かりはございません。,手荷物預かりはございませんが、明神池は一日あれば十分見て回れるような広さとなっております。
s00001048,system,情報を教える,客の名前（※） 観光地の名称 観光地の設備,木下 稲佐山公園 障害者への対応あり,木下様、稲佐山公園でしたら障害をお持ちの方への対応もしております。,木下様にご案内させていただきたいのは稲佐山公園です。こちらですと障害をお持ちの方にも対応させていただいております。
s00000284,system,好意的に承知する,客の観光の同行者 客が観光にかけたい時間,乳幼児 30分未満,30分未満で観光いただけますので、乳幼児の方も飽きることなくお楽しみいただけますよ。,乳幼児のお子様がご一緒でも、30分未満で十分お楽しみいただけますよ。
s00000595,system,好意的に承知する,客が希望する交通手段 客がインドア派かアウトドア派か,徒歩 特になし,アウトドア派だけでなくインドア派の方でも、徒歩で十分お楽しみいただけますよ。,インドア派アウトドア派問わず、みなさま徒歩でご観光が可能です。
s00002287,system,観光地の情報を使って客におすすめする,観光地の名称 観光地のジャンル 観光地におすすめな時期,稲佐山公園ドッグラン ロープウェイ・リフト・ゴンドラ 冬,稲佐山公園ドッグランにはロープウェイ・リフト・ゴンドラといったものがあり、冬に行かれるのにはおすすめです。,冬に行かれるのでした、ロープウェイ・リフト・ゴンドラがあります稲佐山公園ドッグランがおすすめです。
s00000996,system,情報を教える,観光地の名称 観光地の喫煙可否,長井海の手公園 ソレイユの丘 不可能,長井海の手公園 ソレイユの丘では禁煙となっております。,あいにく長井海の手公園 ソレイユの丘では喫煙いただけません。
s00001632,system,情報を教える,観光地の名称 観光地の設備 観光地の撮影可否,マキノ高原 乳幼児への対応あり 可能,マキノ高原では乳幼児のお客様への対応あり、観光地の撮影も可能です。,マキノ高原では撮影もでき、乳幼児への対応もしております。
s00000244,system,好意的に承知する,客の観光の同行者 客が希望する観光の季節,ペット 春,春にペットとご一緒にご旅行なんですね。とても楽しそうですね。,ペットをお連れになって春にご旅行ですか。羨ましいです。
s00000209,system,好意的に承知する,客の観光の同行者 客が希望する観光の季節,なし 夏,夏に一人旅ですか。人に左右されずじっくり観光できるので良いですよね。,お一人で夏旅ですね。楽しそうです。
s00001023,system,情報を教える,客の名前（※） 観光地の名称 観光地の駐車場の有無,佐々木 ストロベリーハウス 不明,佐々木様、ストロベリーハウスの駐車場の有無ですがこちらでは分かりかねます。,佐々木様、ストロベリーハウスの駐車場の有無は不明です。
s00001668,system,情報を教える,観光地の名称 観光地の設備 観光地の喫煙可否,願成就院 乳幼児への対応あり 可能,願成就院では乳幼児の方への対応もあり、喫煙も可能となっております。,願成就院は喫煙可能で、乳幼児への対応もございます。
s00002092,system,情報を教える,観光地の名称 観光地がインドアかアウトドアか 観光地の待ち時間,会津新選組記念館 不明 通常はあまり待たずに入場可能,会津新選組記念館はインドアかアウトドアか分かりかねますが、通常はあまり待たずに入場が可能です。,インドアかアウトドアか不明ですが、会津新選組記念館は通常あまり待たずに入場が可能です。
s00002308,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の営業時間 観光地におすすめな時期,日光白根山ロープウェイ 9時～16時30分、入館は閉館30分前まで 夏,日光白根山ロープウェイは営業時間9時～16時30分、入館は閉館30分前までです。おすすめの時期は夏です。,夏に行かれるようでしたら、日光白根山ロープウェイがおすすめです。営業時間9時～16時30分、入館は閉館30分前までとなっております。
s00000128,system,好意的に承知する,客の観光の同行者 客が希望する交通手段,なし 希望なし,交通手段をこれからご検討の一人旅ですね。観光地の幅が広そうで楽しみですね。,一人旅楽しいですよね。交通手段は特にご希望はないとのことですね。
s00001561,system,情報を教える,観光地の名称 観光地の割引 観光地の予約要否,高知市卸売市場 不明 不明,高知市卸売市場の観光地割引や事前予約が必要かについて分かりかねます。,高知市卸売市場での割引や観光前の予約が必要かどうかについては不明です。
s00001872,system,情報を教える,観光地の名称 観光地の手荷物預かりの有無 観光地の新型コロナウイルス感染対策,いせや農場いちご園 あり 入場時のアルコール消毒とマスクの着用,いせや農場いちご園には手荷物預かりがあります。また新型コロナウイルス感染対策として入場時のアルコール消毒とマスクの着用となっております。,いせや農場いちご園では新型コロナウイルス感染対策として入場時のアルコール消毒とマスクの着用が必須ですが、手荷物預かりを行っております。
s00002421,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の駐車場の有無 観光地が雨天でも楽しめるか,安居寺 あり 可能,安居寺は駐車場があり、雨でも十分楽しめるためおすすめです。,安居寺は駐車場がございます。また雨でも観光できるためおすすめです。
s00000333,system,好意的に承知する,客の観光の同行者 客の趣味,子供 サバゲー,サバゲーがお好きなんですね。また今回はお子様とご一緒のご旅行とのことで楽しそうですね。,お子様とのご旅行良いですね。サバゲーがご趣味のお客様におすすめの観光地をご案内させていただきます。
