id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
s00002144,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の設備,神明神社 障害者への対応あり,神明神社はいかがでしょうか？障碍者の方へのご対応も可能となっております。,おすすめは神明神社です。ご障害のある方への対応もおこなっております。
s00001910,system,情報を教える,観光地の名称 観光地の飲食物持ち込みの可否 観光地の喫煙可否,青葉城資料展示館 不可能 不明,青葉城資料展示館は飲食物持ち込みは不可となっております。また、喫煙の可否はこちらでは不明となっております。,青葉城資料展示館は飲食物持ち込みができかねます。喫煙の可否については不明でございます。
s00000668,system,好意的に承知する,客の趣味 客が希望する観光の季節,ハンドメイド 冬,冬の観光をご希望ですね。ご趣味はハンドメイドなさるのですね。とても素敵ですね。,冬をご希望ですね。ハンドメイドがご趣味ですね。とてもよいご趣味ですね。
s00000588,system,好意的に承知する,客が希望する交通手段 客がインドア派かアウトドア派か,バス アウトドア,ご希望はバスのご利用、アウトドアでございますね。とても良いですね。,バスでのご移動で、アウトドアですね。とても素敵なプランですね。
s00002186,system,観光地の情報を使って客におすすめする,客の名前（※） 観光地の名称 観光地におすすめな時期,増田 将軍塚青龍殿 春,増田様、将軍塚青龍殿へのご観光は春がおすすめでございます。,増田様へのおすすめは、将軍塚青龍殿です。春の季節がとてもよいですよ。
s00000274,system,好意的に承知する,客の観光の同行者 客が観光にかけたい時間,未定 60分以上90分未満,同行者さまは現在ご未定で、観光時間は60分以上90分未満でございますね。良いと思います。,観光時間のご希望は60分以上90分未満で、同行者様未定でございますね。お任せくださいませ。
s00000802,system,好意的に承知する,客の趣味 客の希望の観光時間帯,ワイン 日中,ワインがご趣味ですね。素敵ですね。それでは、日中の観光をご希望でございますね。,ご趣味はワインなのですね。日中のご観光をご希望ですね。とても良いと思います。
s00001552,system,情報を教える,観光地の名称 観光地の手荷物預かりの有無 観光地の割引,渋谷ヒカリエ 不明 子供とお年寄り、障害を持つ方に対して割引がある,渋谷ヒカリエは、手荷物預かりの可否は不明です。またお子様とお年寄りの方、ご障害のある方への割引がございます。,渋谷ヒカリエは手荷物のお預かりはこちらでは不明となっております。子供とお年寄り、障害者の方への割引サービスもございます。
s00001330,system,情報を教える,観光地の名称 観光地が雨天でも楽しめるか 観光地の最寄り駅,上越国際スキー場 不可能 福野（富山）,上越国際スキー場は雨天でお楽しみいただくことはできません。最寄り駅は福野（富山）でございます。,上越国際スキー場は雨天の場合は楽しむことができかねます。なお、福野（富山）が最寄り駅でございます。
s00002408,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の駐車場の有無 観光地での観光の所要時間,伊丹スカイパーク あり 30分以上60未満,伊丹スカイパークは駐車場がございます。所要時間は30分以上60未満でございますね。,伊丹スカイパークへの所有時間は30分以上60未満です。駐車場はご利用可能です。
s00001508,system,情報を教える,観光地の名称 観光地のお土産 観光地の割引,大野城いこいの森キャンプ場 不明 不明,大野城いこいの森キャンプ場では、お土産と割引のサービスは不明となっております。,大野城いこいの森キャンプ場は、お土産については不明となっております。また、割引についても不明となっております。
s00001159,system,情報を教える,観光地の名称 観光地周辺のレストランの評価,ナナちゃん人形 4,ナナちゃん人形の周辺のレストランの評価は4となっております。,ナナちゃん人形、こちらの周辺のレストランは評価4でございます。
s00001762,system,情報を教える,観光地の名称 観光地の飲食物持ち込みの可否 観光地のWi-Fiの有無,神戸市立博物館 不可能 なし,神戸市立博物館はご飲食の持ち込みは不可、Wi-Fiの設置はございません。,神戸市立博物館はWi-Fiはございません。また、飲食物の持ち込みはできません。
s00002555,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の設備 観光地の撮影可否,唐古・鍵遺跡史跡公園 障害者への対応なし 可能,唐古・鍵遺跡史跡公園は撮影がご自由に可能です。なお、ご障害者様へのご対応はできかねます。,唐古・鍵遺跡史跡公園は障害者様へのご対応サービスはなく、撮影に関しては可能です。
s00000447,system,好意的に承知する,客が希望する観光の季節 客が希望する交通手段,希望なし バス,バス旅行がご希望ですね。季節のご希望はなし、かしこまりました。とても良いと存じます。,ご希望の季節はなしですね。交通手段はバスをご希望ですね。良いと思います。
s00000624,system,好意的に承知する,客が希望する観光ジャンル 客が希望する観光の季節,動物園 夏,夏の動物園をご希望ですね。とても素敵ですね。,夏にご観光ですね。動物園をご希望とのことで、とてもよいご選択と存じます。
s00000375,system,好意的に承知する,客の観光の同行者 客の希望の観光時間帯,恋人 夜,恋人と夜のご観光をご希望ですね。素敵ですね。,夜に恋人の方と観光をなさりたいのですね。とても良いですね。
s00000025,system,好意的に承知する,客が希望する交通手段,公共交通機関,公共交通機関のご利用をご希望ですね。とても良いと存じます。,交通手段は公共交通機関をご希望とのことで、とても良いと思います。
s00002553,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の設備 観光地の撮影可否,ミカン狩り園 ペットへの対応あり 可能,ミカン狩り園はペットがご利用いただける設備がございます。撮影は可能です。,ミカン狩り園では、ペットへのご対応が可能な設備があり、また撮影も可能となっております。
s00001329,system,情報を教える,観光地の名称 観光地が雨天でも楽しめるか 観光地の最寄り駅,登別伊達時代村 可能 尼崎（ＪＲ）,登別伊達時代村は雨天時もお楽しみいただけます。最寄り駅は尼崎（ＪＲ）でございます。,登別伊達時代村でのご観光は雨天でもお楽しみいただけますよ。最寄りの駅は、尼崎（ＪＲ）駅でございます。
