id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
s00001302,system,情報を教える,観光地の名称 観光地の車でのアクセス 観光地におすすめな人,典厩寺 東海環状道鞍ケ池スマートICから3分 歴史好き,典厩寺はお車ですと東海環状道鞍ケ池スマートICから3分です。歴史好きな方におすすめです。,典厩寺のアクセスは車では東海環状道鞍ケ池スマートICから3分となっております。歴史好きなお客様にはぜひおすすめです。
s00000859,system,好意的に承知する,客の希望の観光時間帯 客がインドア派かアウトドア派か,朝 特になし,お客様のご希望は朝でインドア、アウトドアのこだわりは特にないということですね。良いですね。,お客様は朝の時間の観光がご希望で、インドア派やアウトドア派は決まっていないとのことですね。かしこまりました。
s00000641,system,好意的に承知する,客が希望する観光の季節 客が観光にかけたい時間,春 30分未満,お客様のご希望の季節は春、30分未満の観光のお時間ということですね。良いですね。,春に30分未満の観光のご希望ですね。承知いたしました。
s00002168,system,観光地の情報を使って客におすすめする,客の名前（※） 観光地の名称 観光地の営業時間,橋本 清雲寺のしだれ桜 10～14時,橋本様には清雲寺のしだれ桜をおすすめします。営業時間は10～14時となっております。,橋本様におすすめの場所は、10～14時まで営業の清雲寺のしだれ桜です。
s00002366,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の公共交通機関でのアクセス 観光地におすすめな時期,三嶋大社 京成公津の杜駅→車5分 春,三嶋大社は春の観光がおすすめで、京成公津の杜駅→車5分となっております。,三嶋大社は京成公津の杜駅→車5分のアクセスで特に春はおすすめの季節です。
s00002100,system,情報を教える,観光地の名称 観光地がインドアかアウトドアか 観光地のおすすめイベント,十和田神社 インドア 不明,十和田神社はインドアの観光地です。おすすめのイベントは不明です。,十和田神社はアウトドアよりもインドアの場所です。特におすすめのイベントは分かりかねます。
s00001058,system,情報を教える,客の名前（※） 観光地の名称 観光地の手荷物預かりの有無,阿部 曼荼羅寺 なし,阿部様、曼荼羅寺は手荷物の預かりはありません。,阿部様、曼荼羅寺には手荷物の預かりのサービスはないようです。
s00000347,system,好意的に承知する,客の観光の同行者 客の希望の観光時間帯,なし 希望なし,お客様はお一人でご希望の時間帯は特にないとのことですね。かしこまりました。,お客様の同行者はおらず、時間帯のご希望もないということですね。承知いたしました。
s00002112,system,情報を教える,観光地の名称 観光地周辺のレストランのジャンル 観光地周辺のレストランの評価,長良園 台湾料理 5,長良園は周辺に台湾料理のレストランがあり、評価は5だそうです。,長良園の周辺にある台湾料理のレストランは5の評価となっております。
s00001937,system,情報を教える,観光地の名称 観光地の飲食物持ち込みの可否 観光地がインドアかアウトドアか,朝日峠展望公園 可能 不明,朝日峠展望公園は飲食物持ち込み可能で、インドアかアウトドアの場所かは不明です。,朝日峠展望公園は飲食物持ち込み可能となっております。インドアかアウトドアかは分かりかねます。
s00000848,system,好意的に承知する,客の本日の交通手段 客の本日の同行者,徒歩 恋人,恋人の方と徒歩での観光ですね。良いですね。,恋人様と徒歩で観光されるのですね。かしこまりました。
s00002082,system,情報を教える,観光地の名称 観光地の利用可能なキャッシュレス決済 観光地がインドアかアウトドアか,弥彦の丘美術館 クレジットカード インドア,弥彦の丘美術館はクレジットカードが利用できて、インドアの観光地になります。,弥彦の丘美術館はクレジットカードの利用が可能です。インドアの場所になります。
s00002654,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の駐車場の料金 観光地の新型コロナウイルス感染対策,ヘルストピア延岡 近隣の山吹ホタルパーク駐車場を利用、無料 入場時のアルコール消毒とマスクの着用,ヘルストピア延岡は近隣の山吹ホタルパーク駐車場を利用すると料金が無料となります。コロナ対策は入場時のアルコール消毒とマスクの着用となっております。,ヘルストピア延岡は近隣の山吹ホタルパーク駐車場を利用することで、無料になります。新型コロナウイルス感染対策として入場時のアルコール消毒とマスクの着用が必要です。
s00001954,system,情報を教える,観光地の名称 観光地の撮影可否 観光地の喫煙可否,ナイタイ高原牧場 不明 不可能,ナイタイ高原牧場の写真撮影可能かは不明で、喫煙は不可能となります。,ナイタイ高原牧場の写真撮影が可能であるかは不明で、喫煙は禁止となります。
s00001271,system,情報を教える,観光地の名称 観光地での観光の所要時間 観光地の公共交通機関でのアクセス,嬉野温泉のホタル 30分未満 ＪＲ米子駅→日交バス観光道路経由大山寺行きで50分、バス停：大山寺下車、徒歩15分,嬉野温泉のホタルは30分未満の観光時間で、ＪＲ米子駅→日交バス観光道路経由大山寺行きで50分、バス停：大山寺下車、徒歩15分のアクセスです。,嬉野温泉のホタルの観光時間の目安は30分未満です。アクセスはＪＲ米子駅→日交バス観光道路経由大山寺行きで50分、バス停：大山寺下車、徒歩15分となります。
s00002259,system,観光地の情報を使って客におすすめする,観光地の名称 観光地がインドアかアウトドアか,今津運動公園 インドア,今津運動公園はインドアの観光地でおすすめです。,今津運動公園はアウトドアよりもインドアとなっておりますのでおすすめです。
s00001387,system,情報を教える,観光地の名称 観光地での観光の所要時間 観光地の電話番号,銃眼土塀 60分以上90分未満 045-824-0107,銃眼土塀は60分以上90分未満の観光時間で、電話は045-824-0107です。,銃眼土塀の観光所要時間は、60分以上90分未満です。電話番号は045-824-0107となります。
s00000608,system,好意的に承知する,客が希望する食べ物 客が観光にかけたい時間,バイキング 30分以上60未満,30分以上60未満の観光時間でバイキングがご希望ですね。良いですね。,お客様のご希望はバイキングで、30分以上60未満のお時間ということですね。かしこまりました。
s00001312,system,情報を教える,観光地の名称 観光地の駐車場の有無 観光地の最寄り駅,あべのルシアス なし 宇野,あべのルシアスは駐車場はなく、最寄駅は宇野です。,あべのルシアスの駐車場はありません。最寄駅は宇野となります。
s00000473,system,好意的に承知する,客が希望する観光の季節 客が希望する交通手段,冬 希望なし,冬の季節に観光をご希望ですね。良いですね。交通手段のご希望はないとのことですね。,お客様のご希望は冬で、交通手段の希望は特にないとのことですね。かしこまりました。
