id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
s00000758,system,好意的に承知する,客の希望の観光時間帯 客が観光にかけたい時間,朝 希望なし,希望の観光時間帯は朝で、観光時間は希望なしでございますね。,観光時間帯は朝で、所要時間は希望なしですね。
s00001810,system,情報を教える,観光地の名称 観光地のおすすめイベント 観光地のWi-Fiの有無,ＫＩＴＴＥ 不明 なし,KITTEでのおすすめイベントについてはわかりかねます。また、Wi-Fiはございません。,KITTEのイベントについてはわかっておりません。Wi-Fiはございません。
s00001960,system,情報を教える,観光地の名称 観光地の撮影可否 観光地の喫煙可否,川越水上公園バーベキュー広場 不可能 不可能,川越水上公園バーベキュー広場は、撮影と喫煙は不可能となっております。,川越水上公園バーベキュー広場では、撮影と喫煙はできません。
s00001989,system,情報を教える,観光地の名称 観光地がインドアかアウトドアか 観光地の撮影可否,吉田海岸 アウトドア 可能,吉田海岸はアウトドアが楽しめる観光地となっております。撮影は可能です。,吉田海岸はアウトドアの観光地で、撮影は可能です。
s00001756,system,情報を教える,観光地の名称 観光地の飲食物持ち込みの可否 観光地のWi-Fiの有無,大瀬崎 不明 なし,大瀬崎にはWi-Fiはございません。また、飲食物の持ち込みについては不明です。,大瀬崎での飲食物持ち込みの可否については分かりかねます。また、Wi-Fiはございません。
s00000002,system,制限時間になったので対話を切り上げる,,,お時間となりましたので、ご案内を終了させていただきます。,お時間ですので、ご案内を終了いたします。
s00001223,system,情報を教える,観光地の名称 観光地の定休日 観光地の電話番号,津観音 高瀬紅花ふれあいセンターは土日祝日 0858-47-1186,津観の高瀬紅花ふれあいセンターは土日祝日が定休日で、電話番号は0858-47-1186です。,津観音の高瀬紅花ふれあいセンターは土日祝日が定休日となっております。電話番号は0858-47-1186です。
s00000279,system,好意的に承知する,客の観光の同行者 客が観光にかけたい時間,なし 30分以上60未満,ご同行者はなし、観光時間は30分から60分でございますね。,ご同行者はおらず、観光時間は30分以上60分未満ですね。
s00000312,system,好意的に承知する,客の観光の同行者 客が観光にかけたい時間,ペット 未定,ペットがご同行、観光時間は未定でございますね。,観光にかける時間は未定で、ペット連れでございますね。
s00001214,system,情報を教える,観光地の名称 観光地の営業時間 観光地が雨天でも楽しめるか,白浜海洋美術館 9時～17時30分、西之丸庭園は～17時 可能,白浜海洋美術館は営業時間が9時から17時30分で、西之丸庭園は17時までとなっており、雨天でも観光可能です。,白浜海洋美術館の営業時間は9時から17時30分、西之丸庭園は17時までです。雨天でも観光が可能となっております。
s00002137,system,観光地の情報を使って客におすすめする,観光地の名称 観光地におすすめな時期,泉南りんくう公園 秋,泉南りんくう公園は秋に訪れるのおすすめです。,泉南りんくう公園は、ぜひ秋に訪れてみて頂きたいです。
s00001123,system,情報を教える,観光地の名称 観光地の設備,伝香寺 乳幼児への対応なし,伝香寺は乳幼児への対応はございません。,伝香寺は、乳幼児への対応のない設備となっております。
s00001469,system,情報を教える,観光地の名称 観光地におすすめな人 観光地におすすめな時期,大阪府民の森 ほしだ園地 恋人 冬,大阪府民の森 ほしだ園地は冬に恋人と訪れて頂くのがおすすめです。,大阪府民の森 ほしだ園地は、恋人と冬にぜひ訪れて頂きたい観光地です。
s00001551,system,情報を教える,観光地の名称 観光地の割引 観光地のWi-Fiの有無,武家屋敷通り 子供とお年寄り、障害を持つ方に対して割引がある なし,武家屋敷通りは子供とお年寄りや、障害を持つ方に対して割引がございます。また、Wi-Fiはございません。,武家屋敷通りでは子供とお年寄り、障害を持つ方に対しての割引があり、Wi-Fiはございません。
s00000074,system,好意的に承知する,客の名前（※） 客の観光の同行者,中村 歴史好き,中村様と一緒に観光される方は歴史好きということですね。,中村様のご同行者様は歴史が好きなのですね。
s00000393,system,好意的に承知する,客の観光の同行者 客の希望の観光時間帯,女性 夜,ご同行者様は女性で、観光時間帯は夜をご希望ですね。,女性のご同行者様がおり、希望の観光時間帯は夜でございますね。
s00001876,system,情報を教える,観光地の名称 観光地の手荷物預かりの有無 観光地のおすすめイベント,八百とどろ なし 不明,八百とどろには手荷物の預かりはございません。おすすめのイベントは不明となっております。,八百とどろでは手荷物を預けることができません。おすすめのイベントについては分かりかねます。
s00002622,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の手荷物預かりの有無 観光地の新型コロナウイルス感染対策,八百萬神之御殿 あり 入場時のアルコール消毒とマスクの着用,八百萬神之御殿には手荷物の預かりがあり、新型コロナウイルス感染対策として入場時のアルコール消毒とマスクの着用が義務付けられております。,八百萬神之御殿では手荷物を預けることができます。また、入場時のアルコール消毒とマスクの着用が新型コロナウイルス感染対策としてなされております。
s00001582,system,情報を教える,観光地の名称 観光地の設備 観光地のWi-Fiの有無,クリスタルビーチ 障害者への対応あり なし,クリスタルビーチでは障害者への対応があり、Wi-Fiはございません。,クリスタルビーチの設備には、障害者への対応がございます。また、Wi-Fiはございません。
s00001653,system,情報を教える,観光地の名称 観光地の設備 観光地の予約要否,こどものくに 障害者への対応あり 可能,こどものくにでは障害者への対応があり、予約することが可能です。,こどものくにの設備には、障害者への対応がございます。また、予約可能となっております。
