id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
s00002227,system,観光地の情報を使って客におすすめする,観光地の名称 観光地での観光の所要時間,道の駅 福光 30分以上60未満,道の駅福光ですと30～60分で観光できますよ。,30～60分で回れる道の駅福光がおすすめですよ。
s00002491,system,観光地の情報を使って客におすすめする,観光地の名称 観光地におすすめな人 観光地におすすめな時期,こどもの国 女性 秋,秋の観光地で女性に人気なのはこどもの国です。,こどもの国が秋に観光する女性に人気です。
s00001441,system,情報を教える,観光地の名称 観光地での観光の所要時間 観光地におすすめな時期,出雲大神宮 90分以上 冬,冬ですと出雲大神宮が90分以上観光できます。,90分以上観光できるのは冬の出雲大神宮です。
s00002306,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の営業時間 観光地におすすめな人,町立湯河原美術館 10～22時 歴史好き,歴史好きのお客様には10～22時まで営業されている町立河原美術館がおすすめです。,町立河原美術館は10～22時の営業で歴史好きの方におすすめです。
s00002507,system,観光地の情報を使って客におすすめする,観光地の名称 観光地におすすめな人 観光地が雨天でも楽しめるか,児島 女性 可能,児島は雨天でも観光が可能で女性に人気です。,女性には雨天でも観光が可能な児島をおすすめします。
s00000404,system,好意的に承知する,客の観光の同行者 客がインドア派かアウトドア派か,なし インドア,お一人様でインドアを楽しまれるのですね。,インドアでのんびされるのはお一人様が良いですね。
s00000545,system,好意的に承知する,客の希望の観光時間帯 客が希望する交通手段,希望なし バス,お好きな時にバスで観光地まで行かれるのですね。良いですね。,時間を気にせずバスを使って観光地を回られるのですね。楽しそうですね。
s00002597,system,観光地の情報を使って客におすすめする,観光地の名称 観光地がインドアかアウトドアか 観光地の設備,ANIMAL WONDER REZOURT 市原ぞうの国 インドア ペットへの対応なし,ペットは不可ですがANIMAL WONDER REZOURT 市原ぞうの国がインドアの方には最適です。,ANIMAL WONDER REZOURT 市原ぞうの国はペットは不可ですがインドアの人におすすめします。
s00000383,system,好意的に承知する,客の観光の同行者 客の希望の観光時間帯,ペット 希望なし,お時間をきめずにペットとゆっくりされるのですね。良いですね。,ペットをつれてお時間を気にせずにゆっくりされるのですね。素敵ですね。
s00002064,system,情報を教える,観光地の名称 観光地の駐車場の料金 観光地の新型コロナウイルス感染対策,ほたる園 30分毎400円ほか 入場時のアルコール消毒とマスクの着用,ほたる園は駐車場の料金が30分毎400円ほか入場時はアルコール消毒とマスクの着用をお願い致します。,駐車場の料金は30分毎400円ほかほたる園では入場時にアルコール消毒とマスクの着用の感染対策がされています。
s00000225,system,好意的に承知する,客の観光の同行者 客が希望する観光の季節,友達 希望なし,季節に関係なくお友達と観光されるのですね。良いですね。,お友達と季節は気にせずに観光されるのですね。素晴らしいですね。
s00000547,system,好意的に承知する,客の希望の観光時間帯 客が希望する交通手段,希望なし 公共交通機関,お時間は決めずに公共交通機関を使って観光されるのですね。素敵ですね。,公共交通機関でお時間を気にすることなく観光されるのですね。良いですね。
s00001683,system,情報を教える,観光地の名称 観光地の設備 観光地の喫煙可否,神宮ばら園 ペットへの対応なし 可能,神宮ばら園はペット不可で喫煙は可能となっております。,神宮ばら園は喫煙は可能ですがペットは不可となっております。
s00002576,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の設備 観光地のすいている曜日，時間帯,都幾川桜堤 ペットへの対応なし 平日の午後,平日の午後ですとペットの対応はされておりませんが都幾川桜堤がおすすめですよ。,都幾川桜堤はペットへの対応はされておりませんが平日の午後に行かれるには良いですよ。
s00000837,system,好意的に承知する,客の本日の交通手段 客の本日の同行者,公共交通機関 子供,子供さんと公共交通機関で観光されるのですね。お子様に喜んでいただけそうですね。,公共交通機関で子供さんと観光地を巡られるのですね。楽しそうですね。
s00001122,system,情報を教える,観光地の名称 観光地の設備,服部緑地 ペットへの対応あり,ペットをお連れであれば服部緑地がおすすめです。,服部緑地がペットもお連れでき人気がありますよ。
s00000667,system,好意的に承知する,客の趣味 客が希望する観光の季節,音楽ライブ 秋,秋の音楽ライブは良い季節ですね。,音楽ライブに秋行かれるのは素敵ですね。
s00001191,system,情報を教える,観光地の名称 観光地の営業時間 観光地の料金,円覚寺跡 9時15分～16時30分 入場大人300円、小・中・高校生100円、芭蕉翁記念館・蓑虫庵共通割引券500円,円覚寺跡は、営業時間が9時15分～16時30分で入場大人300円、小・中・高校生100円、芭蕉翁記念館・蓑虫庵共通割引券500円となっております。,営業時間が9時15分～16時30分で入場大人300円、小・中・高校生100円、芭蕉翁記念館・蓑虫庵共通割引券500円と円覚寺跡はなっております。
s00000958,system,情報を教える,観光地の名称 観光地におすすめな人,大森公園 友達,お友達と行かれるのにおすすめなのは大森公園です。,大森公園はお友達とご一緒されるのがおすすめです。
s00001275,system,情報を教える,観光地の名称 観光地におすすめな人 観光地の公共交通機関でのアクセス,荒牧バラ公園 子供 ＪＲ土気駅→車15分,子供さんであればＪＲ土気駅から車で15分の荒牧バラ公園がおすすめです。,荒牧バラ公園はＪＲ土気駅から車で15分ですので子供さんにもおすすめです。
