id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
s00002227,system,観光地の情報を使って客におすすめする,観光地の名称 観光地での観光の所要時間,道の駅 福光 30分以上60未満,道の駅　福光は、観光に30分以上かかりますが、1時間かからずに回り切れるのでおすすめです。,一押しは道の駅　福光です。所要観光時間は30分以上、1時間以内となっております。
s00002491,system,観光地の情報を使って客におすすめする,観光地の名称 観光地におすすめな人 観光地におすすめな時期,こどもの国 女性 秋,秋に女性におすすめの観光地は、こどもの国ですね。,こどもの国は、秋に女性が訪れるのにピッタリです。
s00001441,system,情報を教える,観光地の名称 観光地での観光の所要時間 観光地におすすめな時期,出雲大神宮 90分以上 冬,出雲大神宮は冬の観光がおすすめです。こちらでの観光所要時間は90分以上となっております。,観光時間は90分以上かかるのですが、冬の出雲大神宮は一押しです。
s00002306,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の営業時間 観光地におすすめな人,町立湯河原美術館 10～22時 歴史好き,歴史がお好きな方には、町立湯河原美術館がおすすめです。こちらの営業時間は、朝10時から夜10時までとなっております。,町立湯河原美術館は朝10時から夜10時まで営業しており、歴史がお好きな方にピッタリの観光地です。
s00002507,system,観光地の情報を使って客におすすめする,観光地の名称 観光地におすすめな人 観光地が雨天でも楽しめるか,児島 女性 可能,児島は、雨天でも楽しむことができます。女性にもおすすめです。,女性にピッタリの観光地、児島です。こちらは、雨天でも観光をお楽しみいただけます。
s00000404,system,好意的に承知する,客の観光の同行者 客がインドア派かアウトドア派か,なし インドア,お客様は、インドア派なんですね。それにしてもひとり旅、とても良いですね。,お客様はインドア派とのことですが、インドアもとても楽しいですよね。お一人でのご旅行も良いものになると思います。
s00000545,system,好意的に承知する,客の希望の観光時間帯 客が希望する交通手段,希望なし バス,観光時間帯のご希望はなし、交通手段はバスをご希望ですね。承知いたしました。バスでのお時間も楽しみですね。,バスでの移動をご希望されているんですね。バスに乗るのは、旅行らしくて良いですよね。観光時間帯のご希望はなし、とのことで承りました。
s00002597,system,観光地の情報を使って客におすすめする,観光地の名称 観光地がインドアかアウトドアか 観光地の設備,ANIMAL WONDER REZOURT 市原ぞうの国 インドア ペットへの対応なし,インドア派の方には、ANIMAL WONDER REZOURT 市原ぞうの国がおすすめです。ただしこちらは、ペットへの対応はございません。,ペットへの対応はございませんが、ANIMAL WONDER REZOURT 市原ぞうの国は、インドア派の方には一押しの観光地です。
s00000383,system,好意的に承知する,客の観光の同行者 客の希望の観光時間帯,ペット 希望なし,ペットとご旅行されるのですね。良いですね。観光時間帯のご希望はなしのとことで、承りました。,ご希望される観光時間帯はございませんね、かしこまりました。ペット同伴でのご旅行、楽しみですね。
s00002064,system,情報を教える,観光地の名称 観光地の駐車場の料金 観光地の新型コロナウイルス感染対策,ほたる園 30分毎400円ほか 入場時のアルコール消毒とマスクの着用,ほたる園の駐車場料金は、30分毎400円等、となっております。また、観光地の新型コロナウイルス感染対策として、入場時のアルコール消毒とマスクの着用が必要となります。,ほたる園では、観光地の新型コロナウイルス感染対策に入場時のアルコール消毒とマスクの着用が徹底されています。また、こちらの駐車場の駐車料金は、30分毎400円等、となっております。
s00000225,system,好意的に承知する,客の観光の同行者 客が希望する観光の季節,友達 希望なし,ご友人とのご旅行、良いですね。ご希望される季節はなしとのことで、承知いたしました。,ご希望される季節はなしですね、承りました。ご友人とのご旅行、楽しみですね。
s00000547,system,好意的に承知する,客の希望の観光時間帯 客が希望する交通手段,希望なし 公共交通機関,公共交通機関のご利用をご希望ですね、移動時間も楽しみですね。観光時間帯のご希望はなしとのことで、承知いたしました。,ご希望される観光時間帯はなしですね、承りました。また、公共交通機関での移動をご希望とのこと、旅行での電車は良いですよね。
s00001683,system,情報を教える,観光地の名称 観光地の設備 観光地の喫煙可否,神宮ばら園 ペットへの対応なし 可能,神宮ばら園では、おタバコをお吸いいただけますが、ペットへの対応はございません。,神宮ばら園では、ペットへの対応は行っておりません。ですが、おタバコはお吸いいただけます。
s00002576,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の設備 観光地のすいている曜日，時間帯,都幾川桜堤 ペットへの対応なし 平日の午後,平日の午後にすいている観光地でしたら、都幾川桜堤がおすすめです。しかし残念ながら、ペットへの対応はございません。,ペットへの対応は行っておりませんが、一押しは、都幾川桜堤です。平日の午後でしたらすいております。
s00000837,system,好意的に承知する,客の本日の交通手段 客の本日の同行者,公共交通機関 子供,本日はお子様と、公共交通機関でお越しくださったんですね。お子様も、電車に乗ることができて、お喜びですね。,公共交通機関で、お子様とお越しいただいたのですね。電車ですと、移動時間もお子様とお楽しみいただけますね。
s00001122,system,情報を教える,観光地の名称 観光地の設備,服部緑地 ペットへの対応あり,服部緑地は、ペットへの対応がございます。,ペットへの対応がありますのは、服部緑地です。
s00000667,system,好意的に承知する,客の趣味 客が希望する観光の季節,音楽ライブ 秋,音楽のライブがお好きなんですね、良いですよね。今回、秋のご旅行をご希望とのことで、承知いたしました。,ご旅行される季節は、秋をご希望ですね、承りました。ところで、ご趣味は音楽ライブだとお伺いしております。ライブ、楽しいですよね。
s00001191,system,情報を教える,観光地の名称 観光地の営業時間 観光地の料金,円覚寺跡 9時15分～16時30分 入場大人300円、小・中・高校生100円、芭蕉翁記念館・蓑虫庵共通割引券500円,円覚寺跡の営業時間は、午前9時15分から午後4時30分までです。また、入場料ですが、大人300円、小・中・高校生100円で、芭蕉翁記念館・蓑虫庵共通割引券は500円となっております。,円覚寺跡の入場料は、大人300円、小・中・高校生100円、さらに芭蕉翁記念館・蓑虫庵共通割引券は500円となります。こちら、営業時間が午前9時15分から午後4時30分までとなっております。
s00000958,system,情報を教える,観光地の名称 観光地におすすめな人,大森公園 友達,大森公園は、ご友人とのご旅行におすすめです。,ご友人とのご旅行には、大森公園がおすすめです。
s00001275,system,情報を教える,観光地の名称 観光地におすすめな人 観光地の公共交通機関でのアクセス,荒牧バラ公園 子供 ＪＲ土気駅→車15分,荒牧バラ公園は、ＪＲ土気駅から車で15分かかります。お子様におすすめの観光地です。,お子様におすすめの観光地は、荒牧バラ公園です。こちらは、ＪＲ土気駅から車で15分のところにあります。
