id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
s00001671,system,情報を教える,観光地の名称 観光地の設備 観光地の喫煙可否,静岡市東海道広重美術館 障害者への対応あり 可能,静岡市東海道広重美術館は障害者への対応施設で、喫煙も可能ですよ。,静岡市東海道広重美術館は喫煙でき、障害者への対応もあります。
s00002318,system,観光地の情報を使って客におすすめする,観光地の名称 観光地での観光の所要時間 観光地の定休日,キッザニア甲子園 30分以上60未満 月曜、第3木曜、特別整理期間,キッザニア甲子園の定休日は月曜、第3木曜、特別整理期間で、30分から60分で観光できおすすめです。,キッザニア甲子園の観光所要時間は30分から60分程度で、月曜、第3木曜、特別整理期間の定休日でぜひおすすめです。
s00000873,system,これから質問し始めることを伝える,,,では、これからお伺いいたします。,何点か質問よろしいでしょうか。
s00001680,system,情報を教える,観光地の名称 観光地の設備 観光地の喫煙可否,上賀茂手づくり市 障害者への対応なし 可能,上賀茂手づくり市は喫煙はできますが、障害者への対応がないんです。,上賀茂手づくり市は障害者への対応はないのですが、お煙草は吸えます。
s00001882,system,情報を教える,観光地の名称 観光地の手荷物預かりの有無 観光地がインドアかアウトドアか,赤坂地区杭瀬川・奥川沿い南市橋付近のほたる あり アウトドア,赤坂地区杭瀬川・奥川沿い南市橋付近のほたるは手荷物預かりがあり、アウトドアで楽しめます。,アウトドアでしたら手荷物預かりのある、赤坂地区杭瀬川・奥川沿い南市橋付近のほたるがあります。
s00000861,system,好意的に承知する,客の希望の観光時間帯 客がインドア派かアウトドア派か,朝 アウトドア,承知いたしました。アウトドアで、朝のご観光ですね。,朝のご観光で、アウトドアをご希望ですね。
s00001920,system,情報を教える,観光地の名称 観光地の飲食物持ち込みの可否 観光地の利用可能なキャッシュレス決済,篠山城跡 可能 クレジットカード,篠山城跡は飲食物の持ち込みが可能で、クレジットカードをご利用できます。,篠山城跡のキャッシュレス決済はクレジットカードがご利用でき、飲食物が持ち込めます。
s00000731,system,好意的に承知する,客が希望する観光ジャンル 客の希望の観光時間帯,陶芸・手工芸体験 希望なし,陶芸・手工芸体験でお時間の指定は特になしという事ですね。,時間帯のご希望はなく、陶芸・手工芸体験をされたいということですね。
s00000017,system,好意的に承知する,客の観光の同行者,ペット,はい、ペットとご一緒にご観光されたいんですね。,かしこまりました。ペットをお連れになりたいんですね。
s00000884,system,質問する,客の本日の交通手段,?,本日はどのようにお越しになられましたか。,ここまでは何をご利用していらっしゃいましたか。
s00001263,system,情報を教える,観光地の名称 観光地が雨天でも楽しめるか 観光地の料金,水天宮 可能 小樽・青の洞窟探検クルーズ5000円,水天宮は雨天でも可能で、小樽・青の洞窟探検クルーズを5000円で楽しめます。,水天宮の小樽・青の洞窟探検クルーズは5000円で、雨天でも楽しめます。
s00001181,system,情報を教える,観光地の名称 観光地のジャンル 観光地におすすめな人,曽爾高原 デパート・ショッピングビル 歴史好き,デパート・ショッピングビルをご希望で歴史がお好きでしたら、曽爾高原があります。,曽爾高原は歴史好きな方におすすめで、デパート・ショッピングビルがございます。
s00002246,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の設備,こてはし温水プール 乳幼児への対応なし,こてはし温水プールはあいにくご乳幼児様への対応はないのですが、お楽しみいただける施設でおすすめします。,乳幼児がいらっしゃらないのであれば、こてはし温水プールをおすすめします。
s00000129,system,好意的に承知する,客の観光の同行者 客が希望する交通手段,なし 車,おひとり様でお車での旅行ですね。,かしこまりました。ご同行者様なし、お車での観光をご希望ですね。
s00000963,system,情報を教える,観光地の名称 観光地におすすめな時期,藤原家住宅 春,春でしたら藤原家住宅はどうでしょう。,藤原家住宅は春の観光におすすめの場所です。
s00002099,system,情報を教える,観光地の名称 観光地がインドアかアウトドアか 観光地のおすすめイベント,高知まるごと物産館 不明 不明,インドアかアウトドアか、おすすめイベントは不明ですが高知まるごと物産館があります。,高知まるごと物産館は、インドアかアウトドアか、またイベントも分からないです。
s00001480,system,情報を教える,観光地の名称 観光地におすすめな人 観光地が雨天でも楽しめるか,横須賀アリーナ温水プール 子供 不可能,雨天でなければ、お子様におすすめなのが横須賀アリーナ温水プールです。,横須賀アリーナ温水プールは子供におすすめですが、雨天ですとちょっと楽しめないかもです。
s00001984,system,情報を教える,観光地の名称 観光地がインドアかアウトドアか 観光地の撮影可否,立神岩 不明 不可能,立神岩はインドアかアウトドアか不明で、撮影はできません。,立神岩は撮影が不可能です。また、インドアかアウトドアかは分かりかねます。
s00002653,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の駐車場の料金 観光地の広さ,水上峡・諏訪峡 盆行事期間は駐車不可 一日あれば十分見て回れるような広さ,水上峡・諏訪峡は盆行事期間は駐車できませんが、一日あれば十分見て回れる広さでおすすめです。,盆行事期間は駐車不可でご不便をおかけいたしますが、一日あれば十分見て回れる広さの水上峡・諏訪峡盆をおすすめします。
s00000799,system,好意的に承知する,客の趣味 客の希望の観光時間帯,将棋 未定,将棋がお好き、観光時間は未定ということで承知いたしました。,かしこまりました。時間は決めておらず、将棋がご趣味という事ですね。
