id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
s00001354,system,情報を教える,観光地の名称 観光地の駐車場の有無 観光地におすすめな人,高瀬湖畔オートキャンプ場 あり 女性,高瀬湖畔オートキャンプ場には駐車場があり，女性におすすめです．,高瀬湖畔オートキャンプ場は女性におすすめの観光地で，駐車場も用意されています．
s00002556,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の設備 観光地の撮影可否,UPパラグライダースクール ペットへの対応なし 可能,UPパラグライダースクールはペットを連れて行くことは出来ませんが，動画や写真の撮影が可能となっております．,UPパラグライダースクールでは動画や写真の撮影が可能となっております．ですがペットへの対応はできません．
s00002063,system,情報を教える,観光地の名称 観光地の駐車場の料金 観光地の待ち時間,インナー・シティー・ズー ノア 200台 通常はあまり待たずに入場可能,インナー・シティー・ズー ノアは駐車スペースが200台あり，通常はあまり待たずに入場が可能です,インナー・シティー・ズー ノアへは，通常あまり待たずに入場することができ，駐車場も200台のスペースがあります．
s00000331,system,好意的に承知する,客の観光の同行者 客の趣味,なし バレーボール,バレーボールがお好きなんですね，素敵だと思います．お一人様でのご予約，承りました．,お一人様ですね，承知いたしました．ご趣味がバレーボールとのことであれば，体力がありそうですね．
s00000113,system,好意的に承知する,客の名前（※） 客の希望の観光時間帯,吉田 朝,吉田様のご希望の観光時間帯を朝で承りました．ありがとうございます．,ご希望の観光時間を朝，吉田様で承りました．
s00000578,system,好意的に承知する,客が希望する交通手段 客がインドア派かアウトドア派か,未定 インドア,交通手段は未定で，インドアですね．承知いたしました．,交通手段は未定，インドア旅ですね．承りました．
s00001467,system,情報を教える,観光地の名称 観光地におすすめな人 観光地におすすめな時期,ヤマヨシ 林農園 恋人 夏,ヤマヨシ 林農園は，夏に恋人と行かれるのがおすすめです．,ヤマヨシ 林農園は，恋人同士で夏に行くのがおすすめです．
s00001667,system,情報を教える,観光地の名称 観光地の設備 観光地の喫煙可否,長崎県美術館 乳幼児への対応あり 不明,長崎県美術館は，乳幼児への対応があります．喫煙可否は不明です．,長崎県美術館は乳幼児への対応がありますが，喫煙の可否は分かりません．
s00000511,system,好意的に承知する,客が観光にかけたい時間 客が希望する交通手段,30分以上60未満 電車,観光へは30分以上60分未満，交通手段は電車ですね，承知いたしました．,交通手段は電車で，観光へは30分以上60分未満ですね，承りました．
s00000964,system,情報を教える,観光地の名称 観光地におすすめな時期,瑞峯院 夏,瑞峯院へは夏に行くのがおすすめです．,瑞峯院は夏の観光がおすすめです．
