id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
s00000882,system,質問する,客の趣味,?,どうされましたか。,ご質問はございますか。
s00000537,system,好意的に承知する,客の希望の観光時間帯 客が希望する交通手段,未定 車,時間帯が未定で交通手段はお車での調整とのこと、かしこまりました。,観光時間が未定で交通手段のご希望はお車とのこと、かしこまりました
s00001895,system,情報を教える,観光地の名称 観光地の飲食物持ち込みの可否 観光地の予約要否,長井海の手公園 ソレイユの丘 不明 不明,長井海の手公園ソレイユの丘での飲食物持ち込み及び観光地予約可否は不明でございます。,長井海の手公園ソレイユの丘では飲食物持込み可否が不明です、尚事前予約についても不明となっています。
s00001948,system,情報を教える,観光地の名称 観光地の撮影可否 観光地の予約要否,石川県のと海洋ふれあいセンター 可能 不可能,石川県のと海洋ふれあいセンターでの観光地撮影は可能ですが、事前の観光地ご予約は不可となっています。,石川県のと海洋ふれあいセンターでは観光地撮影が可能です。また事前の観光地予約は不可となっています。
s00000503,system,好意的に承知する,客が観光にかけたい時間 客が希望する交通手段,30分未満 バス,バスでの30分未満での観光ご希望とのこと、承知致しました。,バスを使ってのお時間30分未満での観光をされたいとのこと、かしこまりました。
s00002596,system,観光地の情報を使って客におすすめする,観光地の名称 観光地がインドアかアウトドアか 観光地の設備,真鶴岬 インドア 障害者への対応なし,真鶴岬ではインドアな環境で観光をお楽しみ頂けます。尚、障害者対応設備はありませんことをご承知ください。,真鶴岬では障害者対応設備がないものの、インドアの空間で観光頂くことができます。
s00000228,system,好意的に承知する,客の観光の同行者 客が希望する観光の季節,友達 秋,秋シーズンにご友人様と観光ご希望とのこと、承知致しました。,秋の季節にお友達との観光をお考えとのこと、かしこまりました。
s00000159,system,好意的に承知する,客の観光の同行者 客が希望する交通手段,恋人 電車,電車で恋人様とのご観光をお考えとのこと、承知致しました。,恋人様とのと一緒に電車を利用しての観光をご希望とのこと、かしこまりました。
s00001880,system,情報を教える,観光地の名称 観光地の手荷物預かりの有無 観光地がインドアかアウトドアか,輝北天球館 あり 不明,輝北天球館には手荷物預かりサービスがあります。なお、施設の形態がインドアもしくはアウトドアであるかは不明です。,輝北天球館では手荷物預かりを行なっています。観光地がインドア、アウトドアどちらであるかは不明です。
s00002630,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の飲食物持ち込みの可否 観光地の新型コロナウイルス感染対策,健民海浜公園 可能 入場時のアルコール消毒とマスクの着用,健民海浜公園では飲食物を持ち込み観光をお楽しみ頂けます。尚、入場時コロナウイルス対策として、アルコール消毒とマスクの着用をお願いしております。,健民海浜公園では観光地に飲食物を持ち込み可能です。入場時にアルコール消毒とマスク着用を行うことでコロナウイルス対策がなされた環境で観光していただかことができ、おすすめです。
s00000993,system,情報を教える,観光地の名称 観光地の予約要否,井頭公園一万人プール 不可能,井頭公園一万人プールのご予約はできません。,井頭公園一万人プールほ事前予約は不可となっています。
s00000371,system,好意的に承知する,客の観光の同行者 客の希望の観光時間帯,恋人 希望なし,お時間帯ご希望なしでの恋人様との観光をご希望とのこと、かしこまりました。,恋人様との観光ご希望で、お時間帯はご希望なしとのこと、承知致しました。
s00001065,system,情報を教える,客の名前（※） 観光地の名称 観光地の予約要否,松本 水上峡・諏訪峡 不明,松本様、水上峡・諏訪峡でのご予約可否は不明となっております。,松本様、水上峡と諏訪峡のご予約を行うことができるかどうかは不明でございます。
s00000676,system,好意的に承知する,客の希望の観光時間帯 客が希望する観光の季節,希望なし 希望なし,観光のお時間帯と季節にご希望がない旨、承知致しました。,観光時間帯にご希望なし、観光季節もご希望なしとのこと、かしこまりました。
s00000987,system,情報を教える,観光地の名称 観光地の飲食物持ち込みの可否,旧遠藤家住宅 不可能,旧遠藤家住宅での飲食物持ち込みは不可となっております。,旧遠藤家住宅における飲食物持ち込みはできません。
s00001707,system,情報を教える,観光地の名称 観光地の設備 観光地の広さ,鳥類園ウォッチングセンター 障害者への対応なし 一日あれば十分見て回れるような広さ,鳥類園ウォッチングセンターには障害者への対応設備はありません。施設の広さは一日あれば十分見て回れるような広さとなっています。,鳥類園ウォッチングセンターの広さは一日あれば十分見て回れるような広さです。尚、障害者対応設備は備わっておりません。
s00000720,system,好意的に承知する,客が希望する観光の季節 客がインドア派かアウトドア派か,冬 特になし,冬のご観光で、インドアかアウトドアのご希望は特になしとのこと、よろしく承りました。,インドアもしくはアウトドアのご要望は特になしでの、冬季節の観光ご希望とのこと、かしこまりました。
s00000862,system,好意的に承知する,客の希望の観光時間帯 客がインドア派かアウトドア派か,日中 特になし,日中の観光ご希望で、インドアかアウトドアは問わないとのこと、承知致しました。,観光されるのは日中、インドアアウトドアいずれのご要望も特になしとのこと、かしこまりました。
s00001795,system,情報を教える,観光地の名称 観光地のすいている曜日，時間帯 観光地のWi-Fiの有無,市川市大洲防災公園 不明 なし,市川市大洲防災公園は観光地の空いている曜日と時間帯は不明で、Wi-Fiネットワークはございません。,市川市大洲防災公園は観光地が空いている曜日と時間帯共に不明です。尚、観光地にWi-Fiはありません。
s00002280,system,観光地の情報を使って客におすすめする,観光地の名称 観光地のジャンル 観光地におすすめな人,角神ダム湖 スキー・スノボ 女性,角神ダム湖ではスキーやスノボを楽しむことができ、女性におすすめのスポットとなっています。,角神ダム湖はスキーやスノボを楽しめるスポットです。女性におすすめしている観光地となっております。
