id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
s00001871,system,情報を教える,観光地の名称 観光地の手荷物預かりの有無 観光地の新型コロナウイルス感染対策,長崎県美術館ミュージアムショップ 不明 不明,長崎県美術館ミュージアムショップで新型コロナウィルス感染の対策がなされているかは不明です。また、手荷物預かりがあるかどうかも不明となっております。,手荷物預かりと新型コロナウィルス対策の二点についてですが、どちらも長崎県美術館ミュージアムショップでは不明となっております。
s00001407,system,情報を教える,観光地の名称 観光地での観光の所要時間 観光地におすすめな人,指月山 30分未満 歴史好き,歴史がお好きということでしたら、指月山をお勧めいたします。観光にかかる時間は30分くらいとなっております。,指月山は観光にかかる時間が30分くらいとなっており、歴史好きの方にお勧めしております。
s00000278,system,好意的に承知する,客の観光の同行者 客が観光にかけたい時間,なし 30分未満,観光はお一人で、30分未満で見て回れる場所をお探しということですね。,お時間は30分未満で、お一人で見て回れる場所をお探しということですね。
s00001522,system,情報を教える,観光地の名称 観光地のお土産 観光地の飲食物持ち込みの可否,西之谷ふれあいの森キャンプ場 不明 可能,西之谷ふれあいの森キャンプ場は飲食持ち込み可能となっております。観光地のお土産については、残念ながら情報がございません。,西之谷ふれあいの森キャンプ場のお土産については、情報が得られなかったのですが、飲食の持ち込みは可能となっております。
s00002493,system,観光地の情報を使って客におすすめする,観光地の名称 観光地におすすめな人 観光地におすすめな時期,青葉城資料展示館 恋人 春,青葉城資料展示館は、春に恋人と二人で行かれるのがお勧めとなっております。,青葉城資料展示館に行かれるのでしたら、春をお勧めします。恋人同士で行かれるのにとても良いかと思います。
s00002160,system,観光地の情報を使って客におすすめする,観光地の名称 観光地がインドアかアウトドアか,谷川岳 アウトドア,アウトドアでお勧めしたいのは、谷川岳です。,観光地でアウトドアを希望されているのでしたら、谷川岳をお勧めします。
s00000792,system,好意的に承知する,客が観光にかけたい時間 客がインドア派かアウトドア派か,30分以上60未満 アウトドア,現地ではアウトドアをご希望ということですね。また、かけられるお時間は30分以上60分以内ということですね。,30分以上60分以内で、アウトドアの観光地をお探しということですね。
s00000875,system,質問する,客の名前,?,恐れ入りますがお名前をお聞かせ願えますか。,恐れ入りますがお名前をお教えいただけますか。
s00002319,system,観光地の情報を使って客におすすめする,観光地の名称 観光地での観光の所要時間 観光地の定休日,ハリウッド・ドリーム・ザ・ライド ～バックドロップ～ 60分以上90分未満 展望台は4月下旬～12月上旬利用可能,ハリウッド・ドリーム・ザ・ライド ～バックドロップ～の展望台は4月下旬から12月上旬まで利用可能となっておりまして、所要時間は1時間から1時間半くらいです。,まず、観光地の所要時間を1時間から1時間半で考えますと、ハリウッド・ドリーム・ザ・ライド ～バックドロップ～がお勧めできます。また、こちらの展望台は4月下旬から12月上旬までが利用可能となっております。
s00001484,system,情報を教える,観光地の名称 観光地におすすめな人 観光地が雨天でも楽しめるか,出合滝 女性 不明,雨天の場合は楽しめるかどうかわからないのですが、女性の方には出合滝をお勧めしております。,雨天の場合は楽しめるかどうかわからないのですが、出合滝は女性の方にお勧めできる観光地となっております。
