id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
s00002497,system,観光地の情報を使って客におすすめする,観光地の名称 観光地におすすめな人 観光地におすすめな時期,デカパトス in Rokko Island 家族 春,デカパトス in Rokko Islandは春に家族で観光するのがおすすめです。,デカパトス in Rokko Islandは家族での観光におすすめですよ。季節は春が良いかと思います。
s00001555,system,情報を教える,観光地の名称 観光地の飲食物持ち込みの可否 観光地の割引,ホテル・ロッジ舞洲・森とリルのBBQフィールド 不明 子供とお年寄り、障害を持つ方に対して割引がある,ホテル・ロッジ舞洲・森とリルのBBQフィールドは子供とお年寄り、障害を持つ方に対して割引があります。また、飲食物の持ち込みが可能かはわかりません。,ホテル・ロッジ舞洲・森とリルのBBQフィールドは飲食物の持ち込み可能かはわかりませんが、子供とお年寄り、障害を持つ方に対して割引があります。
s00002067,system,情報を教える,観光地の名称 観光地がインドアかアウトドアか 観光地の駐車場の料金,南禅寺天授庵 インドア 海水浴期間中は有料、普通車1000円、二輪車300円、大型車2000円,南禅寺天授庵はインドアの観光地になります。駐車場の料金は海水浴期間中は有料、普通車1000円、二輪車300円、大型車2000円になります。,南禅寺天授庵はインドア向けの観光地で、駐車料金は海水浴期間中は有料、普通車1000円、二輪車300円、大型車2000円です。
s00002632,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の飲食物持ち込みの可否 観光地がインドアかアウトドアか,標津サーモン科学館 可能 アウトドア,標津サーモン科学館はアウトドア向けの観光地で、飲食物持ち込みも可能なのでおすすめです。,標津サーモン科学館は飲食物持ち込みが可能で、アウトドア観光ですのおすすめです。
s00000356,system,好意的に承知する,客の観光の同行者 客の希望の観光時間帯,乳幼児 午後,午後の観光ですと、乳幼児のお子様とごゆっくりお楽しみ頂けるので良いですね。,乳幼児のお子様との観光だと午後の時間帯がゆっくり長く楽しめそうで良いですね。
s00001564,system,情報を教える,観光地の名称 観光地の割引 観光地の喫煙可否,駒止湿原 不明 不明,駒止湿原は割引、喫煙可能かどうかはわかりかねます。,駒止湿原は割引があるかはわかりません。また喫煙可能かもわかりかねます。
s00001053,system,情報を教える,客の名前（※） 観光地の名称 観光地のWi-Fiの有無,斎藤 丸亀市民ひろば 不明,斎藤様、丸亀市民ひろばにはWi-Fiがあるかどうかはわかりかねます。,丸亀市民ひろばにはWi-Fiがあるのかはわかりません。
s00000911,system,質問する,客が観光にかけたい時間 客が希望する交通手段,? ?,お客様はどういった交通手段でどれくらいのお時間で観光をしたいとお考えでしょうか。,お客様はどういった方法での観光をご希望でしょうか。また、どれくらいの時間観光したいなどございますか。
s00000048,system,好意的に承知する,客の本日の同行者,ペット,お客様と可愛らしいペットと一緒にご来店いただき嬉しく思います。,可愛らしいペットを同行しお越しいただき嬉しく思います。
s00001440,system,情報を教える,観光地の名称 観光地での観光の所要時間 観光地におすすめな時期,津軽藩ねぷた村 90分以上 秋,津軽藩ねぷた村はまわるのに90分以上かかります。おすすめの季節は秋です。,津軽藩ねぷた村のおすすめの時期は秋で、観光するのにかかる時間は90分以上かかると思われます。
