id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
s00002016,system,情報を教える,観光地の名称 観光地の予約要否 観光地の新型コロナウイルス感染対策,瑞峯院 可能 不明,瑞峯院は予約にて特別見学を行うことが可能で、感染対策の有無はわかりません。,瑞峯院の特別見学は予約制です。また、衛生管理の有無はわかりません。
s00002345,system,観光地の情報を使って客におすすめする,観光地の名称 観光地におすすめな人 観光地の料金,黒部湖駅 家族 拝観500円,黒部湖駅は家族連れに人気で、拝観料は500円となっていておすすめです,黒部湖駅はファミリーに人気で、500円で入れるのでおすすめです。
s00000642,system,好意的に承知する,客が希望する観光の季節 客が観光にかけたい時間,春 30分以上60未満,春の季節に１時間以内で観光されるのですね。良いですね。,春に30分以上で観光されるのですね。良いですね。
s00000042,system,好意的に承知する,客の本日の同行者,乳幼児,小さなお子さんといらっしゃるのですね。良いですね。,お子様とご一緒されるのですね。良いですね。
s00002212,system,観光地の情報を使って客におすすめする,客の名前（※） 観光地の名称 観光地周辺のレストランの名称,松井 鳴子峡 京都ファミリー食堂,松井様には鳴子峡と、近くの京都ファミリー食堂がおすすめです。,松井様には鳴子峡の観光と、周辺の京都ファミリー食堂がおすすめです。
s00000033,system,好意的に承知する,客が希望する観光の季節,冬,冬に観光されるのですね。良いですね。,冬に観光されるのは良いですね。
s00002241,system,観光地の情報を使って客におすすめする,観光地の名称 観光地のレビュー,成田山名古屋別院 大聖寺 県道から曲がり、寺までの参道約1キロに渡って紫陽花が見事に咲き誇っています。一昨日まで雨が降っていたので花がイキイキしていて素晴らしい景色です。ここは高所なので平地部よりかなり遅く今が見頃です。お寺の境内にも紫陽花は咲いていますが、道中の谷側の群生が最大の見所です。,成田山名古屋別院 大聖寺では紫陽花の素晴らしい景色を見ることができるのでおすすめです。,成田山名古屋別院 大聖寺は見事な紫陽花が見所となっていておすすめです。
s00001384,system,情報を教える,観光地の名称 観光地の駐車場の有無 観光地が雨天でも楽しめるか,HYTTER LODGE＆CABINS なし 不可能,HYTTER LODGE＆CABINSに駐車場はなく、雨天では楽しむことができません。,HYTTER LODGE＆CABINSには車を止める場所はなく、雨では楽しめません。
s00001826,system,情報を教える,観光地の名称 観光地の手荷物預かりの有無 観光地の飲食物持ち込みの可否,角神ダム湖 なし 不明,角神ダム湖は手荷物預かりはなく、飲食物の持ち込みは出来ません。,角神ダム湖は手荷物を預ける場所はなく、飲み物や食べ物の持ち込みは出来ません。
s00000458,system,好意的に承知する,客が希望する観光の季節 客が希望する交通手段,夏 未定,夏に観光されるのですね。お車でも、電車で行かれても良いですね。,夏の観光ですね。お車と電車のどちらで行かれても良いですね。
s00000314,system,好意的に承知する,客の観光の同行者 客が観光にかけたい時間,ペット 30分未満,ペットとご一緒に30分未満で観光されるのですね。良いですね。,ペットとご一緒に30分のうちで観光されるのですね。良いですね。
s00001803,system,情報を教える,観光地の名称 観光地の待ち時間 観光地のWi-Fiの有無,お人形の家 不明 あり,お人形の家の待ち時間はわかりませんが、Wi-Fiの提供はあります。,お人形の家の待ち時間は分かりかねますが、Wi-Fiはご利用いただけます。
s00001133,system,情報を教える,観光地の名称 観光地の飲食物持ち込みの可否,東山動植物園 可能,東山動植物園では、飲食物持ち込みができます。,東山動植物園では、飲み物や食べ物の持ち込みができます。
s00000697,system,好意的に承知する,客の希望の観光時間帯 客が希望する観光の季節,午後 秋,秋の午後に観光されるのですね。良いですね。,秋の午後に観光されるのは良いですね。
s00001154,system,情報を教える,観光地の名称 観光地周辺のレストランの名称,名勝旧堀氏庭園 タコベル 阪急三番街店,名勝旧堀氏庭園の近くには、タコベル 阪急三番街店があります。,名勝旧堀氏庭園の周辺のレストランにはタコベル 阪急三番街店があります。
s00000956,system,情報を教える,観光地の名称 観光地での観光の所要時間,道の駅はわい 90分以上,道の駅はわいの所要時間は90分以上となっています。,道の駅はわいでは90分以上観光することができます。
s00002392,system,観光地の情報を使って客におすすめする,観光地の名称 観光地での観光の所要時間 観光地の最寄り駅,大通寺庭園 30分以上60未満 網走,大通寺庭園の最寄り駅は網走で、観光の所要時間は30分以上60未満となっていて、おすすめです。,大通寺庭園の近くの駅は網走で、観光にかかるお時間は30分から60分となっていておすすめです。
s00002150,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の手荷物預かりの有無,鬼山地獄 あり,鬼山地獄では手荷物預かりがあるのでおすすめです。,鬼山地獄には手荷物を預ける場所があるのでおすすめです。
s00002552,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の設備 観光地の撮影可否,多可町余暇村公園 障害者への対応あり 可能,多可町余暇村公園には障害者の方への対応のある設備があって、撮影ができるのでおすすめです。,多可町余暇村公園の設備には障害者の方への対応があります。また、写真撮影ができるのでおすすめです。
s00001540,system,情報を教える,観光地の名称 観光地のお土産 観光地がインドアかアウトドアか,鈴木園 不明 不明,鈴木園にお土産があるかはわかりません。また、インドアかアウトドアかもわかりません。,鈴木園にお土産の有無はわかりません。また、屋内か屋外かもわかりません。
