id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
s00002016,system,情報を教える,観光地の名称 観光地の予約要否 観光地の新型コロナウイルス感染対策,瑞峯院 可能 不明,瑞峯院は予約をすることが出来ます。またコロナウィルス感染対策につきましては不明です。,瑞峯院は事前のご予約が可能となっておりますが、新型コロナウイルス感染対策に対策の有無や詳細につきましては不明となっております。
s00002345,system,観光地の情報を使って客におすすめする,観光地の名称 観光地におすすめな人 観光地の料金,黒部湖駅 家族 拝観500円,黒部湖駅は家族でいらっしゃる方におススメです。料金は500円かかります。,黒部湖駅はご家族連れにおすすめな観光地となっております。お一人様500円拝観料がかかります。
s00000642,system,好意的に承知する,客が希望する観光の季節 客が観光にかけたい時間,春 30分以上60未満,春に１時間以内で観光するのはいいですね。,春の季節にだいたい30分から１時間以内で周るのは気持ちよさそうですね。
s00000042,system,好意的に承知する,客の本日の同行者,乳幼児,お子様は乳幼児の方１人ですね。いいですね。,お子様とご一緒に行かれるのはとても良い思い出になりますね。
s00002212,system,観光地の情報を使って客におすすめする,客の名前（※） 観光地の名称 観光地周辺のレストランの名称,松井 鳴子峡 京都ファミリー食堂,松井様、鳴子峡周辺のおすすめレストランは京都ファミリー食堂となっております。,松井様、鳴子峡へ行かれた際には京都ファミリー食堂がおすすめですよ。
s00000033,system,好意的に承知する,客が希望する観光の季節,冬,冬はいいですね。,冬に行かれるのも綺麗で良いかと思います。
s00002241,system,観光地の情報を使って客におすすめする,観光地の名称 観光地のレビュー,成田山名古屋別院 大聖寺 県道から曲がり、寺までの参道約1キロに渡って紫陽花が見事に咲き誇っています。一昨日まで雨が降っていたので花がイキイキしていて素晴らしい景色です。ここは高所なので平地部よりかなり遅く今が見頃です。お寺の境内にも紫陽花は咲いていますが、道中の谷側の群生が最大の見所です。,成田山名古屋別院 大聖寺は県道から曲がり、寺までの参道約1キロに渡って紫陽花が見事に咲き誇っています。雨が降っていたら花がイキイキしていて素晴らしい景色そうです。ここは高所なので平地部よりかなり遅く今が見頃です。お寺の境内にも紫陽花は咲いていますが、道中の谷側の群生が最大の見所です。,成田山名古屋別院 大聖寺では県道から曲がり、寺までの参道約1キロに渡って紫陽花が見事に咲き誇っているようです。また雨が降っている時なんかは、花がイキイキしていて素晴らしい景色になっているそうです。こちらは高所のため平地よりも見頃の時期が遅いそうです。お寺の境内にも紫陽花は咲いていますが、道中の谷側の群生が最大の見所とのコメントを拝見いたしました。
s00001384,system,情報を教える,観光地の名称 観光地の駐車場の有無 観光地が雨天でも楽しめるか,HYTTER LODGE＆CABINS なし 不可能,HYTTER LODGE＆CABINSは駐車場がありません。また、雨天に楽しむことは不可能です。,HYTTER LODGE＆CABINSに駐車場はございませんのでご注意ください。またこちらの観光地では雨天になりますと楽しむことが難しいためその点もご留意ください。
s00001826,system,情報を教える,観光地の名称 観光地の手荷物預かりの有無 観光地の飲食物持ち込みの可否,角神ダム湖 なし 不明,角神ダム湖は手荷物を預かってもらえません。飲食物の持ち込みの可否については不明です。,角神ダム湖では、手荷物の預かりは行っておりませんのであらかじめご注意ください。また、飲食の持ち込み可否につきましては、こちらではわかりかねます。
s00000458,system,好意的に承知する,客が希望する観光の季節 客が希望する交通手段,夏 未定,夏に行かれるのはいいですね。交通手段はまだ決まっていないんですね。,夏に行かれるのはとても良くお勧めできます。今のところまだ交通手段はお決まりになっていないのですね。
s00000314,system,好意的に承知する,客の観光の同行者 客が観光にかけたい時間,ペット 30分未満,ペット同伴ですと、30分未満の滞在が良いと思います。,ペットをお連れになるのでしたら、滞在時間も30分未満が丁度良いですよね。
s00001803,system,情報を教える,観光地の名称 観光地の待ち時間 観光地のWi-Fiの有無,お人形の家 不明 あり,お人形の家の待ち時間は不明です。またWi-Fiはあります。,お人形の家での待ち時間につきましては、わかりかねます。あとはWi-Fiがつながっておりますので現地でスマホの通信量など気にせずご利用出来ますよ。
s00001133,system,情報を教える,観光地の名称 観光地の飲食物持ち込みの可否,東山動植物園 可能,東山動植物園では飲食の持ち込みが可能です。,東山動植物園は飲食をお持ち込みいただけます。
s00000697,system,好意的に承知する,客の希望の観光時間帯 客が希望する観光の季節,午後 秋,秋の午後に行かれるのはいいですね。,秋の季節で午後に行かれるのは丁度良い季節と時間帯ですね。
s00001154,system,情報を教える,観光地の名称 観光地周辺のレストランの名称,名勝旧堀氏庭園 タコベル 阪急三番街店,名勝旧堀氏庭園の周辺にはタコベル 阪急三番街店というレストランがあります。,名勝旧堀氏庭園の近くには、タコベル 阪急三番街店という飲食店がございます。
s00000956,system,情報を教える,観光地の名称 観光地での観光の所要時間,道の駅はわい 90分以上,道の駅はわいの所要時間は90分以上かかります。,道の駅はわいで楽しむには、大体90分以上の時間が必要かと思います。
s00002392,system,観光地の情報を使って客におすすめする,観光地の名称 観光地での観光の所要時間 観光地の最寄り駅,大通寺庭園 30分以上60未満 網走,大通寺庭園は30分～60分滞在するのがおすすめです。最寄り駅に網走駅があります。,大通寺庭園では、だいたい30分～60分程度の滞在が丁度良いかと思います。またお近くには網走駅もございます。
s00002150,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の手荷物預かりの有無,鬼山地獄 あり,鬼山地獄には手荷物の預かりが出来ますのでご利用ください。,鬼山地獄では手荷物もお預け頂け出来大変便利ですので、ぜひご利用下さいませ。
s00002552,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の設備 観光地の撮影可否,多可町余暇村公園 障害者への対応あり 可能,多可町余暇村公園は撮影が可能です。また障害者への対応あるので利用されるのもよいですよ。,多可町余暇村公園では撮影して楽しむことができます。またお体が不自由な方への対応もしてもらえますので、必要な際はご利用下さい。
s00001540,system,情報を教える,観光地の名称 観光地のお土産 観光地がインドアかアウトドアか,鈴木園 不明 不明,鈴木園でのお土産販売は不明です。またインドアかアウトドアなのかもわかりません。,鈴木園でお土産の販売があるかどうかや、その場所が中を周るものなのか、外を周るものなのかもわかりかねます。
