id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
s00002379,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の車でのアクセス 観光地におすすめな人,大町公園 長崎県対馬厳原港から5分 友達,大町公園は長崎県対馬厳原港から5分ですので、お友達と一緒に行くのにおすすめです。,長崎県対馬厳原港から車で5分の大町公園は、お友達と行くのにおすすめのスポットですよ。
s00001797,system,情報を教える,観光地の名称 観光地の利用可能なキャッシュレス決済 観光地のWi-Fiの有無,大野町バラ公園 不明 あり,大野町バラ公園にWi-Fiはありますが、キャッシュレス決済については不明です。,大野町バラ公園でWi-Fiは使えますが、キャッシュレス決済が使えるかどうかは分かりません。
s00001253,system,情報を教える,観光地の名称 観光地におすすめな人 観光地の料金,野球歴史資料館 の・ぼーるミュージアム 友達 1日券4800円,野球歴史資料館 の・ぼーるミュージアムは1日券4800円で、お友達と行くのにおすすめです。,1日券が4800円で買える野球歴史資料館 の・ぼーるミュージアムは、お友達と楽しめますよ。
s00000083,system,好意的に承知する,客の名前（※） 客が希望する観光の季節,河野 未定,河野様が希望する季節は未定ですね、いつ行かれても楽しめますよ。,どの季節でも楽しめるので、河野様もきっと素晴らしい旅行になりますよ。
s00002542,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の手荷物預かりの有無 観光地の設備,大田神社 あり 乳幼児への対応なし,大田神社は乳幼児の預かりはしていませんが、手荷物は預かってもらえるのでおすすめです。,大田神社は手荷物を預けられるので、乳幼児と一緒に行くのにおすすめですよ。
s00000442,system,好意的に承知する,客が希望する観光の季節 客が希望する交通手段,未定 公共交通機関,公共交通機関で移動し、季節はいつでもよろしいのですね。素晴らしい計画ですね。,季節は未定で公共交通機関をご希望ですね、きっと良い提案ができると思います。
s00001318,system,情報を教える,観光地の名称 観光地におすすめな人 観光地の最寄り駅,国営武蔵丘陵森林公園 子供 敦賀,敦賀駅から行く国営武蔵丘陵森林公園は、お子様におすすめです。,お子様が楽しめる国営武蔵丘陵森林公園の最寄り駅は敦賀駅です。
s00002396,system,観光地の情報を使って客におすすめする,観光地の名称 観光地におすすめな人 観光地の最寄り駅,夜叉ケ池 友達 武生,武生駅が最寄り駅になる夜叉ケ池は、お友達と一緒に行くのにおすすめです。,お友達と一緒に楽しめる夜叉ケ池の最寄り駅は武生駅ですよ。
s00001479,system,情報を教える,観光地の名称 観光地におすすめな人 観光地が雨天でも楽しめるか,長岡市郷土史料館 子供 可能,雨天でも楽しめる長岡市郷土史料館は、お子様におすすめです。,長岡市郷土史料館は雨天でも楽しめるので、お子様と一緒に行くのにおすすめですよ。
s00000269,system,好意的に承知する,客が希望する観光ジャンル 客の観光の同行者,海水浴場・湖水浴場 歴史好き,歴史ある海水浴場・湖水浴場をご希望ですね、素晴らしい趣味です。,歴史好きの方が楽しめる海水浴場・湖水浴場をお探しですか、良いですね。
s00001437,system,情報を教える,観光地の名称 観光地での観光の所要時間 観光地におすすめな時期,愛知県文化情報センター 60分以上90分未満 冬,愛知県文化情報センターは60～90分で回れて、冬に行くのがおすすめです。,60～90分で見学できる愛知県文化情報センターは、冬に行くと楽しめますよ。
s00000075,system,好意的に承知する,客の名前（※） 客が希望する交通手段,市川 未定,市川様は交通手段は未定ですね。自由な旅で良いですね。,交通手段は後で決めましょう。その方が市川様もきっと納得されると思いますよ。
s00002105,system,情報を教える,観光地の名称 観光地周辺のレストランの名称 観光地周辺のレストランの評価,マリンパーク海水浴場 星乃珈琲店阿佐ヶ谷 3,マリンパーク海水浴場の近くにある星乃珈琲店阿佐ヶ谷の評価は３です。,マリンパーク海水浴場の近くのレストランですと、評価３の星乃珈琲店阿佐ヶ谷があります。
s00000787,system,好意的に承知する,客が観光にかけたい時間 客がインドア派かアウトドア派か,30分未満 特になし,インドア・アウトドアどちらでも30分未満で楽しめる場所をお探しですね。良いですね。,30分未満で楽しめる場所はインドア・アウトドアどちらでもたくさんありますよ。
s00001251,system,情報を教える,観光地の名称 観光地での観光の所要時間 観光地の料金,井上靖文学館 90分以上 大人300円、中学生以下無料,井上靖文学館は大人300円、中学生以下無料で入場でき、90分以上楽しめますよ。,大人300円、中学生以下無料で入場できる井上靖文学館は、全部見るのに90分以上掛かります。
s00001705,system,情報を教える,観光地の名称 観光地の設備 観光地の広さ,鞍馬寺 ペットへの対応あり 不明,鞍馬寺の広さは不明ですが、ペットへの対応はありますよ。,鞍馬寺はペットに対応していますが、広さはちょっと不明ですね。
s00000099,system,好意的に承知する,客の名前（※） 客の本日の同行者,武田 子供,武田様ようこそいらっしゃいました。可愛いお子様ですね。,武田様はお子様と一緒に来られたのですね。素晴らしいです。
s00001847,system,情報を教える,観光地の名称 観光地の手荷物預かりの有無 観光地の喫煙可否,久慈サンピア日立スポーツセンター 不明 不明,久慈サンピア日立スポーツセンターでの手荷物預かりと喫煙可否は不明です。,久慈サンピア日立スポーツセンターでの手荷物預かりと喫煙所はごめんなさい、ちょっと分かりません。
s00001400,system,情報を教える,観光地の名称 観光地が雨天でも楽しめるか 観光地の電話番号,神戸市立博物館 可能 0575-33-1122,神戸市立博物館は雨天でも楽しめて、電話番号は0575-33-1122です。,雨天でも楽しめる神戸市立博物館の電話番号は0575-33-1122です。
s00000087,system,好意的に承知する,客の名前（※） 客が希望する観光の季節,竹内 秋,竹内様は秋をご希望ですね、いい季節ですよね。,竹内様がご希望されるのは秋ですね。私も一番おすすめの季節です。
