id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
s00000101,system,好意的に承知する,客の名前（※） 客の本日の同行者,新井 恋人,新井様と恋人のご同行を歓迎いたします。,新井様と恋人のご同行お待ちしております。
s00002486,system,観光地の情報を使って客におすすめする,観光地の名称 観光地におすすめな人 観光地におすすめな時期,長瀞の桜 友達 夏,夏の長瀞の桜は友達と行くのにぴったりです。,夏に友達との長瀞の桜はおすすめですよ。
s00000235,system,好意的に承知する,客の観光の同行者 客が希望する観光の季節,恋人 冬,ぜひ冬に恋人とご同行下さい。,冬は恋人と観光するのによろしい季節です。
s00001990,system,情報を教える,観光地の名称 観光地がインドアかアウトドアか 観光地の撮影可否,観光物産館ぱあぷる アウトドア 不可能,アウトドアですが観光物産館ぱあぷるでの撮影は不可となっております。,観光物産館ぱあぷるはアウトドアで撮影は不可能です。
s00000216,system,好意的に承知する,客の観光の同行者 客が希望する観光の季節,乳幼児 秋,秋ですが乳幼児にもおすすめです。,秋は乳幼児と同行も楽しめますよ。
s00001932,system,情報を教える,観光地の名称 観光地の飲食物持ち込みの可否 観光地のおすすめイベント,荒牧バラ公園 可能 不明,荒牧バラ公園でのイベントは分かりかねますが、飲食物持ち込は可能です。,荒牧バラ公園は飲食物持ち込み可能ですが、おすすめイベントは不明です。
s00000953,system,情報を教える,観光地の名称 観光地での観光の所要時間,宇都宮城址公園 30分未満,宇都宮城址公園は30分未満でまわれます,宇都宮城址公園の観光の所要時間30分未満です
s00000403,system,好意的に承知する,客の観光の同行者 客がインドア派かアウトドア派か,なし 特になし,インドア派でもアウトドア派でもお一人でも楽しめますよ,同行者がおられなくても、インドア派、アウトドア派関係なくおすすめですよ
s00002139,system,観光地の情報を使って客におすすめする,観光地の名称 観光地が雨天でも楽しめるか,カップヌードルミュージアム 横浜 可能,カップヌードルミュージアム 横浜は雨天でも楽しめます,雨天でも楽しめるならカップヌードルミュージアム 横浜がおすすめです
s00001168,system,情報を教える,観光地の名称 観光地の駐車場の有無 観光地のジャンル,神宮ばら園 不明 陶芸・手工芸体験,神宮ばら園は陶芸・手工芸体験ができます。駐車場の有無は不明となっております。,神宮ばら園は駐車場の有無は不明ですが、陶芸・手工芸体験ができます。
s00000823,system,好意的に承知する,客の本日の交通手段 客の本日の同行者,バス ペット,ペットご同行のバス移動も可能ですのでお待ちしております,バスでのペット同行も歓迎いたします。
s00001085,system,情報を教える,客の名前（※） 観光地の名称 観光地周辺のレストランの評価,福田 農家食堂・ベジQ 3,福田様、農家食堂・ベジQ周辺のレストランの評価は3となっております。,福田様からお問い合わせ頂いた農家食堂・ベジQ周辺のレストランの評価は3です。
s00000880,system,質問する,客が希望する観光ジャンル,?,どのようなジャンルがご希望ですか,ご希望のジャンルはございますか
s00001395,system,情報を教える,観光地の名称 観光地の電話番号 観光地におすすめな時期,安楽島海水浴場 0576-25-3400 春,春は安楽島海水浴場がおすすめで、電話番号は0576-25-3400です。,安楽島海水浴場の電話番号は0576-25-3400です。おすすめの季節は春です。
s00000359,system,好意的に承知する,客の観光の同行者 客の希望の観光時間帯,子供 希望なし,時間帯に関係なくお子様とのご同行歓迎いたします。,時間帯はいつでもお子様とご一緒に楽しめますよ。
s00001249,system,情報を教える,観光地の名称 観光地での観光の所要時間 観光地の料金,長瀞 30分以上60未満 福浦橋通行：大人200円、小人100円、団体30名以上10％割引,長瀞での観光の所要時間は30分以上60未満で、料金は福浦橋通行で大人200円、小人100円、団体30名以上10％割引となっております。,所要時間30分以上60未満でしたら長瀞がおすすめです。福浦橋通行の料金は、大人200円、小人100円、団体30名以上10％割引となります。
s00001401,system,情報を教える,観光地の名称 観光地が雨天でも楽しめるか 観光地の電話番号,みやぎ蔵王こけし館 不可能 088-685-2111,みやぎ蔵王こけし館の電話番号は088-685-2111で、雨天で楽しむのは難しです。,雨天に楽しむのは不可能ですが、みやぎ蔵王こけし館の電話番号は088-685-2111です。
s00001377,system,情報を教える,観光地の名称 観光地の駐車場の有無 観光地が雨天でも楽しめるか,新島村博物館 不明 可能,新島村博物館は雨天でも楽しめますが、駐車場の有無は不明です。,駐車場の有無は分かりかねますが、新島村博物館は雨天でも楽しめます。
s00001434,system,情報を教える,観光地の名称 観光地での観光の所要時間 観光地におすすめな時期,川越水上公園バーベキュー広場 60分以上90分未満 春,川越水上公園バーベキュー広場での所要時間60分以上90分未満となります。春がおすすめです。,春ですので川越水上公園バーベキュー広場がおすすめです。所要時間は60分以上90分未満となります。
s00000832,system,好意的に承知する,客の本日の交通手段 客の本日の同行者,電車 ペット,ペット同行で電車移動もおすすめです。,ペットとご一緒の電車移動も歓迎いたします。
