id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
s00000101,system,好意的に承知する,客の名前（※） 客の本日の同行者,新井 恋人,新井様とお付き合いされている方と観光されるのですね。良いですね。,新井さまとお付き合いされている方とご旅行ですか。それは楽しみですね。
s00002486,system,観光地の情報を使って客におすすめする,観光地の名称 観光地におすすめな人 観光地におすすめな時期,長瀞の桜 友達 夏,観光地としては長瀞の桜がございます。時期的には夏もおすすめです。お友達と一緒に観光してみるのも良いですよ。,おすすめの観光地は長瀞の桜ですが、お友達と一緒に夏の時期に観光されてもよろしいかと思います。
s00000235,system,好意的に承知する,客の観光の同行者 客が希望する観光の季節,恋人 冬,冬にお付き合いされている方とのご旅行ですね。素敵ですね。,冬にお付き合いされている方と観光されるのですね。楽しみですね。
s00001990,system,情報を教える,観光地の名称 観光地がインドアかアウトドアか 観光地の撮影可否,観光物産館ぱあぷる アウトドア 不可能,アウトドアがご希望でしたら観光物産館ぱあぷるという施設がございます。注意事項としては、カメラでの撮影は不可となっております。,写真撮影はできないのですが、観光物産館ぱあぷるというアウトドアにおすすめの施設がございます。
s00000216,system,好意的に承知する,客の観光の同行者 客が希望する観光の季節,乳幼児 秋,秋に小さいお子様と一緒に観光されるのですね。楽しみですね。,秋に小さいお子様と観光をご希望ですね。良いですね。
s00001932,system,情報を教える,観光地の名称 観光地の飲食物持ち込みの可否 観光地のおすすめイベント,荒牧バラ公園 可能 不明,荒牧バラ公園は、飲食物の持ち込みが可能となっております。イベントの情報がなく申し訳ありません。,荒牧バラ公園のイベントの情報がなく申し訳ありません。こちらは飲食物の持ち込みは可能のようです。
s00000953,system,情報を教える,観光地の名称 観光地での観光の所要時間,宇都宮城址公園 30分未満,宇都宮城址公園は30分かからず観光できます。,宇都宮城址公園での観光でしたら30分未満で可能です。
s00000403,system,好意的に承知する,客の観光の同行者 客がインドア派かアウトドア派か,なし 特になし,お一人でのご旅行で、インドア、アウトドアのご希望は特にないとのことで承知いたしました。楽しみですね,お一人でのご旅行で、アウトドア・インドアなどの希望はなしで承りました。素敵な旅になると良いですね。
s00002139,system,観光地の情報を使って客におすすめする,観光地の名称 観光地が雨天でも楽しめるか,カップヌードルミュージアム 横浜 可能,カップヌードルミュージアム 横浜は雨でも楽しめる観光施設になっております。,雨でも楽しめるので、カップヌードルミュージアム 横浜はおすすめです。
s00001168,system,情報を教える,観光地の名称 観光地の駐車場の有無 観光地のジャンル,神宮ばら園 不明 陶芸・手工芸体験,観光地としては、陶芸・手工芸体験ができる、神宮ばら園がございます。,神宮ばら園では、陶芸・手工芸体験ができます。
s00000823,system,好意的に承知する,客の本日の交通手段 客の本日の同行者,バス ペット,本日はバスでお越しですか。お連れさま可愛いですね。,バスでお越しいただいたのですね。可愛いお連れ様も一緒にありがとうございます。
s00001085,system,情報を教える,客の名前（※） 観光地の名称 観光地周辺のレストランの評価,福田 農家食堂・ベジQ 3,福田さま、観光地周辺にはレストラン評価3の農家食堂・ベジQという施設がございます。,福田さま、観光地周辺には農家食堂・ベジQというお店がございます。なおレストラン評価で3を獲得している施設となっております。
s00000880,system,質問する,客が希望する観光ジャンル,?,お客様がご希望の観光ジャンルはございますか？,観光ジャンルでご希望はありますでしょうか？
s00001395,system,情報を教える,観光地の名称 観光地の電話番号 観光地におすすめな時期,安楽島海水浴場 0576-25-3400 春,観光地としては安楽島海水浴場がございます。お問い合わせは0576-25-3400になります。なお春に観光するのもおすすめですよ。,おすすめの観光時期は春です。観光地としては安楽島海水浴場が有名で、お問い合わせ番号は0576-25-3400になります。
s00000359,system,好意的に承知する,客の観光の同行者 客の希望の観光時間帯,子供 希望なし,ご希望の観光時間はなく、お子様とご一緒に行かれるということで承りました。楽しい時間になると良いですね。,お子様と一緒に観光、希望時間はなしで承知しました。楽しみですね。
s00001249,system,情報を教える,観光地の名称 観光地での観光の所要時間 観光地の料金,長瀞 30分以上60未満 福浦橋通行：大人200円、小人100円、団体30名以上10％割引,長瀞は30分以上60未満で観光可能でございます。なお、福浦橋通行する際は、大人200円、小人100円、団体さまは30名以上10％割引になります。,長瀞での観光所要時間はおよそ30分以上60未満です。その際、福浦橋通行には大人200円、小人100円がかかります。なお、30名以上の場合は団体割引があり、料金が10％割引になります。
s00001401,system,情報を教える,観光地の名称 観光地が雨天でも楽しめるか 観光地の電話番号,みやぎ蔵王こけし館 不可能 088-685-2111,雨天の場合は楽しめないのですが、観光地としては、みやぎ蔵王こけし館がございます。お問い合わせ先は088-685-2111です。,みやぎ蔵王こけし館が観光地としては有名です。連絡先は088-685-2111になります。なお、雨天の場合は楽しめない施設になりますのであらかじめご了承ください。
s00001377,system,情報を教える,観光地の名称 観光地の駐車場の有無 観光地が雨天でも楽しめるか,新島村博物館 不明 可能,雨天でも楽しめる施設として、新島村博物館がございます。駐車場があるかどうかはご確認いただければと思います。,駐車場の有無は不明なのですが、雨天でも楽しめる施設として新島村博物館がございます。
s00001434,system,情報を教える,観光地の名称 観光地での観光の所要時間 観光地におすすめな時期,川越水上公園バーベキュー広場 60分以上90分未満 春,60分以上90分未満で楽しめるスポットとして、川越水上公園バーベキュー広場がございます。春におすすめの観光地です。,春におすすめの観光地として川越水上公園バーベキュー広場がございます。所要時間としては60分以上90分未満とお考えいただければと思います。
s00000832,system,好意的に承知する,客の本日の交通手段 客の本日の同行者,電車 ペット,本日は、電車でお越しいただいたのですね。可愛いお客様もご一緒にありがとうございます。,電車でお越しいただいたのですね。わざわざ、ありがとうございます。可愛いですね。
