id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
s00000428,system,好意的に承知する,客の観光の同行者 客がインドア派かアウトドア派か,歴史好き インドア,ご同行者様は歴史好きでお客様はインドア派なんですね。良いですね。,お客様はインドア派なんですね。観光の同行者様は歴史好きとのこと。素敵ですね。
s00001423,system,情報を教える,観光地の名称 観光地での観光の所要時間 観光地におすすめな人,葛城山 90分以上 恋人,葛城山は所要時間が90分以上で、恋人との観光がお勧めです。,葛城山は恋人との観光をお勧めします。所要時間は90分以上あります。
s00001817,system,情報を教える,観光地の名称 観光地がインドアかアウトドアか 観光地のWi-Fiの有無,果実の国カップルズ アウトドア 不明,果実の国カップルズはアウトドアの観光地で、Wi-Fiの有無は不明です。,果実の国カップルズはWi-Fiが繋がっているかどうかは分かりません。アウトドアの観光地です。
s00000596,system,好意的に承知する,客が希望する交通手段 客がインドア派かアウトドア派か,徒歩 インドア,お客様は徒歩をご希望で、インドア派なのですね。とても良いと思います。,交通手段は徒歩でインドア派かアウトドア派かでいえばインドアなのですね。素敵だと思います。
s00001104,system,情報を教える,観光地の名称 観光地におすすめな人,大石田町立歴史民俗資料館 子供,大石田町立歴史民俗資料館は子供にお勧めです。,子供にお勧めな施設なのが、大石田町立歴史民俗資料館です。
s00001317,system,情報を教える,観光地の名称 観光地での観光の所要時間 観光地の最寄り駅,道の駅みなみ波賀 ブルーベリー畑 90分以上 備中高梁,道の駅みなみ波賀 ブルーベリー畑は所要時間90分以上で、最寄駅は備中高梁です。,道の駅みなみ波賀 ブルーベリー畑の最寄駅は備中高梁で、観光にかかる時間は90分以上です。
s00001486,system,情報を教える,観光地の名称 観光地におすすめな人 観光地が雨天でも楽しめるか,郡山市立美術館 女性 不可能,郡山市立美術館は女性にお勧めです。雨天時の観光は不可能です。,女性にお勧めの郡山市立美術館は雨天時は観光できません。
s00000931,system,質問する,客の希望の観光時間帯 客が観光にかけたい時間,? ?,お客様のご希望の観光時間帯はいつでしょうか。また、観光にはどれ位の時間をかける事が出来ますか。,ご希望の観光時間帯、観光に使う事のできる時間はどれ位でしょうか。
s00000118,system,好意的に承知する,客の名前（※） 客がインドア派かアウトドア派か,橋本 インドア,橋本様はインドア派なのですね。素敵だと思います。,橋本様はインドア派か、アウトドア派か、どちらか選ぶとすればインドア派なんですね。とても良いと思います。
s00002237,system,観光地の情報を使って客におすすめする,観光地の名称 観光地におすすめな時期,鳥取市因幡万葉歴史館 夏,鳥取市因幡万葉歴史館は夏の観光がお勧めですよ。,夏に観光するのにお勧めなのが、鳥取市因幡万葉歴史館です。
s00001950,system,情報を教える,観光地の名称 観光地の撮影可否 観光地の予約要否,彩湖・道満グリーンパーク 不可能 可能,彩湖・道満グリーンパークは撮影不可能ですが、予約はできます。,彩湖・道満グリーンパークは予約可能です。中での撮影は出来ません。
s00002378,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の車でのアクセス 観光地におすすめな人,宇都宮城址公園 北関東道伊勢崎ICから国道17号、県道114号経由18km30分 子供,宇都宮城址公園は子供にお勧めです。アクセスは北関東道伊勢崎ICから国道17号、県道114号経由18km30分となっています。,子供にお勧めな宇都宮城址公園へのアクセスは、北関東道伊勢崎ICから国道17号、県道114号経由18km30分です。
s00000266,system,好意的に承知する,客が希望する観光ジャンル 客の観光の同行者,歴史的建造物 家族,お客様が希望する観光ジャンルは歴史的建造物で、ご家族との観光なんですね。素敵だと思います。,歴史的建造物の観光をご希望で、同行者はご家族なんですね。楽しそうですね。
s00001649,system,情報を教える,観光地の名称 観光地の設備 観光地の予約要否,大町公園 乳幼児への対応あり 不明,大町公園は乳幼児への対応はありますが、予約の可否については不明です。,大町公園は乳幼児も安心して利用できます。予約ができるかどうかは分かっていません。
s00000754,system,好意的に承知する,客の希望の観光時間帯 客が観光にかけたい時間,希望なし 30分以上60未満,お客様のご希望の観光時間は今のところは無く、観光にかけたい時間は30分以上60分未満なのですね。良いですね。,観光時間は30分以上60分未満で、観光時間帯は希望が無いとの事ですね。楽しくなりそうですね。
s00001969,system,情報を教える,観光地の名称 観光地の利用可能なキャッシュレス決済 観光地の撮影可否,くじゅう連山 クレジットカード 不可能,くじゅう連山はキャッシュレス決済の場合、クレジットカードでの支払いが可能で、撮影は不可能です。,くじゅう連山での撮影は出来ません。キャッシュレス決済はクレジットカードでの支払いが出来ます。
s00002481,system,観光地の情報を使って客におすすめする,観光地の名称 観光地におすすめな人 観光地におすすめな時期,天童市将棋資料館 子供 春,天童市将棋資料館はお子様にお勧めで、春の観光が良いかと思います。,お子さんにお勧めなのが天童市将棋資料館で、季節は春が良いかと思います。
s00001659,system,情報を教える,観光地の名称 観光地の設備 観光地の予約要否,霞城公園 乳幼児への対応なし 可能,霞城公園は乳幼児への対応はしていません。施設の予約は可能です。,霞城公園は予約できますが、乳幼児への対応はありません。
s00002589,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の設備 観光地の新型コロナウイルス感染対策,富士花鳥園 障害者への対応あり 入場時のアルコール消毒とマスクの着用,富士花鳥園は障がい者の方への対応をしています。新型コロナウイルス感染対策は、入場時のアルコール消毒とマスクの着用をお願いしています。,富士花鳥園は新型コロナウイルス感染対策として、入場時のアルコール消毒とマスクの着用をお願いしています。障がい者の方々が利用しやすい対応もしています。
s00001917,system,情報を教える,観光地の名称 観光地の飲食物持ち込みの可否 観光地のすいている曜日，時間帯,但馬安国寺 可能 不明,但馬安国寺は飲食物の持ち込みは可能ですが、空いている曜日、時間帯等は不明です。,但馬安国寺は空いている曜日、時間帯は分かっていませんが、飲食物は持ち込んでもOKとの事です。
