id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
s00000327,system,好意的に承知する,客の観光の同行者 客が観光にかけたい時間,歴史好き 30分以上60未満,同行者様が歴史好きでいらっしゃること、観光にかけたい時間は30分以上60分未満であること、承知いたしました。,観光にかけたい時間は30分以上60分未満であること、同行者様は歴史がお好きであること、承知いたしました。
s00000992,system,情報を教える,観光地の名称 観光地の予約要否,観光農園あかぎおろし 可能,観光農園あかぎおろしでは予約は可能でございます。,観光農園あかぎおろしでの予約は可能となっております。
s00000766,system,好意的に承知する,客の希望の観光時間帯 客が観光にかけたい時間,日中 30分以上60未満,観光の時間帯の希望は日中であること、時間は30分以上60未満であること、承知いたしました。,観光にかけたい時間は30分以上60未満であり、希望時間帯は日中であること、承知いたしました。
s00001291,system,情報を教える,観光地の名称 観光地の車でのアクセス 観光地の駐車場の有無,東はず海岸・前島 中央道河口湖ICから国道139号経由15km20分 なし,東はず海岸・前島への車でのアクセスは、中央道河口湖ICから国道139号経由15km20分であり、駐車場はございません。,東はず海岸・前島への行き方として、車で中央道河口湖ICから国道139号経由15km20分でありますが、駐車場はございません。
s00001877,system,情報を教える,観光地の名称 観光地の手荷物預かりの有無 観光地がインドアかアウトドアか,ヒルゼン高原センター ジョイフルパーク 不明 不明,ヒルゼン高原センター ジョイフルパークでの手荷物預かり、またインドアかアウトドアの観光化がわかってはおりません。,ヒルゼン高原センター ジョイフルパークの観光がインドアかアウトドアかは不明で、手荷物預かりがあるかどうかもまだわかってはおりません。
s00002009,system,情報を教える,観光地の名称 観光地の広さ 観光地の予約要否,前田いちご園 不明 不明,前田いちご園の広さや予約の必要性はわかってはおりません。,前田いちご園では予約が必要かはまだわかっておらず、広さも不明です。
s00000647,system,好意的に承知する,客が希望する観光の季節 客が観光にかけたい時間,夏 30分未満,希望する観光の季節は夏であり、時間は30分未満であること、承知いたしました。,観光にかけたい時間は30分未満であり、夏を希望なさること、承知いたしました。
s00000518,system,好意的に承知する,客が観光にかけたい時間 客が希望する交通手段,60分以上90分未満 電車,交通手段の希望は電車、かけたい時間は60分以上90分未満であること、承知いたしました。,観光にかけたい時間は60分以上90分未満であり、希望の交通手段は電車であること、喜んで承知いたしました。
s00000521,system,好意的に承知する,客が観光にかけたい時間 客が希望する交通手段,90分以上 未定,観光にかけたい時間は90分以上であること、希望の交通手段は未定であること、承知いたしました。,希望の交通手段は未定であり、観光にかけたい時間は90分以上であること、承知いたしました。
s00001046,system,情報を教える,客の名前（※） 観光地の名称 観光地の割引,新井 21世紀の森公園 不明,新井様、21世紀の森公園での割引があるかどうかは不明でございます。,新井様、21世紀の森公園の観光につきまして、割引があるかどうかはわかっておりません。
s00000638,system,好意的に承知する,客が希望する観光の季節 客が観光にかけたい時間,希望なし 90分以上,希望なさる観光の季節はないこと、かけたい時間は90分以上であること、承知いたしました。,観光にかけたい時間は90分以上であり、希望する観光の季節はないこと、承知いたしました。
s00000924,system,質問する,客の希望の観光時間帯 客が希望する観光の季節,? ?,お客様の希望の観光時間帯や季節はいつでございますか。,お客様の希望の観光時間帯や季節を教えていただくことは可能でございますか。
s00002272,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の駐車場の有無 観光地のジャンル,霞城公園 あり その他観光スポット,霞城公園には駐車場があり、ジャンルとしてはその他観光スポットでありお勧めでございます。,霞城公園は、その他観光スポットのジャンルであり、駐車場もありお勧めでございます。
s00002598,system,観光地の情報を使って客におすすめする,観光地の名称 観光地がインドアかアウトドアか 観光地の設備,しんまちボードウォーク アウトドア 乳幼児への対応あり,しんまちボードウォークはアウトドアの観光地であり、乳幼児への対応もありおすすめでございます。,しんまちボードウォークではアウトドアの観光を楽しむことができ、乳幼児への対応もありあすすめでございます。
s00000426,system,好意的に承知する,客の観光の同行者 客がインドア派かアウトドア派か,女性 アウトドア,同行者は女性でいらっしゃること、お客様はアウトドア派でいらっしゃること、承知いたしました。,お客様がアウトドア派でいらっしゃり、同行者は女性でいらっしゃること、承知いたしました。
s00001426,system,情報を教える,観光地の名称 観光地での観光の所要時間 観光地におすすめな時期,六甲山スノーパーク 30分未満 春,六甲山スノーパークでの観光所要時間は30分未満であり、春がお勧め時期でございます。,六甲山スノーパークの観光は春がお勧めで、所要時間は30分未満となっております。
s00000690,system,好意的に承知する,客の希望の観光時間帯 客が希望する観光の季節,日中 夏,希望の観光時間帯は日中であり、季節は夏であること、承知いたしました。,希望の観光の季節は夏であり、希望時間帯は日中であること、承知いたしました。
s00002142,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の割引,渋川マリン水族館 子供とお年寄り、障害を持つ方に対して割引がある,渋川マリン水族館では、子供とお年寄り、障害を持つ方に対して割引がありおすすめでございます。,子供とお年寄り、障害を持つ方に対して割引がある渋川マリン水族館は観光にお勧めでございます。
s00002484,system,観光地の情報を使って客におすすめする,観光地の名称 観光地におすすめな人 観光地におすすめな時期,英彦山神宮 子供 冬,英彦山神宮は子供にお勧めの観光地で冬が良いです。,英彦山神宮のおすすめの時期は冬であり、子供にお勧めでございます。
