id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
s00002661,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の広さ 観光地の新型コロナウイルス感染対策,置賜さくら回廊 一日あれば十分見て回れるような広さ 入場時のアルコール消毒とマスクの着用,置賜さくら回廊は一日あれば十分見て回れるような広さがあり、おすすめです。また、新型コロナウイルス対策として、入場時のアルコール消毒とマスクの着用が行われています。,置賜さくら回廊は一日あれば十分見て回れる位、広々としていておすすめです。また、入場時のアルコール消毒とマスクの着用といった新型コロナウイルスの感染対策もきちんとなされています。
s00000907,system,質問する,客の観光の同行者 客がインドア派かアウトドア派か,? ?,どなたと観光される予定ですか？また、お客様はインドア派とアウトドア派、どちらですか？,観光に同行する方はいらっしゃいますか？また、お客様はインドア派とアウトドア派、どちらですか？
s00001289,system,情報を教える,観光地の名称 観光地の車でのアクセス 観光地の駐車場の有無,東京シティ競馬 TCK 関越道花園ICから国道140号経由79km2時間 不明,東京シティ競馬 TCKは、車でアクセスする場合、関越道花園ICから国道140号経由79km2時間の場所に位置しており、駐車場の有無は不明となっております。,東京シティ競馬 TCKはお車で向かう場合、関越道花園ICから国道140号経由79km2時間の場所にあり、駐車場の有無は不明となっております。
s00002664,system,観光地の情報を使って客におすすめする,観光地の名称 観光地がインドアかアウトドアか 観光地の待ち時間,湯西川ダックツアー アウトドア 通常はあまり待たずに入場可能,湯西川ダックツアーはアウトドア系の観光地となっており、通常はあまり待たずに入場可能です。,湯西川ダックツアーはアウトドアにぴったりな観光地であり、通常はあまり待たずに入場可能です。
s00002586,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の設備 観光地の待ち時間,粉河寺 障害者への対応なし 通常はあまり待たずに入場可能,粉河寺の設備は障害者への対応はなしとなっておりますが、通常はあまり待たずに入場可能でおすすめです。,粉河寺は障害者への対応はない設備となっていますが、通常であればあまり待たずに入場ができるのでおすすめの観光地です。
s00000893,system,質問する,客の名前（※） 客の趣味,藤原 ?,藤原様のご趣味は何かございますか？,藤原様は何か趣味をお持ちでしょうか？
s00000571,system,好意的に承知する,客の希望の観光時間帯 客が希望する交通手段,夜 希望なし,交通手段のご希望がないということであれば、場所に縛られない夜ならではの魅力あふれる観光プランがたくさんご紹介できますよ。,交通手段に縛られない、夜の時間に楽しめる観光地もたくさんご案内できますよ。
s00000485,system,好意的に承知する,客が希望する観光ジャンル 客が希望する交通手段,テーマパーク・遊園地 徒歩,徒歩でも行きやすいテーマパークや遊園地もたくさんございますよ。,徒歩であればテーマパークや遊園地での駐車場の心配も無くて、良いと思います。
s00000218,system,好意的に承知する,客の観光の同行者 客が希望する観光の季節,子供 未定,ご希望の季節は特にないとのことであれば、お子さんと一緒に楽しめるプランがたくさん紹介できると思いますよ。,ご希望の季節がないのであれば、お子さんと一緒に楽しめるプランの選択肢の幅が広がって良いと思います。
s00000560,system,好意的に承知する,客の希望の観光時間帯 客が希望する交通手段,日中 電車,日中に電車を使った観光であれば、交通渋滞の心配もなくて良いですよね。,日中に電車を使った観光であれば、車窓からの景色も楽しめそうですね。
s00002409,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の駐車場の有無 観光地での観光の所要時間,もみじ谷大吊橋 あり 60分以上90分未満,もみじ谷大吊橋は駐車場が用意されており、おすすめの観光地です。観光の所要時間は60分以上90分未満となっております。,もみじ谷大吊橋には駐車場が用意されています。観光の所要時間は60分以上90分未満となっており、ゆっくり楽しむことができるので、おすすめです。
s00001268,system,情報を教える,観光地の名称 観光地の駐車場の有無 観光地の公共交通機関でのアクセス,小倉城 あり ＪＲ三ノ宮駅南東口→三宮バスターミナル4番高速バス大磯号で1時間、東浦バスターミナル下車、徒歩すぐ。,小倉城は駐車場が用意されており、公共交通機関でのアクセスはＪＲ三ノ宮駅南東口から三宮バスターミナル4番高速バス大磯号で1時間、東浦バスターミナル下車、徒歩すぐとなっております。,小倉城には駐車場が完備されています。また、公共交通機関でのアクセスはＪＲ三ノ宮駅南東口から三宮バスターミナル4番高速バス大磯号で1時間、東浦バスターミナル下車、徒歩すぐとなっております。
s00002164,system,観光地の情報を使って客におすすめする,観光地の名称 観光地周辺のレストランの評価,高松丸亀町商店街 5,高松丸亀町商店街周辺のレストランの評価は5となっており、大変おすすめの観光地です。,高松丸亀町商店街周辺にあるレストランの評価は5となっており、食事を楽しむことができておすすめです。
s00002324,system,観光地の情報を使って客におすすめする,観光地の名称 観光地におすすめな人 観光地の定休日,根獅子の浜海水浴場 恋人 12/31、1/1、展示替えによる臨時休館あり,根獅子の浜海水浴場は恋人の方と訪れるのに大変おすすめな場所です。定休日につきましては、12/31、1/1、展示替えによる臨時休館ありとなっております。,根獅子の浜海水浴場は恋人の方と観光するのにおすすめな場所であり、定休日は12/31、1/1、また、展示替えによる臨時休館ありとなっています。
s00001534,system,情報を教える,観光地の名称 観光地のお土産 観光地のすいている曜日，時間帯,中ノ島公園 不明 平日の午後,中ノ島公園のお土産は不明であり、すいている曜日や時間帯は平日の午後です。,中ノ島公園のお土産は不明です。また、平日の午後が比較的すいているそうです。
s00002604,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の手荷物預かりの有無 観光地のWi-Fiの有無,こてはし温水プール あり あり,こてはし温水プールは手荷物預かりサービスが用意されており、Wi-Fiも利用できるのでおすすめです。,こてはし温水プール手荷物預かりサービスがある他、Wi-Fiも完備されておりおすすめのスポットです。
s00000454,system,好意的に承知する,客が希望する観光の季節 客が希望する交通手段,春 バス,暖かい春の季節にバスで旅行するのも、色々な風景が楽しめそうで良いですよね。,暖かい春の季節にバスに乗ってゆっくり観光するのも、マイペースに楽しめて良いですよね。
s00001523,system,情報を教える,観光地の名称 観光地のお土産 観光地の飲食物持ち込みの可否,くじゅうやまなみキャンプ村 不明 不可能,くじゅうやまなみキャンプ村のお土産は不明となっており、飲食物持ち込みは不可能です。,くじゅうやまなみキャンプ村のお土産は不明であり、また飲食物の持ち込みは不可能となっております。
s00000257,system,好意的に承知する,客の観光の同行者 客が希望する観光の季節,歴史好き 夏,爽やかな夏の季節に歴史好きの方と一緒に観光するのは、とても楽しそうですね。,日差しの明るい夏であれば、歴史好きの方も写真撮影などが楽しめて良いと思います。
s00000004,system,来店へのお礼を言う,,,本日はご来店いただき、ありがとうございました。,本日はご来店ありがとうございました。
