id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
s00001337,system,情報を教える,観光地の名称 観光地の駐車場の有無 観光地での観光の所要時間,みろくの里 不明 90分以上,みろくの里は90分以上の時間を滞在して楽しむことができます。駐車場の有無については未確認です。,みろくの里の所要時間は90分以上で、駐車場の有無は分かりかねます。
s00001698,system,情報を教える,観光地の名称 観光地の利用可能なキャッシュレス決済 観光地の設備,ネスタ リゾート 神戸 不明 障害者への対応あり,ネスタリゾート神戸のキャッシュレス決済は不明です。しかし、設備は障害者へ対応しております。,ネスタリゾート神戸のキャッシュレス決済は分かりかねますが、設備は障害者に対応したものとなっております。
s00000394,system,好意的に承知する,客の観光の同行者 客の希望の観光時間帯,歴史好き 未定,観光時間は未定とのことですが、歴史好きの方にピッタリかと思います。,観光時間は未定でも大丈夫です。歴史好きの人ならきっと喜ばれる思います。
s00001309,system,情報を教える,観光地の名称 観光地の車でのアクセス 観光地が雨天でも楽しめるか,無双蔵 磐越道津川ICから国道459号経由7km15分 不可能,無双蔵への車のアクセスは、磐越道津川ICから国道459号を通って7km15分となっております。雨天の場合は中止となりますのでご注意ください。,無双蔵は車ですと、磐越道津川ICから国道459号経由7km15分ですが、雨天の場合は中止となりますのでご留意ください。
s00002179,system,観光地の情報を使って客におすすめする,客の名前（※） 観光地の名称 観光地での観光の所要時間,西村 大草山 90分以上,西村様、大草山はいかがですか。観光地での観光所要時間は90分以上滞在可能です。,西村様、大草山はお勧めですよ。ここでしたら、観光地での観光所要時間は90分以上滞在可能となっております。
s00002231,system,観光地の情報を使って客におすすめする,観光地の名称 観光地におすすめな人,原農園 友達,原農園はどうでしょうか。ご友人の方が楽しめる場所ですよ。,原農園でしたら、ご友人の方も喜ばれると思います。
s00001687,system,情報を教える,観光地の名称 観光地の設備 観光地の駐車場の料金,長崎原爆資料館 ペットへの対応あり 無料、バス7台,長崎原爆資料館はペットへの対応をしております。また駐車場は無料でバス7台駐車可能です。,長崎原爆資料館はペットも可となっておりますし、バス7台駐車できる無料の駐車場もございます。
s00000616,system,好意的に承知する,客が希望する食べ物 客の希望の観光時間帯,シンガポール料理 午後,午後にシンガポール料理は、とても良い選択だと思います。,午後の時間にシンガポール料理をという事ですが、とても良いと思います。
s00002587,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の設備 観光地の待ち時間,上賀茂手づくり市 ペットへの対応なし 通常はあまり待たずに入場可能,上賀茂手づくり市はペットへの対応はありません。しかし、通常はあまり待たずに入場可能です。,上賀茂手づくり市はペットへの対応はありませんが、通常時は比較的待たずに入場することができます。
s00002391,system,観光地の情報を使って客におすすめする,観光地の名称 観光地での観光の所要時間 観光地の最寄り駅,ほたる見公園 30分未満 新山口,ほたる見公園の観光所要時間は30分未満です。また、最寄りの駅は新山口になっております。,ほたる見公園の観光所要時間は30分未満で、電車ですと新山口が最寄り駅ですね。
s00000427,system,好意的に承知する,客の観光の同行者 客がインドア派かアウトドア派か,歴史好き 特になし,インドア派の方でもアウトドア派の方でも、歴史好きの方なら楽しめると思います。,インドア派の方でもアウトドア派の方でもどちらでも大丈夫です。歴史好きの方なら喜ばれると思います。
s00002129,system,観光地の情報を使って客におすすめする,観光地の名称 観光地におすすめな人,リザンシーパークビーチ 子供,リザンシーパークビーチはどうでしょう。お子様が楽しめる場所になっております。,リザンシーパークビーチでしたら、お子様も喜ばれると思います。
s00000718,system,好意的に承知する,客が希望する観光の季節 客がインドア派かアウトドア派か,秋 インドア,秋の季節に行かれるのは、インドア派の方も良いと思います。,インドア派の方が秋に行かれるのはお勧めできます。
s00000528,system,好意的に承知する,客の趣味 客が希望する交通手段,天体観測 未定,交通手段は未定とのことですが、天体観測はとても良い選択だと思います。,交通手段は未定でも、天体観測はよいと思いますよ。
s00001397,system,情報を教える,観光地の名称 観光地の電話番号 観光地におすすめな時期,江戸東京博物館 075-841-0096 秋,江戸東京博物館の電話番号は、075-841-0096です。また、お勧めの季節は秋です。,江戸東京博物館の連絡先は、075-841-0096で、お勧めの季節は秋ですね。
s00000577,system,好意的に承知する,客が希望する交通手段 客がインドア派かアウトドア派か,未定 特になし,交通手段が未定でも、インドア派かアウトドア派かどちらでも大丈夫です。,交通手段が未定で、インドア派かアウトドア派か特になしという事で承知いたしました。
s00000565,system,好意的に承知する,客の希望の観光時間帯 客が希望する交通手段,午後 車,午後に車で行かれるのは良いと思います。承知いたしました。,観光希望時間帯は午後、交通手段は車ですね。承知いたしました。
s00000352,system,好意的に承知する,客の観光の同行者 客の希望の観光時間帯,乳幼児 未定,観光時間帯は未定とのことですが、乳幼児がいらっしゃっても大丈夫です。,観光時間帯は未定ですね。乳幼児がいても大丈夫ですよ。
s00001939,system,情報を教える,観光地の名称 観光地の飲食物持ち込みの可否 観光地がインドアかアウトドアか,メインバー エメラルド 可能 アウトドア,メインバーエメラルドは、飲食物の持ち込みは可能です。またアウトドアの方が楽しめる観光地です。,メインバーエメラルドは、飲食物を持ち込むことができ、アウトドアの方が喜ばれる観光地です。
s00001280,system,情報を教える,観光地の名称 観光地におすすめな人 観光地の公共交通機関でのアクセス,江川海岸潮干狩場 歴史好き ＪＲ大聖寺駅→徒歩20分,江川海岸潮干狩場は歴史好きの人におすすめです。またアクセスはＪＲ大聖寺駅から徒歩20分です。,江川海岸潮干狩場は歴史好きの人が楽しめる観光地で、アクセスは電車でＪＲ大聖寺駅まで行き、そこから徒歩で20分です。
