id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
s00000532,system,好意的に承知する,客の趣味 客が希望する交通手段,オセロ 電車,電車を使って移動されればオセロも楽しめるカフェがありますよ,オセロが楽しめるスポットは電車で気軽に行くことができます。
s00002447,system,観光地の情報を使って客におすすめする,観光地の名称 観光地での観光の所要時間 観光地におすすめな人,ANIMAL WONDER REZOURT 市原ぞうの国 30分以上60未満 家族,アニマルワンダーリゾート市原ぞうの国ならご家族で楽しむことができますし、だいたい30分から１時間以内には見て回ることができます。,ご家族連れでしたらアニマルワンダーリゾート市原ぞうの国がおすすめです。ここなら１時間以内で見て回れますしお子さんにも無理なく楽しめますよ。
s00002292,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の営業時間 観光地の公共交通機関でのアクセス,百尺観音 要問合せ ＪＲ札幌駅北口団体バス乗り場→地下鉄麻生駅経由無料シャトルバスで40分,百尺観音はＪＲ札幌駅北口団体バス乗り場→地下鉄麻生駅経由無料シャトルバスで40分でアクセスも良いですからおすすめです。ただ営業時間についてはご確認くださいませ。,百尺堪能なら札幌駅か無料シャトルバスが出ており40分ほどです。営業時間は後ほど確認させていただきます。
s00001219,system,情報を教える,観光地の名称 観光地の定休日 観光地の最寄り駅,明石市立天文科学館 12月29日～1月3日 長瀞,長瀞からですと明石市立天文科学館がおすすめです。定休日は12月29日から1月3日までですのでご注意ください。,長瀞に行かれるのでしたら明石市立天文科学館が楽しめますよ。定休日が12月29日から1月3日ですのでこの期間を避ければ大丈夫です。
s00002263,system,観光地の情報を使って客におすすめする,観光地の名称 観光地周辺のレストランの評価,大阪駅前第3ビル 展望スペース 4,大阪駅前第三ビルの展望スペースは晴れた日には絶景が楽しめます。こちらの近くのイタリアンレストランも評価が4ですのでおすすめです。,大阪駅前第三ビルの展望スペースは、ぜひ行かれてみてください。あのあたりはレストラン評価も4と高評価のところが多いですよ。
s00001374,system,情報を教える,観光地の名称 観光地の駐車場の有無 観光地におすすめな時期,洲原公園 なし 秋,洲原公園ですと秋は紅葉が綺麗で最高のスポットです。ただ駐車場はございませんので公共機関かタクシーのご利用になります。,秋ですと洲原公園は紅葉スポットとして有名ですが駐車場はございませんので少し不便かもしれません。
s00002192,system,観光地の情報を使って客におすすめする,客の名前（※） 観光地の名称 観光地の割引,森田 鮎正宗酒造 子供とお年寄り、障害を持つ方に対して割引がある,森田様におすすめさせていただきたいのは、鮎正宗酒造です。こちらはお子様とご高齢者、お身体の不自由な方には割引もございます。,森田様。鮎正宗酒造などはいかがでしょうか。とても人気の観光スポットです。また割引はお子様やご高齢者のかたや体のご不自由な方にご用意されているようです。
s00000215,system,好意的に承知する,客の観光の同行者 客が希望する観光の季節,乳幼児 夏,小さなお子様連れの夏のご旅行でしたら、気温の涼しい場所をおすすめさせていただきます。,乳幼児とご一緒のご旅行でしたら夏場は、軽井沢などの高地が涼しいのでおすすめです。
s00000838,system,好意的に承知する,客の本日の交通手段 客の本日の同行者,公共交通機関 友達,お友達同士のご旅行でしたら、公共機関だけで移動できるところが便利でよろしいかと思います。,お友達グループでのご旅行は、気軽にバスなどの公共交通機関で移動できる温泉などがよさそうですね。
s00000498,system,好意的に承知する,客が観光にかけたい時間 客が希望する交通手段,希望なし 公共交通機関,公共交通機関ご利用で便利な観光地をおすすめさせていただきますね。,公共交通機関で気軽に観光スポットを巡れるところをご紹介させていただきます。
