id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
s00001493,system,情報を教える,観光地の名称 観光地におすすめな人 観光地が雨天でも楽しめるか,インド ケララ州の村 歴史好き 不明,インドのケララ州には歴史好きの方におすすめな村がございますよ。,インド　ケララ州の村は歴史好きの方なら楽しめる観光地でございますが、雨の日でも普通に回れるかはちょっと分かりません。
s00001938,system,情報を教える,観光地の名称 観光地の飲食物持ち込みの可否 観光地がインドアかアウトドアか,大斎原 可能 インドア,大斎原はインドアな観光地ですが飲食物の持ち込みが可能となっております。,大斎原は食べ物やお飲み物を持ち込んでもよいインドアな観光地になっております。
s00000569,system,好意的に承知する,客の希望の観光時間帯 客が希望する交通手段,午後 徒歩,かしこまりました。午後から徒歩での観光でございますね。,徒歩で午後に観光するとの事ですね。承知しました。
s00001830,system,情報を教える,観光地の名称 観光地の手荷物預かりの有無 観光地の撮影可否,武家屋敷通り 不明 可能,武家屋敷通りはお荷物のお預かりができるのかは分かりませんが、撮影は自由となっておりますね。,武家屋敷通りは撮影自由ですが、その際に手荷物を預かってもらえるかは分かりません。
s00002660,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の利用可能なキャッシュレス決済 観光地がインドアかアウトドアか,霧降高原ハイキング丸山コース バーコード決済 アウトドア,霧降高原ハイキング丸山コースはバーコード決済が可能で手荷物を減らせるおすすめアウトドアになっております。,アウトドアでお勧めの観光地となりますと、霧降高原ハイキング丸山コースなどはバーコート決済が可能で会計ストレスが少なく楽しく回れますよ。
s00002607,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の予約要否 観光地のWi-Fiの有無,海上自衛隊佐世保史料館 可能 あり,海上自衛隊佐世保史料館はWi-Fiが利用でき、観光も予約制なので快適に回れると思います。,予約制で大混雑せずにWi-Fiも使える海上自衛隊佐世保史料館などがおすすめです。
s00001218,system,情報を教える,観光地の名称 観光地の車でのアクセス 観光地の定休日,ＫＩＴＴＥ 長崎道東そのぎICから国道205号経由12km25分 1・2・12月の月曜,ＫＩＴＴＥは長崎道東そのぎICから国道205号経由12km25分の所にありまして、定休日は1・2・12月の月曜となっております。,ＫＩＴＴＥは1・2・12月の月曜が定休日で、場所は長崎道東そのぎICから国道205号経由12km25分にある観光地です。
s00001156,system,情報を教える,観光地の名称 観光地周辺のレストランの評価,アートホール 1,アートホールの周辺レストランの評価は1となっておりますね。,アートホール周辺のレストランは評価1と出ております。
s00000130,system,好意的に承知する,客の観光の同行者 客が希望する交通手段,なし バス,かしこまりました。おひとり様でバスをご利用なさりたいのですね。,バスで同行者はなしという事ですね。承りました。
s00000778,system,好意的に承知する,客の希望の観光時間帯 客が観光にかけたい時間,夜 30分以上60未満,かしこまりました。夜の観光をご希望で、時間はおおよそ30分以上60未満という事ですね。,夜の時間帯に30分以上60未満で観光したいという事ですね。承知しました。
s00001097,system,情報を教える,観光地の名称 観光地の駐車場の有無,湯河原海水浴場 あり,湯河原海水浴場には駐車場がございます。,湯河原海水浴場は駐車場がご利用可能です。
s00002138,system,観光地の情報を使って客におすすめする,観光地の名称 観光地におすすめな時期,金鳥居 冬,金鳥居は冬におすすめな観光地となっております。,冬の観光ならば金鳥居などはいかかでしょうか。
s00002264,system,観光地の情報を使って客におすすめする,観光地の名称 観光地周辺のレストランの評価,旧伴家住宅 5,旧伴家住宅は周辺レストランの評価が5と大変高くなっておりおすすめです。,旧伴家住宅は周辺レストランの評価が5となっており食事時に観光するにはピッタリのおすすめスポットです。
s00002482,system,観光地の情報を使って客におすすめする,観光地の名称 観光地におすすめな人 観光地におすすめな時期,とやま土人形工房 子供 夏,とやま土人形工房は子供に人気の高く、夏休みの観光地として大変おすすめです。,とやま土人形工房は夏休み中の子供を連れて行くのにおすすめな観光地となっております。
s00002564,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の設備 観光地の喫煙可否,高知まるごと物産館 障害者への対応あり 可能,高知まるごと物産館は障碍者への対応設備がありまして、また喫煙スペースもあるため多くの方がくつろげるおすすめの観光地です。,高知まるごと物産館は、体の不自由な障碍者や喫煙者でも利用できる設備になっているのでおすすめです。
s00001869,system,情報を教える,観光地の名称 観光地の手荷物預かりの有無 観光地の待ち時間,松ケ峯 あり 不明,松ケ峯は待ち時間不明となっておりますが手荷物のお預かりはしてくれるようです。,松ケ峯は手荷物お預かりのサービスがございますが、待ち時間は不明となっております。
s00001566,system,情報を教える,観光地の名称 観光地の割引 観光地の喫煙可否,もみじ谷大吊橋 不明 不可能,もみじ谷大吊橋は全面禁煙でして、料金の割引については不明となっております。,もみじ谷大吊橋は割引については分からないのですが、喫煙については不可となっているようです。
s00000416,system,好意的に承知する,客の観光の同行者 客がインドア派かアウトドア派か,恋人 インドア,恋人様とインドアでご旅行されたいとの事ですね。承知しました。,はい、わかりました。恋人とご一緒に回れるインドアな観光地をお探しという事ですね。
s00000182,system,好意的に承知する,客の観光の同行者 客が希望する交通手段,女性 徒歩,女性が徒歩で回れる観光地をご希望という事ですね。承りました。,承知しました。女性と一緒に徒歩で楽しめる観光地をお探しという事ですね。
s00001546,system,情報を教える,観光地の名称 観光地の割引 観光地の設備,両国橋キャンプ場 不明 乳幼児への対応なし,両国橋キャンプ場の割引情報については分かりませんが、乳幼児に対応した設備はないとの事です。,両国橋キャンプ場は乳幼児に対応した設備はなく、割引についての情報は出てきませんでした。
