id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
s00001493,system,情報を教える,観光地の名称 観光地におすすめな人 観光地が雨天でも楽しめるか,インド ケララ州の村 歴史好き 不明,インド ケララ州の村は歴史好きにはおすすめです、ただ雨天でも楽しめるかは分かりません。,雨の日も楽しいかは不明ですが、歴史好き方におすすめなスポットならインド ケララ州の村です。
s00001938,system,情報を教える,観光地の名称 観光地の飲食物持ち込みの可否 観光地がインドアかアウトドアか,大斎原 可能 インドア,インドア観光地の大斎原は、飲食物持ち込みできます。,食物持ち込み可能な大斎原は、インドアなスポットです。
s00000569,system,好意的に承知する,客の希望の観光時間帯 客が希望する交通手段,午後 徒歩,交通手段は徒歩、希望観光時間帯は午後ですね、承知いたしました。,スポットを見て回る希望の時間帯は午後で、希望交通手段は徒歩ですね、分かりました。
s00001830,system,情報を教える,観光地の名称 観光地の手荷物預かりの有無 観光地の撮影可否,武家屋敷通り 不明 可能,武家屋敷通りは撮影可能ですが、荷物預かりについては分かりません。,武家屋敷通りは荷物の預かりは不明、撮影可否については可能です。
s00002660,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の利用可能なキャッシュレス決済 観光地がインドアかアウトドアか,霧降高原ハイキング丸山コース バーコード決済 アウトドア,霧降アウトドアなスポットの高原ハイキング丸山コースは、バーコード決済が利用もできおすすめです。,キャッシュレス決済はバーコードが使えて、アウトドアな霧降高原ハイキング丸山コースはおすすめです。
s00002607,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の予約要否 観光地のWi-Fiの有無,海上自衛隊佐世保史料館 可能 あり,海上自衛隊佐世保史料館は予約可能で、Wi-Fiもあるようです。,海上自衛隊佐世保史料館ではWi-Fi利用でき、事前予約も可能です。
s00001218,system,情報を教える,観光地の名称 観光地の車でのアクセス 観光地の定休日,ＫＩＴＴＥ 長崎道東そのぎICから国道205号経由12km25分 1・2・12月の月曜,ＫＩＴＴＥへのアクセスは長崎道東そのぎICから国道205号経由12km25です、定休日は1・2・12月の月曜です。,ＫＩＴＴＥについて、定休日は1・2・12月の月曜で、アクセスは長崎道東そのぎICから国道205号経由12km25分です。
s00001156,system,情報を教える,観光地の名称 観光地周辺のレストランの評価,アートホール 1,アートホール周辺のレストランは評価が1です。,アートホール近くにあるレストランの評価は1です。
s00000130,system,好意的に承知する,客の観光の同行者 客が希望する交通手段,なし バス,希望交通手段はバス、同行者はなしすね、承知いたしました。,同行者はなく一人、交通手段はバスをご希望ですね、分かりました。
s00000778,system,好意的に承知する,客の希望の観光時間帯 客が観光にかけたい時間,夜 30分以上60未満,希望の観光時間帯は夜、30分以上60未満で観光希望ですね、分かりました。,夜に30分以上60未満かけて見て回りたいのですね、承知いたしました。
s00001097,system,情報を教える,観光地の名称 観光地の駐車場の有無,湯河原海水浴場 あり,湯河原海水浴場には駐車場があります。,湯河原海水浴場の駐車場有無について、あるそうです。
s00002138,system,観光地の情報を使って客におすすめする,観光地の名称 観光地におすすめな時期,金鳥居 冬,金鳥居は冬におすすめな観光地です。,冬の金鳥居はとてもいいスポットでおすすめです。
s00002264,system,観光地の情報を使って客におすすめする,観光地の名称 観光地周辺のレストランの評価,旧伴家住宅 5,旧伴家住宅周辺のレストランは評価が5もあり大変おすすめですよ。,周辺のレストランの評価が5の、旧伴家住宅はとてもおすすめできます。
s00002482,system,観光地の情報を使って客におすすめする,観光地の名称 観光地におすすめな人 観光地におすすめな時期,とやま土人形工房 子供 夏,とやま土人形工房は夏ごろに子供さををと旅行するにはおすすめです。,お子様と一緒に夏旅行されるのでしたら、とやま土人形工房がおすすめです。
s00002564,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の設備 観光地の喫煙可否,高知まるごと物産館 障害者への対応あり 可能,高知まるごと物産館には障害者への対応があります、また喫煙も可能なようです。,高知まるごと物産館について、喫煙可能、障害者対応ありです。
s00001869,system,情報を教える,観光地の名称 観光地の手荷物預かりの有無 観光地の待ち時間,松ケ峯 あり 不明,松ケ峯では荷物預かりがあります、ただ待ち時間については不明です。,待ち時間が3は分かりませんが、松ケ峯は荷物預かり可能です。
s00001566,system,情報を教える,観光地の名称 観光地の割引 観光地の喫煙可否,もみじ谷大吊橋 不明 不可能,もみじ谷大吊橋の割引は不明です、喫煙については不可能だそうです。,もみじ谷大吊橋は喫煙不可な観光スポットで、割引については不明です。
s00000416,system,好意的に承知する,客の観光の同行者 客がインドア派かアウトドア派か,恋人 インドア,恋人様とご一緒で、インドア趣味ですね、承知いたしました。,インドア派で恋人との旅行とのことですね、分かりました。
s00000182,system,好意的に承知する,客の観光の同行者 客が希望する交通手段,女性 徒歩,同行者は女性、希望交通手段は徒歩ですね、承知いたしました。,徒歩で行けて、女性とのご旅行をご希望ですね、分かりました。
s00001546,system,情報を教える,観光地の名称 観光地の割引 観光地の設備,両国橋キャンプ場 不明 乳幼児への対応なし,両国橋キャンプ場の割引については不明、乳幼児対応はないようです。,両国橋キャンプ場には乳幼児対応施設はありません、割引の有無については分かりません。
