id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
s00001412,system,情報を教える,観光地の名称 観光地での観光の所要時間 観光地におすすめな人,住吉大社 30分以上60未満 家族,ご家族で行かれるお客様におすすめなのは、住吉神社です。見学に必要な時間は半時間から1時間程度です。,住吉神社は30分から60分以内で観光できて、ご家族連れにおすすめです。
s00001894,system,情報を教える,観光地の名称 観光地の飲食物持ち込みの可否 観光地の撮影可否,マキノ高原 不可能 不可能,マキノ高原ですが、飲食物の持ち込みは禁止されております。また撮影のほうも不可となっております。,マキノ高原では、撮影も、飲食物の持ち込みも許可されておりません。
s00000967,system,情報を教える,観光地の名称 観光地が雨天でも楽しめるか,国営武蔵丘陵森林公園 不明,光栄武蔵丘丘陵森林公園ですが、雨の日でも楽しめるスポットかどうかはわかりません。,国営武蔵丘陵森林公園が雨天でも遊べるかどうかの情報は手元にございません。
s00001307,system,情報を教える,観光地の名称 観光地の車でのアクセス 観光地が雨天でも楽しめるか,鶴見緑地バーベキュー場・キャンプ場 上信越道信州中野ICから国道18号経由18km30分 不明,鶴見緑地バーベキュー場・キャンプ場ですが、雨天でも楽しめる施設があるかどうかはわかりません。アクセスに関しては、上信越道信州中野ICから国道18号を経由して、30分ほどかかります。距離は18kmです。,鶴見緑地バーベキュー場・キャンプ場は、車で行くなら、上信越道信州中野ICから国道18号経由で、距離にして18km、所要時間は30分ほどで到着します。雨天でも楽しめるかどうかについては、不明となっております。
s00000982,system,情報を教える,観光地の名称 観光地の手荷物預かりの有無,彩湖・道満グリーンパーク 不明,彩湖・道満グリーンパークでございますが、手荷物預かりサービスがあるかどうかの情報がない状態です。,彩湖・道満グリーンパークについての情報ですが、手荷物預かりが可能かどうかはこちらではわかりません。
s00001202,system,情報を教える,観光地の名称 観光地での観光の所要時間 観光地の営業時間,甲斐黄金村・湯之奥金山博物館 90分以上 公園は6～22時、遊泳時間は9～18時,甲斐黄金村・湯之奥金山博物館ですが、見て回るのには1時間半以上必要です。営業時間ですが、公園は早朝6時から夜10時まで、遊泳時間につきましては、9時から18時となっております。,甲斐黄金村・湯之奥金山博物館ですが、公園は6時開園、22時閉演となっております。遊泳時間は9時から18時まで、園内の見学には90分以上かかります。
s00001631,system,情報を教える,観光地の名称 観光地の設備 観光地の撮影可否,雑賀崎 乳幼児への対応あり 不明,雑賀崎ですが、撮影が許可されているかどうかはわかりませんが、乳幼児への対応は整っております。,雑賀崎では乳幼児連れのお客様に対する配慮もなされております。撮影に関しては、可能かどうかの情報が手元にございません。
s00001105,system,情報を教える,観光地の名称 観光地におすすめな人,兵庫県神戸護国神社 友達,兵庫県神戸護国神社は、友達同士での見学がおすすめです。,お友達同士で出かけるなら、兵庫県神戸護国神社がおすすめです。
s00002342,system,観光地の情報を使って客におすすめする,観光地の名称 観光地におすすめな人 観光地の料金,津和野川のほたる 友達 釣堀：貸竿1時間1500円～、餅竿半日3000円+餌代400円～,津和野川のほたるでは、釣り堀が楽しめてお友達同士におすすめです。ちなみに貸竿は1時間1500円から、餅竿半日3000円+餌代400円からとなっております。,お友達同士でいらっしゃりたい方にぜひおすすめしたいのが、津和野川のほたるです。こちらでは竿の貸し出しもあり、1時間1500円、餅竿半日は3000円プラス餌代400円からと大変お得です。
s00002397,system,観光地の情報を使って客におすすめする,観光地の名称 観光地におすすめな人 観光地の最寄り駅,ＫＩＴＴＥ 女性 伊予大洲,ＫＩＴＴＥは伊予大洲が最寄り駅で、とくに女性におすすめのスポットです。,女性のお客様におすすめしたいのは、ＫＩＴＴＥという場所です。最寄り駅は伊予大洲となっております。
s00000479,system,好意的に承知する,客が希望する観光ジャンル 客が希望する交通手段,花見スポット 未定,花見スポットへのご訪問をご希望、交通手段にはこだわらない、ということですね。花見は良いですね。,マイカーでも公共交通機関でもどちらでもかまわないということですね。場所は花見スポットとのことですが、とても楽しめそうですね。
s00001193,system,情報を教える,観光地の名称 観光地の車でのアクセス 観光地の営業時間,清水ケ池 福岡都市高速東浜出入口からマリン通り経由2km3分 ケーブルカー運行時間7時30分～18時30分,清水ケ池ですが、福岡都市高速東浜出入口からマリン通りを経由して3分、距離にして2kmのところにあります。ケーブルカーの運行時間は朝7時半から夕方6時半となっております。,清水ケ池のケーブルカーは午前7時30分から18時30分まで運行されております。アクセスですが、福岡都市高速東浜出入口から2km、マリン通り経由で3分と便利な立地にございます。
s00001406,system,情報を教える,観光地の名称 観光地での観光の所要時間 観光地におすすめな人,ぬちまーす観光製塩ファクトリー 30分未満 家族,ぬちまーす観光製塩ファクトリーはご家族連れにおすすめのスポットで、30分程度で見て回れます。,ぬちまーす観光製塩ファクトリーですが、見学には30分で十分です。ご家族と一緒に行くと楽しめるおすすめの場所です。
s00001260,system,情報を教える,観光地の名称 観光地におすすめな時期 観光地の料金,小川原湖公園 秋 リフトゴンドラセット1日券5000円,小川原湖公園は秋に行くと思う存分楽しめます。リフトゴンドラのセット一日券の料金は5000円となっております。,秋におすすめなのは、小川原湖公園で、リフトゴンドラセットで一日券は5000円です。
s00001155,system,情報を教える,観光地の名称 観光地周辺のレストランのジャンル,弥彦の丘美術館 たこ焼き,弥彦の丘美術館の周辺にはたこ焼きが食べられるお店がございます。,弥彦の丘美術館の近くには、たこ焼きが有名なお店があります。
s00001308,system,情報を教える,観光地の名称 観光地の車でのアクセス 観光地が雨天でも楽しめるか,余市ヴィンヤードグランピング 常磐道柏ICから25分 可能,余市ヴィンヤードグランピングは、常磐道柏ICから25分の距離にあり、雨の日も楽しめる施設です。,余市ヴィンヤードグランピングは雨天に行っても遊べるスポットで、常磐道柏ICから25分かかります。
s00001098,system,情報を教える,観光地の名称 観光地の駐車場の有無,六道珍皇寺 なし,六道珍皇寺には駐車場がございません。,六道珍皇寺の駐車場の有無ですが、あいにく駐車場はないようです。
s00001888,system,情報を教える,観光地の名称 観光地の飲食物持ち込みの可否 観光地の撮影可否,鉄砲蔵 不明 不可能,鉄砲蔵では撮影は許可されておりません。飲食物を持ち込めるかどうかについての情報はございません。,鉄砲蔵への飲食物の持ち込みが可能かどうかはわかりません。撮影に関しましては、不可となっております。
