id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
s00002381,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の車でのアクセス 観光地におすすめな人,紫竹ガーデン 中央道中津川ICから40分 恋人,紫竹ガーデンは恋人と行くのにおすすめですよ。また、中央道中津川ICから40分と車でのアクセスも良好です。,紫竹ガーデンは中央道中津川ICから40分で行くことができます。恋人とのドライブにいかがでしょうか。
s00001958,system,情報を教える,観光地の名称 観光地の撮影可否 観光地の喫煙可否,剣ケ池 不可能 不明,剣ケ池は撮影不可能ですがおすすめです。喫煙の可否についてはわかりかねます。,剣ケ池は喫煙の可否についてはわかりかねますが、撮影不可なので注意してください。
s00001743,system,情報を教える,観光地の名称 観光地がインドアかアウトドアか 観光地の設備,五桂池ふる～つ村 アウトドア 障害者への対応なし,五桂池ふる～つ村はアウトドアが好きな方におすすめです。ただ、障害のある方への対応はないのでご注意ください。,五桂池ふる～つ村は障害のある方への対応はありませんが、アウトドア好きの方におすすめです。
s00001713,system,情報を教える,観光地の名称 観光地の設備 観光地の待ち時間,豊崎海浜公園 障害者への対応なし 通常はあまり待たずに入場可能,豊崎海浜公園は通常はあまり待たずに入場可能です。ただ、障害のある方への対応はありませんのでご注意ください。,豊崎海浜公園は障害のある方への対応はありませんが、通常はあまり待たずに入場可能です。
s00000710,system,好意的に承知する,客が希望する観光の季節 客がインドア派かアウトドア派か,希望なし アウトドア,アウトドアいいですよね。,アウトドアがお好きなんですね。活動的でいいですね。
s00000534,system,好意的に承知する,客の趣味 客が希望する交通手段,書道 徒歩,書道がご趣味なのですね。徒歩での移動をご希望ですね。,書道がご趣味なんですね。私などは字が下手なので羨ましいです。ところで徒歩での移動をご希望ということでよろしいでしょうか？
s00001137,system,情報を教える,観光地の名称 観光地の撮影可否,Billboard Live TOKYO 不可能,Billboard Live TOKYOは撮影ができないのでご注意ください。,Billboard Live TOKYOは撮影不可です。
s00001911,system,情報を教える,観光地の名称 観光地の飲食物持ち込みの可否 観光地の喫煙可否,PANZA宮沢湖 ファンモック 不可能 可能,PANZA宮沢湖 ファンモックは飲食物の持ち込みは不可ですが、喫煙は可能です。,PANZA宮沢湖 ファンモックは、喫煙はできますが飲食物の持ち込みはできませんのでご注意ください。
s00000499,system,好意的に承知する,客が観光にかけたい時間 客が希望する交通手段,希望なし 徒歩,徒歩をご希望ですね。ゆっくり散策するのも楽しいですよね。,徒歩をご希望ですね。時間に縛られずゆっくりできると思います。
s00001277,system,情報を教える,観光地の名称 観光地におすすめな人 観光地の公共交通機関でのアクセス,摩周湖 女性 ＪＲ秋田駅→徒歩15分,摩周湖は女性には特におすすめで、JR秋田駅から徒歩15分で行くことができます。,摩周湖はJR秋田駅から徒歩15分です。また、女性には特におすすめの場所です。
s00002538,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の設備 観光地のWi-Fiの有無,ホテル・ロッジ舞洲・森とリルのBBQフィールド ペットへの対応なし あり,ホテル・ロッジ舞洲・森とリルのBBQフィールドはペットへの対応はありませんが、Wi-Fiは使用することができます。,ホテル・ロッジ舞洲・森とリルのBBQフィールドではWi-Fiを使用することができます。ただ、ペットへの対応はありませんのでご注意ください。
s00002472,system,観光地の情報を使って客におすすめする,観光地の名称 観光地での観光の所要時間 観光地におすすめな時期,フェスタ立花 60分以上90分未満 冬,フェスタ立花は60分から90分ほどの所要時間です。特におすすめな季節は冬です。,フェスタ立花は冬がおすすめです。所要時間は60分から90分程度となっております。
s00001639,system,情報を教える,観光地の名称 観光地の設備 観光地の撮影可否,御師旧外川家住宅 ペットへの対応あり 不可能,御師旧外川家住宅はペットへの対応があります。ただ、撮影はできないのでご注意ください。,御師旧外川家住宅は撮影不可ですが、ペットへの対応はあります。
s00001199,system,情報を教える,観光地の名称 観光地での観光の所要時間 観光地の営業時間,三徳山三佛寺 30分未満 9～17時,三徳山三佛寺の営業時間は9時から17時までです。所要時間は30分未満となっております。,三徳山三佛寺の所要時間は30分未満です。また、営業時間は9時から17時までです。
s00000969,system,情報を教える,観光地の名称 観光地が雨天でも楽しめるか,松山城 不可能,松山城は雨天時は楽しめないのでご注意ください。,松山城は雨天時は楽しめません。
s00000262,system,好意的に承知する,客が希望する観光ジャンル 客の観光の同行者,鍾乳洞・洞窟 乳幼児,鍾乳洞・洞窟に乳幼児と行かれるのですね。かしこまりました。,乳幼児のお子さんと鍾乳洞・洞窟に行かれるのですね。かしこまりました。
s00001531,system,情報を教える,観光地の名称 観光地のお土産 観光地の喫煙可否,鹿島 伝統工芸品 可能,鹿島のお土産は伝統工芸品がおすすめです。また、喫煙も可能となっております。,鹿島では喫煙が可能です。また、鹿島のお土産は伝統工芸品が有名です。
s00002180,system,観光地の情報を使って客におすすめする,客の名前（※） 観光地の名称 観光地におすすめな人,斉藤 八百とどろ 子供,斉藤様、もしお子様がいらっしゃれば八百とどろなどがおすすめですよ。,斉藤様、八百とどろはいかがでしょうか。お子さんには特におすすめです。
s00000164,system,好意的に承知する,客の観光の同行者 客が希望する交通手段,家族 車,家族で車に乗って行かれるのですね。楽しそうでいいですね。,車で家族と行かれるのですね。楽しそうでいいですね。
s00002514,system,観光地の情報を使って客におすすめする,観光地の名称 観光地が雨天でも楽しめるか 観光地におすすめな時期,田川市美術館 可能 冬,田川市美術館は雨の日でも楽しむことができます。特におすすめな季節は冬です。,田川市美術館は冬に行くのがおすすめです。また雨の日でも楽しむことができます。
