id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
s00002381,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の車でのアクセス 観光地におすすめな人,紫竹ガーデン 中央道中津川ICから40分 恋人,紫竹ガーデンはお連れ様とご一緒がおすすめです。中央道中津川ICからお車で40分で着きます。,紫竹ガーデンはお車でのアクセスが可能で、中央道中津川ICから40分で到着します。お連れ様と行かれるのがおすすめです。
s00001958,system,情報を教える,観光地の名称 観光地の撮影可否 観光地の喫煙可否,剣ケ池 不可能 不明,剣ケ池では恐れ入りますが、撮影できかねます。また、その場で喫煙が可能かはご不明でございます。申し訳ございません。,大変申し訳ございませんが、剣ケ池ではおタバコを吸っても良いか分かりかねます。また、撮影は出来ませんのでご了承頂ければと思います。
s00001743,system,情報を教える,観光地の名称 観光地がインドアかアウトドアか 観光地の設備,五桂池ふる～つ村 アウトドア 障害者への対応なし,五桂池ふる～つ村ではアウトドアをお楽しみいただけます。また、恐れ入りますがお身体が不自由な方へのご対応はございません。,申し訳ございませんが、五桂池ふる～つ村ではお身体が不自由な方へのご対応はございませんのでご了承くださいませ。またお外での観光となっております。
s00001713,system,情報を教える,観光地の名称 観光地の設備 観光地の待ち時間,豊崎海浜公園 障害者への対応なし 通常はあまり待たずに入場可能,豊崎海浜公園では恐れ入りますが、お身体が不自由な方へのご対応を承っておりません。また待ち時間は、通常はあまり待たずに入場可能でございます。,豊崎海浜公園では、通常はあまり待たずにご入場することが出来ます。また恐れ入りますが、お身体が不自由な方へのご対応はございませんのでご了承ください。
s00000710,system,好意的に承知する,客が希望する観光の季節 客がインドア派かアウトドア派か,希望なし アウトドア,お客様は季節問わずにアウトドアでお楽しみ頂きたいということですね。,お客様はアウトドアがお好きで、季節は問わずに観光をしたいとのことですね。
s00000534,system,好意的に承知する,客の趣味 客が希望する交通手段,書道 徒歩,お客様は書道がご趣味なのですね。素敵です。交通手段は徒歩ですね、かしこまりました。,交通手段は徒歩で承ります。ご趣味は書道なのですね、良いですね。
s00001137,system,情報を教える,観光地の名称 観光地の撮影可否,Billboard Live TOKYO 不可能,Billboard Live TOKYOでは、撮影が出来かねてしまいます。大変申し訳ございません。,Billboard Live TOKYOでは、恐れ入りますが、撮影が出来ませんのでご了承ください。
s00001911,system,情報を教える,観光地の名称 観光地の飲食物持ち込みの可否 観光地の喫煙可否,PANZA宮沢湖 ファンモック 不可能 可能,PANZA宮沢湖 ファンモックでは恐れ入りますが、飲食物は持ち込みが出来ません。そちらの場所での喫煙は可能でございます。,PANZA宮沢湖 ファンモックではおタバコを吸うことが出来ます。また大変申し訳ございませんが、飲食物の持ち込みは出来ませんのでご了承ください。
s00000499,system,好意的に承知する,客が観光にかけたい時間 客が希望する交通手段,希望なし 徒歩,お客様は徒歩をご希望なのですね。,お客様のご希望の交通手段は徒歩ですね。かしこまりました。
s00001277,system,情報を教える,観光地の名称 観光地におすすめな人 観光地の公共交通機関でのアクセス,摩周湖 女性 ＪＲ秋田駅→徒歩15分,摩周湖に行かれるのは女性の方が特におすすめです。ＪＲ秋田駅から徒歩15分でアクセス出来ます。,摩周湖はＪＲ秋田駅から徒歩15分の場所にございます。特に女性の方におすすめです。
s00002538,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の設備 観光地のWi-Fiの有無,ホテル・ロッジ舞洲・森とリルのBBQフィールド ペットへの対応なし あり,ホテル・ロッジ舞洲・森とリルのBBQフィールドでは、申し訳ございませんがペットへのご対応はございません。Wi-Fiはございますので、ぜひご利用ください。,ホテル・ロッジ舞洲・森とリルのBBQフィールドはWi-Fiが設置されております。大変恐縮なのですが、ペットへのご対応は承っておりません。
s00002472,system,観光地の情報を使って客におすすめする,観光地の名称 観光地での観光の所要時間 観光地におすすめな時期,フェスタ立花 60分以上90分未満 冬,フェスタ立花でのお時間は、およそ60分から90分未満ほどです。冬が特におすすめです。,フェスタ立花では冬の時期に行かれるのがおすすめです。所要時間は60分から90分未満ほどです。
s00001639,system,情報を教える,観光地の名称 観光地の設備 観光地の撮影可否,御師旧外川家住宅 ペットへの対応あり 不可能,御師旧外川家住宅ではペットへのご対応を承っております。また恐れ入りますが、その場での撮影は不可能でございます。,御師旧外川家住宅は大変恐縮なのですが撮影が出来かねてしまいます。ペットへのご対応をしておりますのでご安心いただければと思います。
s00001199,system,情報を教える,観光地の名称 観光地での観光の所要時間 観光地の営業時間,三徳山三佛寺 30分未満 9～17時,三徳山三佛寺での所要時間はおよそ30分未満です。営業時間は9～17時までとなっております。,三徳山三佛寺では9～17時までの営業時間です。30分未満ほどのお時間でお楽しみいただけます。
s00000969,system,情報を教える,観光地の名称 観光地が雨天でも楽しめるか,松山城 不可能,松山城では、恐れ入りますが雨の日ではお楽しみいただけません。,大変恐縮なのですが、松山城は雨天時ではお楽しみ出来かねます。
s00000262,system,好意的に承知する,客が希望する観光ジャンル 客の観光の同行者,鍾乳洞・洞窟 乳幼児,鍾乳洞・洞窟ではお子様とご一緒なのですね、楽しみですね。,鍾乳洞・洞窟はお子様と楽しまれるのですね。素敵です。
s00001531,system,情報を教える,観光地の名称 観光地のお土産 観光地の喫煙可否,鹿島 伝統工芸品 可能,鹿島ではお土産に伝統工芸品がございます。また、喫煙が可能でございますのでご安心ください。,鹿島では喫煙出来ます。また、伝統工芸品のお土産がございます。
s00002180,system,観光地の情報を使って客におすすめする,客の名前（※） 観光地の名称 観光地におすすめな人,斉藤 八百とどろ 子供,斉藤様、八百とどろは特にお子様とご一緒の観光がおすすめです。,斉藤様、お子様とぜひ八百とどろを観光されるのはいかがでしょうか。
s00000164,system,好意的に承知する,客の観光の同行者 客が希望する交通手段,家族 車,ご家族様とお車での交通手段をご希望ですね、かしこまりました。,お車でご家族様とご一緒されるのですね、素敵ですね。
s00002514,system,観光地の情報を使って客におすすめする,観光地の名称 観光地が雨天でも楽しめるか 観光地におすすめな時期,田川市美術館 可能 冬,田川市美術館では雨でもお楽しみいただけます。また冬の時期がおすすめです。,田川市美術館では冬が特におすすめの時期です。また雨天時でもお楽しみいただけますのでご安心くださいませ。
