id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
s00000313,system,好意的に承知する,客の観光の同行者 客が観光にかけたい時間,ペット 希望なし,時間を気にせずペットと観光なんて素敵ですね。,ペット同伴で時間縛りの無い観光であれば沢山楽しめますね。
s00000438,system,好意的に承知する,客が希望する観光の季節 客が希望する交通手段,未定 希望なし,季節も交通手段も決めない観光とは何て素敵なのでしょう。,交通手段の希望は無く、観光の季節が未定ですね。太っ腹な印象でかっこいいです。
s00000069,system,好意的に承知する,客の名前（※） 客の観光の同行者,井上 友達,井上様はお友達と観光なさるのですね。一緒に観光する友達が居てうらやましいです。,井上様と観光ができるご友人はさぞかし楽しみにしてるでしょうね。
s00000330,system,好意的に承知する,客の観光の同行者 客の趣味,未定 ネットサーフィン,おひとり様予定で、ネットサーフィンが趣味ですね。私も同趣味ですのでお任せください。,ネットサーフィンがお好きで一人旅であれば良い観光地がございます。
s00001161,system,情報を教える,観光地の名称 観光地のジャンル 観光地の説明,安達太良山 スタジアム・イベント場 歴代藩主が大茶屋と呼んで愛した数寄屋造の建物。小島が浮かぶ南湖の向こうに偃月橋[えんげつきょう]を望みながら抹茶を味わえる。,安達太良山はスタジアム・イベント場です。歴代藩主が大茶屋と呼んで愛した数寄屋造の建物で、小島が浮かぶ南湖の向こうに偃月橋[えんげつきょう]を望みながら抹茶を味わえます。,歴代藩主が大茶屋と呼んで愛した数寄屋造の建物で、小島が浮かぶ南湖の向こうに偃月橋[えんげつきょう]を望みながら抹茶を味わえる。そんなスタジアム・イベント場が安達太良山です。
s00000725,system,好意的に承知する,客が希望する観光ジャンル 客が観光にかけたい時間,灯台 30分未満,観光ジャンルが灯台で、観光所要時間が30分未満ですね。とてもロマンチックで素敵です。,30分未満で観光できる灯台をチョイスするそのセンスに敬意を表します。
s00001331,system,情報を教える,観光地の名称 観光地の駐車場の有無 観光地の電話番号,香川県満濃池森林公園 不明 0854-74-0043,香川県満濃池森林公園について、駐車場の有無が不明ですが、電話番号は0854-74-0043です。,駐車場の有無は情報がございませんが、香川県満濃池森林公園の電話番号はお教えできます。番号は0854-74-0043となります。
s00001194,system,情報を教える,観光地の名称 観光地の営業時間 観光地の最寄り駅,又兵衛桜 展覧会ゾーン：10～18時、交流ゾーン：9～22時 恵那,又兵衛桜の営業時間ですが、展覧会ゾーンは10～18時、交流ゾーンは9～22時となっております。また、最寄り駅は恵那です。,又兵衛桜の最寄り駅は恵那となります。また、営業時間は場所によって異なり、展覧会ゾーンは10～18時、交流ゾーンは9～22時です。
s00002209,system,観光地の情報を使って客におすすめする,客の名前（※） 観光地の名称 観光地の待ち時間,杉山 花江茶亭 通常はあまり待たずに入場可能,杉山様、花江茶亭へは通常はあまり待たずに入場可能です。,杉山様ご希望のあまり待たずに入場可能な観光地は、花江茶亭となります。
s00002311,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の営業時間 観光地が雨天でも楽しめるか,藤原家住宅 9～18時、入場は終了30分前まで 可能,藤原家住宅の営業時間は9～18時で、入場は終了30分前までとなります。また、雨天でも楽しめるのが特徴です。,雨天でも楽しめる藤原家住宅の営業時間は9～18時、入場は終了30分前まででございます。
s00002254,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の喫煙可否,くじゅう連山 可能,くじゅう連山では喫煙が可能です。,喫煙が可能な観光地はくじゅう連山となります。
s00002454,system,観光地の情報を使って客におすすめする,観光地の名称 観光地での観光の所要時間 観光地におすすめな人,渚園キャンプ場 60分以上90分未満 歴史好き,渚園キャンプ場の観光所要時間は60分以上90分未満で、歴史好きにおすすめです。,歴史が好きな人におすすめなのは、観光時間が60分以上90分未満の	渚園キャンプ場です。
s00000896,system,質問する,客の名前（※） 客の希望の観光時間帯,野村 ?,野村様ご希望の観光時間帯をお教えください。,野村様、観光時間帯のご希望はございますか。
s00001483,system,情報を教える,観光地の名称 観光地におすすめな人 観光地が雨天でも楽しめるか,道の駅 たいじ 友達 不可能,道の駅 たいじは友達におすすめな観光地ですが、雨天時は楽しめません。,雨天時は楽しめませんが、友達との観光におすすめなのは道の駅 たいじです。
s00001688,system,情報を教える,観光地の名称 観光地の設備 観光地の駐車場の料金,穴吹川 乳幼児への対応なし 有峰森林文化公園に無料駐車場あり,穴吹川は乳幼児対応の設備がありません。しかし、有峰森林文化公園に無料駐車場がございます。,有峰森林文化公園に無料駐車場がある穴吹川ですが、乳幼児へ対応した設備がありません。
s00002418,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の駐車場の有無 観光地におすすめな時期,千葉市中央図書館 あり 夏,千葉市中央図書館は駐車場があり、おすすめな時期は夏です。,観光におすすめな時期が夏の千葉市中央図書館には駐車場があります。
s00002380,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の車でのアクセス 観光地におすすめな人,犬飼滝 宮崎道宮崎ICから15km15分 女性,犬飼滝は宮崎道宮崎ICから15km15分にあり、観光におすすめな人は女性となります。,女性におすすめな犬飼滝は、宮崎道宮崎ICから15km15分の場所にあります。
s00000248,system,好意的に承知する,客の観光の同行者 客が希望する観光の季節,女性 未定,女性と一緒に季節を決めずに観光予定なんて、羨ましいです。,季節が未定でも女性と観光なんて素敵ですね。
s00001646,system,情報を教える,観光地の名称 観光地の設備 観光地の撮影可否,道の駅 しなの ペットへの対応なし 不明,道の駅 しなのはペットに対応した設備が無く、撮影可否も不明です。,撮影可否が不明な道の駅 しなのにはペット対応の設備がありません。
s00000098,system,好意的に承知する,客の名前（※） 客の本日の同行者,山口 なし,山口様、お一人で観光予約とは渋くて素敵です。,お一人で観光地を決められる山口様を羨ましく思います。
