id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
s00000999,system,情報を教える,観光地の名称 観光地の利用可能なキャッシュレス決済,道の駅 豊根グリーンポート宮嶋 クレジットカード,道の駅　豊根グリーンポート宮嶋はクレジットカードを使用できます。,クレジットカードを利用できる観光地は、道の駅　豊根グリーンポート宮嶋です。
s00002583,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の設備 観光地の広さ,百尺観音 障害者への対応なし 一日あれば十分見て回れるような広さ,百尺観音は、一日あれば十分見て回れる広さです。ただし障害者への対応はありません。,障害者への対応はありませんが、百尺観音は一日時間をとっていただければまわることができます。
s00000795,system,好意的に承知する,客が観光にかけたい時間 客がインドア派かアウトドア派か,60分以上90分未満 アウトドア,アウトドアの観光でお時間は60分から90分以内ですね。承知しました。,60分から90分かかるアウトドア向けの観光ですね。承知しました。
s00001460,system,情報を教える,観光地の名称 観光地におすすめな人 観光地におすすめな時期,横浪黒潮ライン 友達 秋,横浪黒潮ラインは秋にお友達といかれることをおすすめします。,秋の季節に横浪黒潮ラインの観光は最適です。お友達といかれてみてはどうでしょう。
s00001419,system,情報を教える,観光地の名称 観光地での観光の所要時間 観光地におすすめな人,こどものくに 60分以上90分未満 歴史好き,こどものくには60分から90分ほどでまわることができます。歴史が好きな方におすすめです。,歴史が好きな方におすすめの観光は60分から90分でまわれるこどものくにです。
s00000441,system,好意的に承知する,客が希望する観光の季節 客が希望する交通手段,未定 電車,季節は問わず電車を使用したいとのことですね。承知しました。,交通手段電車をご希望で季節は未定ですね。承知致しました。
s00001835,system,情報を教える,観光地の名称 観光地の手荷物預かりの有無 観光地の撮影可否,道の駅 いが なし 不明,道の駅　いがは撮影ができるかどうかは不明です。また手荷物の預かりはできないようです。,道の駅　いがは手荷物の預かりは行っていません。そして観光地の撮影は確認が取れておりません。
s00001839,system,情報を教える,観光地の名称 観光地の手荷物預かりの有無 観光地の予約要否,元離宮二条城 不明 可能,元離宮二条城ではお手荷物のお預かりは確認できておりませんが観光の予約はできるようです。,元離宮二条城は予約ができます。そしてお手荷物をお預かりできるかどうかは不明のようです。
s00002108,system,情報を教える,観光地の名称 観光地周辺のレストランのジャンル 観光地周辺のレストランの評価,白猪の滝 スープカレー 1,白猪の滝ではスープカレーが食べられるレストランがありますが、申し上げにくいですが評価が１となっております。,残念ながら評価が１ですが、白猪ｎ滝周辺でスープカレーをいただけるレストランがございます。
s00002663,system,観光地の情報を使って客におすすめする,観光地の名称 観光地がインドアかアウトドアか 観光地の待ち時間,壺屋 き花の杜 インドア 通常はあまり待たずに入場可能,通常ですとあまりまたずにご入場できる壺屋　き花の杜は屋内でいかがでしょうか。,インドア向けの観光のおすすめは壺屋　き花の杜であまり待たずに入場することができておすすめです。
s00000276,system,好意的に承知する,客の観光の同行者 客が観光にかけたい時間,なし 未定,観光にかけたいお時間は未定でおひとりさまですね。承知しました。,同行者はなく観光時間は未定ですね。承知致しました。
s00000120,system,好意的に承知する,客の観光の同行者 客が希望する交通手段,未定 未定,交通手段は未定で、同行者も未定ですね。承知致しました。,同行者と観光の交通手段はまだお決まりでないこと承知しました。
s00000086,system,好意的に承知する,客の名前（※） 客が希望する観光の季節,松本 夏,松本様は夏の観光をご希望ですね。承知致しました。,松本様、夏に観光をご希望とのこと承知致しました。
s00000402,system,好意的に承知する,客の観光の同行者 客がインドア派かアウトドア派か,未定 アウトドア,アウトドア向けの観光をご希望で同行者は未定ですね。承知しました。,同行者は未定で、そしてアウトドアをご希望ですね承知しました。
s00000538,system,好意的に承知する,客の希望の観光時間帯 客が希望する交通手段,未定 バス,ご希望はバス移動で時間帯は未定ということですね。承知しました。,希望のお時間はまだおわかりでなく、そして交通手段はバスですね。承知しました。
s00002499,system,観光地の情報を使って客におすすめする,観光地の名称 観光地におすすめな人 観光地におすすめな時期,嬉野温泉のホタル 家族 秋,嬉野温泉のホタルでは、秋にご家族と観光されることをおすすめします。,秋の季節にご家族そろって嬉野温泉のホタルはいかがでしょうか。
s00002268,system,観光地の情報を使って客におすすめする,観光地の名称 観光地のジャンル 観光地の料金,仁崎海水浴場 観光鉄道・ケーブルカー・トロッコ 一般1900円、大学生1500円、小・中・高校生1000円,仁崎海水浴場では観光鉄道・ケーブルカー・トロッコがおすすめです。料金は一般の方1900円、大学生1500円、小・中・高校生のお子様は1000円となっております。,仁崎海水浴場で、観光鉄道・ケーブルカー・トロッコはいかがでしょうか。一般1900円、大学生1500円、小・中・高校生は1000円の料金がかかります。
s00000275,system,好意的に承知する,客の観光の同行者 客が観光にかけたい時間,未定 90分以上,90分より多くの観光をご希望で、同行者は未定ということですね。承知しました。,同行者はまだお決まりでなく、90分以上の観光をご希望とのこと承知しました。
s00001286,system,情報を教える,観光地の名称 観光地の公共交通機関でのアクセス 観光地が雨天でも楽しめるか,能代山本スポーツリゾートセンターアリナス ＪＲ長崎駅→長崎バス5番系統稲佐山行きで15分、終点下車、徒歩5分 可能,能代山本スポーツリゾートセンターアリナスで雨天でもお楽しみできまして、JR長崎駅より長崎バス5番系統稲佐山行きで15分終点下車の徒歩5分のところにございます。,JR長崎駅より長崎バス5番系統稲佐山行きで15分終点下車の徒歩5分の場所にあります能代山本スポーツリゾートセンターアリナスは雨天でも楽しむことが可能でございます。
s00001197,system,情報を教える,観光地の名称 観光地の駐車場の有無 観光地の営業時間,ジャパンスネークセンター なし 9時～16時45分、11～2月は9～16時,ジャパンスネークセンターは、駐車場はございません。営業時間は9時から16時45分まで。11月から2月は9時から16時となっております。,ジャパンスネークセンターの営業時間ですが、9時から16時45分まで、また11月から2月は9時から16時です。あいにく駐車場はございません。
