id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
s00002637,system,観光地の情報を使って客におすすめする,観光地の名称 観光地がインドアかアウトドアか 観光地の撮影可否,道の駅 塩津海道あぢかまの里 インドア 可能,道の駅 塩津海道あぢかまの里はインドア系の観光地であり、撮影はOKとされています。,インドア観光地である道の駅 塩津海道あぢかまの里は、撮影可能となっています。
s00001604,system,情報を教える,観光地の名称 観光地の手荷物預かりの有無 観光地の設備,三河高原キャンプ村 あり 乳幼児への対応なし,三河高原キャンプ村では手荷物を預かって貰えますが、乳幼児に対応している設備はありません。,三河高原キャンプ村は手荷物の預かりがあります。乳幼児に対応した設備はないのでご注意ください。
s00000863,system,好意的に承知する,客の希望の観光時間帯 客がインドア派かアウトドア派か,日中 インドア,日中にインドアの観光をするんですね。とてもいいと思います。,日中におこなうインドア観光も素晴らしいですね。
s00001356,system,情報を教える,観光地の名称 観光地の駐車場の有無 観光地におすすめな人,大阪府民の森ちはや園地 キャンプ＆BBQ場 あり 家族,大阪府民の森ちはや園地 キャンプ＆BBQ場には駐車場も用意されていて、家族で訪れるのにもおすすめです。,大阪府民の森ちはや園地 キャンプ＆BBQ場は駐車場付きなので、家族連れの方にもおすすめです。
s00000349,system,好意的に承知する,客の観光の同行者 客の希望の観光時間帯,なし 日中,日中の観光もいいですね。,日中にする観光はとても楽しめそうですね。
s00001574,system,情報を教える,観光地の名称 観光地がインドアかアウトドアか 観光地の割引,都幾川桜堤 不明 不明,都幾川桜堤はインドアかアウトドアなのか、割引があるのかは不明となっています。,都幾川桜堤はインドアかアウトドアかは不明です。また割引についても不明となっています。
s00001342,system,情報を教える,観光地の名称 観光地の駐車場の有無 観光地での観光の所要時間,毛越寺庭園 なし 30分未満,毛越寺庭園は駐車場がなく、観光の所要時間は30分未満ほどです。,毛越寺庭園には駐車場がありません。そして観光にかかる所要時間はだいたい30分未満です。
s00002492,system,観光地の情報を使って客におすすめする,観光地の名称 観光地におすすめな人 観光地におすすめな時期,城山公園 女性 冬,城山公園は女性におすすめで、そして冬に来ることもおすすめします。,城山公園は女性におすすめの観光地で、特に冬のシーズンが特におすすめです。
s00000876,system,質問する,客の観光の同行者,?,お客様はどこへ観光に行かれますか？,お客様は目当ての観光地などありますか？
s00000434,system,好意的に承知する,客が希望する食べ物 客が希望する交通手段,からあげ 電車,電車を利用してからあげを食べに行くのですね。良いですね。,電車にのってからあげを食べに行くのですね。素晴らしいです。
s00002483,system,観光地の情報を使って客におすすめする,観光地の名称 観光地におすすめな人 観光地におすすめな時期,農事組合法人ブルーベリー明野 子供 秋,農事組合法人ブルーベリー明野は子供におすすめの観光地であり、秋に行くのが良いです。,農事組合法人ブルーベリー明野は子供におすすめであり、特に秋に行くと良いでしょう。
s00000842,system,好意的に承知する,客の本日の交通手段 客の本日の同行者,公共交通機関 女性,お二人で公共交通機関で移動するのはとても良いと思います。,お二人で公共交通機関を利用されるのですね。良いですね。
s00000319,system,好意的に承知する,客の観光の同行者 客が観光にかけたい時間,女性 希望なし,お二人での観光とても楽しそうです。,お二人で観光をするのはとても良いですね。
s00001000,system,情報を教える,観光地の名称 観光地の広さ,広島市まんが図書館 不明,広島市まんが図書館の広さは不明となっています。,広島市まんが図書館の正確な広さはわかりません。
s00001247,system,情報を教える,観光地の名称 観光地の電話番号 観光地の料金,わんわん花みち園 0460-85-5700 入場1100円、とくとくパック大人3800円、小人3400円,わんわん花みち園の入場料は1100円、とくとくパック大人は3800円で、小人は3400円となっております。電話番号は0460-85-5700です。,わんわん花みち園は入場に1100円かかりまして、とくとくパック大人ですと3800円で、小人ですと3400円となります。ちなみに電話番号は0460-85-5700です。
s00001718,system,情報を教える,観光地の名称 観光地の設備 観光地の新型コロナウイルス感染対策,大石田町立歴史民俗資料館 乳幼児への対応なし 入場時のアルコール消毒とマスクの着用,大石田町立歴史民俗資料館では乳幼児に対応した設備はなく、新型コロナ対策として入場時のアルコール消毒とマスクの着用をお願いしています。,大石田町立歴史民俗資料館の設備は乳幼児に対応していません。そして新型コロナ対策として、入場時のアルコール消毒とマスクの着用が決められています。
s00002618,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の手荷物預かりの有無 観光地の喫煙可否,グッジョバ!! あり 可能,グッジョバ!!は手荷物の預かりもありますし、喫煙も可能です。,グッジョバ!!は手荷物の預かりをしてもらえます。また喫煙できるスペースもあります。
s00002443,system,観光地の情報を使って客におすすめする,観光地の名称 観光地での観光の所要時間 観光地におすすめな人,東霧島神社 30分以上60未満 子供,東霧島神社は観光に30分から60分未満ほどかかり、子供におすすめの観光地です。,東霧島神社は観光の所要時間に30分から60分未満ほどかかります。そして子供におすすめです。
s00001217,system,情報を教える,観光地の名称 観光地の公共交通機関でのアクセス 観光地の定休日,武家屋敷通り ＪＲ川崎駅→徒歩5分 火曜、ほかメンテナンス休館あり,武家屋敷通りはJR川崎駅から徒歩5分ほどで着きます。火曜日が定休日で他にもメンテナンス休館などもあります。,武家屋敷通りはJR川崎駅から徒歩5分くらいの場所にあります。火曜日が定休日ですが、メンテナンス休館をとることもあります。
s00001349,system,情報を教える,観光地の名称 観光地の駐車場の有無 観光地におすすめな人,清水すしミュージアム 不明 恋人,清水すしミュージアムに駐車場があるかは不明ですが、恋人同士で行くのにおすすめです。,清水すしミュージアムに駐車場があるかどうかは不明です。そして恋人と行くのにおすすめの観光地です。
