id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
s00000015,system,好意的に承知する,客の観光の同行者,恋人,お連れ様はどういった物がご趣味ですか？,お連れ様とはどのような観光をご希望ですか？
s00002317,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の定休日 観光地の電話番号,将軍塚青龍殿 月～金曜、11～4月 0224-34-2385,将軍塚青龍殿の定休日は月～金曜、11～4月となっており、この期間以外での観光が可能となっております。何かご不明な点がありましたら直接0224-34-2385へお問い合わせすることも可能です。,将軍塚青龍殿は月～金曜、11～4月が定休日となっておりますのでご注意ください。その他のお問い合わせにつきましては0224-34-2385へ電話で問い合わせることが可能なのでご検討ください。
s00000005,system,来店へのお礼を言う,客の名前（※）,金子,金子様、この度はご来店誠にありがとうございます。,金子様、遠いところ御足労いただき誠にありがとうございます。
s00000540,system,好意的に承知する,客の希望の観光時間帯 客が希望する交通手段,未定 公共交通機関,こちらの観光地についてですが日中は開いております。近くに公共交通機関があるのでお気軽に利用することができますよ。,24時間いつでも観光できる場所で、公共交通機関からも近いので気軽に足を運べるかと思います。
s00001553,system,情報を教える,観光地の名称 観光地の手荷物預かりの有無 観光地の割引,明治なるほどファクトリー十勝 あり 不明,明治なるほどファクトリー十勝は手荷物の預かりに対応しています。ただ、割引についての情報は分かりかねますのでご了承ください。,手荷物の預かりができる観光地は明治なるほどファクトリー十勝となります。割引についての情報は把握しておりませんのでご了承くださいませ。
s00002401,system,観光地の情報を使って客におすすめする,観光地の名称 観光地におすすめな時期 観光地の最寄り駅,大田神社 春 小野新町,春の季節にオススメなのは、大田神社です。小野新町駅から近い場所にあるので時間を掛けずに参拝することができます。,大田神社は春の季節に訪れるのがオススメです。最寄り駅は小野新町駅となりとても近いのでお気軽に足を運んでいただくことが可能です。
s00000564,system,好意的に承知する,客の希望の観光時間帯 客が希望する交通手段,午後 希望なし,午後の時間帯からの観光ですね。車や公共交通期間で行くことができるこちらはいかがでしょうか？,こちらは午後からの観光にオススメです。車や公共交通期間、どちらでも行くことが可能です。
s00000295,system,好意的に承知する,客の観光の同行者 客が観光にかけたい時間,友達 希望なし,ご友人との観光ですね。こちらの地域はお店などが多くあるので1日中楽しめる場所となっています。,ご友人との時間を気にせず楽しめる場所はこちらになります。
s00001717,system,情報を教える,観光地の名称 観光地の設備 観光地の新型コロナウイルス感染対策,極楽寺 ペットへの対応あり 入場時のアルコール消毒とマスクの着用,極楽寺はペット同伴で参拝することができます。入場時はアルコール消毒とマスクの着用をしなければいけないのでご注意ください。,ペット同伴で参拝が可能なお寺は極楽寺になります。コロナ対策のため入場時はアルコール消毒とマスクの着用が必須となっていますのでご了承くださいませ。
s00001188,system,情報を教える,観光地の名称 観光地のジャンル 観光地が雨天でも楽しめるか,しいたけブラザーズ 橋 不可能,橋に関する観光地ですとしいたけブラザーズが人気です。ただ、雨天時にはご覧いただくことができないのでご了承ください。,しいたけブラザーズは橋に関連する観光地として有名です。ただ、雨天時には観覧することができないのでご注意ください。
