id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
s00000015,system,好意的に承知する,客の観光の同行者,恋人,同行者は恋人とは素敵でございますね。,恋人と同行するのは良いですね。
s00002317,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の定休日 観光地の電話番号,将軍塚青龍殿 月～金曜、11～4月 0224-34-2385,将軍塚青龍殿は定休日が月～金曜、11～4月で電話番号が0224-34-2385でおすすめでございます。,将軍塚青龍殿の電話番号が0224-34-2385で定休日が月～金曜、11～4月ですのでおすすめできます。
s00000005,system,来店へのお礼を言う,客の名前（※）,金子,金子様ご来店いただきありがとうございます。,金子様来てくれてありがとうございます。
s00000540,system,好意的に承知する,客の希望の観光時間帯 客が希望する交通手段,未定 公共交通機関,希望の観光時間帯は未定ですが、希望する交通手段は公共交通機関なのですね。それは良いと思いますよ。,公共交通機関を希望して時間帯は未定というのは良い観光になりそうですね。
s00001553,system,情報を教える,観光地の名称 観光地の手荷物預かりの有無 観光地の割引,明治なるほどファクトリー十勝 あり 不明,明治なるほどファクトリー十勝は手荷物預かりがありで割引は不明となっております。,明治なるほどファクトリー十勝は割引はわかりませんが、手荷物預かりはあります。
s00002401,system,観光地の情報を使って客におすすめする,観光地の名称 観光地におすすめな時期 観光地の最寄り駅,大田神社 春 小野新町,大田神社はおすすめな時期は春で最寄り駅は小野新町でございます。,大田神社の最寄り駅は小野新町でおすすめな時期は春です。
s00000564,system,好意的に承知する,客の希望の観光時間帯 客が希望する交通手段,午後 希望なし,希望の観光時間帯は午後で交通手段の希望はないというのはいいですね。,希望の観光時間帯は午後で希望する交通手段の希望はないのですね。それは良いですね。
s00000295,system,好意的に承知する,客の観光の同行者 客が観光にかけたい時間,友達 希望なし,同行者は友達で観光にかけたい時間の希望はなしとのことで、素敵な観光になりそうですね。,観光の同行者は友達で観光にかけたい時間の希望なしですね。それは良いと思いますよ。
s00001717,system,情報を教える,観光地の名称 観光地の設備 観光地の新型コロナウイルス感染対策,極楽寺 ペットへの対応あり 入場時のアルコール消毒とマスクの着用,極楽寺はペットへの対応ありで入場時のアルコール消毒とマスクの着用が必要となっております。,極楽寺の新型コロナウイルス感染対策は入場時のアルコール消毒とマスクの着用を行っていて、ペットへの対応があります。
s00001188,system,情報を教える,観光地の名称 観光地のジャンル 観光地が雨天でも楽しめるか,しいたけブラザーズ 橋 不可能,しいたけブラザーズの観光地のジャンルは橋で雨天で楽しむのは不可能でございます。,しいたけブラザーズの観光地のジャンルは橋で雨天では楽しめません。
s00001050,system,情報を教える,客の名前（※） 観光地の名称 観光地の設備,林 須賀神社 乳幼児への対応なし,林様、須賀神社は乳幼児への対応なしとなっています。,林様、須賀神社は乳幼児への対応を行っていないです。
s00000305,system,好意的に承知する,客の観光の同行者 客が観光にかけたい時間,恋人 90分以上,恋人と90分以上かけて観光するのはとても素敵ですね。,同行者は恋人で90分以上観光にかけたいのですね。それは良いですね。
s00001903,system,情報を教える,観光地の名称 観光地の飲食物持ち込みの可否 観光地の予約要否,日産スタジアム 不可能 不可能,日産スタジアムは飲食物持ち込みが不可能で予約も不可能です。,日産スタジアムは飲食物持ち込み、予約ともにできません。
s00002267,system,観光地の情報を使って客におすすめする,観光地の名称 観光地のジャンル 観光地の定休日,道の駅 公方の郷なかがわ 動物園 第2火曜、花と動物ふれあい広場・ふるさと食堂は火曜、施設により異なる,道の駅 公方の郷なかがわは動物園で定休日は第2火曜、花と動物ふれあい広場・ふるさと食堂は火曜、施設により異なりますので、おすすめでございます。,道の駅 公方の郷なかがわは動物園でして観光地の定休日は第2火曜、花と動物ふれあい広場・ふるさと食堂は火曜で施設によって異なりますがおすすめの観光地ですよ。
s00002049,system,情報を教える,観光地の名称 観光地のおすすめイベント 観光地の喫煙可否,アンティーク資料館 不明 可能,アンティーク資料館はおすすめイベントは不明で喫煙は可能でございます。,アンティーク資料館は喫煙はできますが、おすすめイベントについてはわかりません。
s00001421,system,情報を教える,観光地の名称 観光地での観光の所要時間 観光地におすすめな人,野島埼灯台資料展示室きらりん館 90分以上 友達,野島埼灯台資料展示室きらりん館は観光の所要時間90分以上で観光地におすすめな人は友達となっております。,野島埼灯台資料展示室きらりん館は友達と観光するのがおすすめで観光の所要時間は90分以上です。
s00000020,system,好意的に承知する,客が希望する交通手段,未定,希望する交通手段は未定というのは選択肢が広がっていいと思います。,希望する交通手段が未定なのですね。それは良いですね。
