id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
s00001999,system,情報を教える,観光地の名称 観光地の予約要否 観光地の喫煙可否,青葉山公園 不可能 不可能,青葉山公園は、予約・喫煙ともに不可となっております。,青葉山公園では予約しての訪問も出来ませんし、喫煙も出来ません。
s00000449,system,好意的に承知する,客が希望する観光の季節 客が希望する交通手段,希望なし 公共交通機関,どの季節でも公共交通機関でのご旅行ですか、素晴らしいですね。,ご旅行はどの季節でもOKですね。公共交通機関でのご利用ですか、楽しそうですね。
s00001674,system,情報を教える,観光地の名称 観光地の設備 観光地の喫煙可否,アグリコア越後ワイナリー ペットへの対応あり 可能,アグリコア越後ワイナリーは、ペットへの対応があり、喫煙可となっております。,アグリコア越後ワイナリーではペット対応がありまして、喫煙も大丈夫です。
s00002281,system,観光地の情報を使って客におすすめする,観光地の名称 観光地のジャンル 観光地におすすめな人,一宮寺 歴史的建造物 恋人,一宮寺は有名な歴史的建造物で恋人と一緒での訪問がおすすめです。,一宮寺は歴史的建造物でムードがあり、恋人と二人っきりの時間を楽しめておすすめです。
s00001245,system,情報を教える,観光地の名称 観光地の駐車場の有無 観光地の料金,ミズノスポートロジーギャラリー あり 法隆寺：拝観、西院伽藍内、大宝蔵院、東院伽藍内共通1500円,ミズノスポートロジーギャラリーは駐車場がございまして、料金は法隆寺の拝観、西院伽藍内、大宝蔵院、東院伽藍内共に1500円となっております。,ミズノスポートロジーギャラリーは駐車場完備で、法隆寺は拝観、西院伽藍内、大宝蔵院、東院伽藍内共通で1500円でご利用可能です。
s00000605,system,好意的に承知する,客が希望する食べ物 客が観光にかけたい時間,串揚げ 未定,串揚げをご希望で時間は未定ですね、良いですね。,お客様のご希望は串揚げで、時間は何時でもよろしいのですね、素晴らしいです。
s00000726,system,好意的に承知する,客が希望する観光ジャンル 客が観光にかけたい時間,図書館 30分以上60未満,図書館を30分以上60未満で回られるのですね、ちょうど宜しいかと存じます。,図書館を30分から60分の間で観光されるのですね、ゆっくり回れて良いかと思います。
s00000477,system,好意的に承知する,客が希望する観光の季節 客が希望する交通手段,冬 公共交通機関,冬の季節に公共交通機関でのご利用ですね、素晴らしいと思います。,今冬に公共交通機関でのご旅行ですか、楽しそうですね。
s00001985,system,情報を教える,観光地の名称 観光地がインドアかアウトドアか 観光地の撮影可否,海の噴水 インドア 不明,インドアですが海の噴水の撮影は不明となっております。,海の噴水はインドアでして、撮影の可否は不明です。
s00001254,system,情報を教える,観光地の名称 観光地におすすめな人 観光地の料金,大阪駅前第3ビル 展望スペース 女性 散策自由、キャンプ場1人1泊200円、バーベキュー1人1日100円,大阪駅前第3ビル 展望スペースは女性におすすめで、散策自由、キャンプ場1人1泊200円、バーベキュー1人1日100円となっております。,女性にオススメな大阪駅前第3ビル 展望スペースは、散策は自由でキャンプ場は1人1泊200円、バーベキューは1人1日100円でご利用いただけます。
s00000424,system,好意的に承知する,客の観光の同行者 客がインドア派かアウトドア派か,女性 特になし,女性とのご同伴で、インドアかアウトドアかは特にないのですね、素晴らしいと思います。,女性とのご旅行で、インドア派かアウトドア派かはどちらでもよいのですね、良いと思います。
s00000888,system,質問する,客の名前（※） 客が希望する交通手段,田村 ?,田村様、ご希望の交通手段をお教えください。,田村様、ご希望の交通手段はどのようなものでしょうか。
s00001846,system,情報を教える,観光地の名称 観光地の手荷物預かりの有無 観光地の予約要否,下呂発温泉博物館 なし 不可能,下呂発温泉博物館は手荷物預かりがなく、予約不可となっております。,下呂発温泉博物館では手荷物の預かりは行っておらず、予約も出来ないようです。
s00000655,system,好意的に承知する,客が希望する観光の季節 客が観光にかけたい時間,秋 60分以上90分未満,秋に60分以上90分未満でのご観光ですね、よろしいかと思います。,秋の季節に60分から90分の間でのご観光ですか、素晴らしいと思います。
s00001379,system,情報を教える,観光地の名称 観光地の駐車場の有無 観光地が雨天でも楽しめるか,吉田海岸 あり 不明,吉田海岸は駐車場はありますが、雨天でも楽しめるかどうかは不明です。,吉田海岸では駐車場完備ですが、雨天でも楽しめるかどうかの情報はありません。
s00001386,system,情報を教える,観光地の名称 観光地での観光の所要時間 観光地の電話番号,藤井寺 30分以上60未満 0299-59-3477,藤井寺での観光の所要時間は30分以上60未満で、電話番号は0299-59-3477です。,藤井寺は30分以上60未満での所要時間となっておりまして、電話番号は0299-59-3477でございます。
s00000579,system,好意的に承知する,客が希望する交通手段 客がインドア派かアウトドア派か,未定 アウトドア,お客様の交通手段は未定で、アウトドア派ですね、素晴らしいと思います。,お客様の交通手段は今のところ未定で、アウトドア派なのですね、良いと思います。
s00000683,system,好意的に承知する,客の希望の観光時間帯 客が希望する観光の季節,朝 春,朝の時間帯に春の季節でのご旅行ですね、素晴らしいですね。,お客様のご旅行する季節は春で、朝の時間帯をご希望ですね、いいと思います。
s00001165,system,情報を教える,観光地の名称 観光地のジャンル 観光地の公共交通機関でのアクセス,国営讃岐まんのう公園 休憩所 ＪＲ新南陽駅→車30分,国営讃岐まんのう公園は休憩所で、公共交通機関でのアクセスはＪＲ新南陽駅から車で30分となっております。,国営讃岐まんのう公園は主に休憩所でして、ＪＲ新南陽駅からお車で30分ほどのアクセスです。
s00000185,system,好意的に承知する,客の観光の同行者 客が希望する交通手段,歴史好き 車,お客様と同行される方が歴史好きで、車でのご旅行ですか、いいですね。,車での交通手段をご希望で、同伴の方が歴史好きなのですね、素晴らしいです。
