id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
s00000949,system,情報を教える,観光地の名称 観光地の駐車場の有無,秋田大学鉱業博物館 不明,秋田大学鉱業博物館に駐車場があるかはわかりません。,秋田大学鉱業博物館に車が止めれる場所があるかは不明です。
s00002073,system,情報を教える,観光地の名称 観光地のすいている曜日，時間帯 観光地のおすすめイベント,UPパラグライダースクール 不明 不明,UPパラグライダースクールの混雑しない時間やイベント情報は特にありません。,UPパラグライダースクールの空き具合やイベントの有無はわかりかねます。
s00000145,system,好意的に承知する,客の観光の同行者 客が希望する交通手段,子供 電車,電車でお子様と行かれるのですね、いいですね。,電車に乗ってお子様との旅行ですね、それは楽しそうですね。
s00002336,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の電話番号 観光地の料金,ループしおのえ 099-485-1818 入村料大人2000円、大学生・シニア1600円、高校生1200円、小・中学生700円,ループしおのえは入村料大人2000円、大学生・シニア1600円、高校生1200円、小・中学生700円と学生やシニア料金の設定もありおすすめです。なお、電話番号は099-485-1818なので、なにかあればこちらにもお問い合わせください。,入村料大人2000円、大学生・シニア1600円、高校生1200円、小・中学生700円と、ループしおのえは幼児は無料なのでおすすめですよ。この施設の電話番号は099-485-1818なので、お気軽にお問い合わせください。
s00000167,system,好意的に承知する,客の観光の同行者 客が希望する交通手段,家族 公共交通機関,公共交通機関をつかってご家族皆さまで旅行ですね、それはいいですね。,ご家族で公共交通機関で旅をされるのですね、わくわくしますね。
s00000270,system,好意的に承知する,客の観光の同行者 客が観光にかけたい時間,未定 未定,どなたと行かれるか、観光の所要時間もまだ未定とのことで、これから一緒に旅のプランを練っていきましょう。,同行者様や観光時間なども旅のプランを決めてから決めるのもいいですね。
s00000184,system,好意的に承知する,客の観光の同行者 客が希望する交通手段,歴史好き 希望なし,歴史好きの方とご旅行なんて素敵です。交通手段はこれからご提案させていただきます。,交通手段は特にこだわりなしですね。歴史好きの方との旅は知識も深まっていいですね。
s00001596,system,情報を教える,観光地の名称 観光地の手荷物預かりの有無 観光地の設備,置賜さくら回廊 不明 障害者への対応あり,置賜さくら回廊は手荷物預かりの情報は不明ですが、障害者の方への対応はされているようです。,置賜さくら回廊は障害を持つ方への対応はされています。コインロッカーのような手荷物預かりの有無はわかりません。
s00001986,system,情報を教える,観光地の名称 観光地がインドアかアウトドアか 観光地の撮影可否,大津アレックスシネマ インドア 可能,大津アレックスシネマはインドア好きの方にぴったりの施設で、観光地の撮影は可能です。,インドアの方にぴったりな大津アレックスシネマは写真撮影もオッケーです。
s00001885,system,情報を教える,観光地の名称 観光地の手荷物預かりの有無 観光地がインドアかアウトドアか,高瀬地区の紅花 なし アウトドア,高瀬地区の紅花はアウトドアスポットで、手荷物の預かりはありません。,高瀬地区の紅花はアウトドアな観光地で、手荷物預かりはやっておりません。
s00001822,system,情報を教える,観光地の名称 観光地の手荷物預かりの有無 観光地の飲食物持ち込みの可否,神宮ばら園 不明 不可能,神宮ばら園は飲食物の持ち込みは不可です。また、手荷物預かりの有無はわかりません。,神宮ばら園での手荷物預かりができるかはわかりませんが、飲食物の持ち込みは不可となっております。
s00001714,system,情報を教える,観光地の名称 観光地の設備 観光地の待ち時間,伝香寺 ペットへの対応なし 不明,伝香寺での混雑による待ち時間は不明です。また、ペットへの対応は行っていないのでご注意ください。,伝香寺はペットへの対応はやっておりません。この観光地での待ち時間の情報は無く、わかりかねます。
s00001454,system,情報を教える,観光地の名称 観光地におすすめな人 観光地におすすめな時期,国営武蔵丘陵森林公園 サイクリングコース 子供 春,国営武蔵丘陵森林公園 サイクリングコースは春の季節に訪れるのがおすすめで、お子様にも楽しんでいただける場所です。,国営武蔵丘陵森林公園 サイクリングコースは春に行かれるのがおすすめです。また、お子様と行かれるのもおすすめします。
s00001029,system,情報を教える,客の名前（※） 観光地の名称 観光地での観光の所要時間,山下 粉河寺 60分以上90分未満,山下様、粉河寺での所要時間は60分以上90分未満となっております。,山下様が検討されている粉河寺は、60分以上90分未満で観光できます。
s00000707,system,好意的に承知する,客が希望する観光の季節 客がインドア派かアウトドア派か,未定 アウトドア,時期はまだ決めてらっしゃらないようですが、アウトドアな旅をご希望ですね。いいですね。,旅行のお日にちは未定で、アウトドアなプランがお好きなんですね。わくわくしますね。
s00002077,system,情報を教える,観光地の名称 観光地の利用可能なキャッシュレス決済 観光地の広さ,野球歴史資料館 の・ぼーるミュージアム バーコード決済 不明,野球歴史資料館 の・ぼーるミュージアムの規模はわかりかねますが、バーコード決済は可能な施設となっています。,野球歴史資料館 の・ぼーるミュージアムの広さまでは不明ですが、こちらの施設はバーコード決済対応をされています。
s00000936,system,質問する,客の希望の観光時間帯 客がインドア派かアウトドア派か,? ?,ご希望の観光される時間や、アウトドアな体験がしたいかそれともインドアでゆっくりされたかどちらがいいでしょうか。,お客様はアウトドアかインドアどちらがお好きですか？またご希望の観光時間はありますか？
s00000256,system,好意的に承知する,客の観光の同行者 客が希望する観光の季節,歴史好き 春,春に歴史好きな方と行かれるのですね。いいですね。,歴史好きな方と春頃に旅行されるのですね。素敵です。
s00000150,system,好意的に承知する,客の観光の同行者 客が希望する交通手段,友達 車,お友達と車で行かれるのですね。わくわくしますね。,お友達と車に乗って出発されるのですね。素敵ですね。
s00002327,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の定休日 観光地におすすめな時期,鹿島 第2・4月曜 春,鹿島は春に行くのがおすすめです。また、第2・4月曜は定休日となっています。,春に鹿島に行かれるのはどうでしょう。第2・4月曜は定休となっていますが、おすすめですよ。
