id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
s00000594,system,好意的に承知する,客が希望する交通手段 客がインドア派かアウトドア派か,公共交通機関 アウトドア,お客様はアウトドア派で、希望している交通手段は公共交通機関ということでね。了承しました。,アウトドア派のお客様が希望しているのは公共交通機関とのこと、承りました。
s00002076,system,情報を教える,観光地の名称 観光地がインドアかアウトドアか 観光地のすいている曜日，時間帯,赤穂市立海洋科学館・塩の国 アウトドア 平日の午後,赤穂市立海洋科学館・塩の国はアウトドアの観光地なんですけど、平日の午後ならすいていておすすめです。,平日の午後にすいている観光地ですと、アウトドアになりますが赤穂市立海洋科学館・塩の国がおすすめです。
s00000932,system,質問する,客が観光にかけたい時間 客がインドア派かアウトドア派か,? ?,お客様はインドア派かアウトドア派かお伺いしてもよろしいでしょうか？観光にはどれぐらいお時間をおかけになる予定でしょうか？,観光にかける時間は大体どれぐらいでしょうか？お客様はインドア派かアウトドア派、どちらでございますか？
s00001980,system,情報を教える,観光地の名称 観光地のおすすめイベント 観光地の撮影可否,白浜エネルギーランド 不明 可能,白浜エネルギーランドで行われているイベントは不明なのですが、撮影は可能になっております。,白浜エネルギーランドは撮影可能なんですけど、おすすめイベントは不明な状態です。
s00000466,system,好意的に承知する,客が希望する観光の季節 客が希望する交通手段,秋 希望なし,お客様の観光したい時期は秋で、交通手段は希望なしということですね。了承しました。,交通手段は希望なしで、季節は秋をご所望とのこと承知しました。
s00002095,system,情報を教える,観光地の名称 観光地のおすすめイベント 観光地の新型コロナウイルス感染対策,日光東照宮 陽明門 不明 入場時のアルコール消毒とマスクの着用,日光東照宮 陽明門でオススメとなるイベント情報は不明です。コロナ対策は入場時のアルコール消毒とマスクの着用を実施しております。,入場時のアルコール消毒とマスクの着用でコロナウィルス感染対策をしているのは日光東照宮 陽明門です。おすすめイベントに関しては不明です。
s00002404,system,観光地の情報を使って客におすすめする,観光地の名称 観光地におすすめな時期 観光地の最寄り駅,高瀬湖 冬 尾鷲,冬におすすめとなると高瀬湖ですね。最寄り駅は尾鷲となっております。,尾鷲を最寄り駅としている観光地には高瀬湖がありまして、冬がおすすめです。
s00002647,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の駐車場の料金 観光地の喫煙可否,近つ飛鳥風土記の丘 新横浜公園駐車場利用、2時間400円、以降30分毎100円 可能,喫煙は可能でおすすめなのは近つ飛鳥風土記の丘です。駐車料金は	新横浜公園駐車場利用、2時間400円、以降30分毎100円となっております。,駐車料金は新横浜公園駐車場利用、2時間400円、以降30分毎100円なのですが、近つ飛鳥風土記の丘は喫煙可能の観光地なのでおすすめです。
s00000722,system,好意的に承知する,客が希望する観光の季節 客がインドア派かアウトドア派か,冬 アウトドア,お客様はアウトドア派で、希望している季節は冬ですね。了承しました。,冬に行ける観光地で、お客様はアウトドア派ということですね。承知しました。
s00002528,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の割引 観光地の喫煙可否,美祢市立秋吉台科学博物館 子供とお年寄り、障害を持つ方に対して割引がある 可能,美祢市立秋吉台科学博物館は喫煙が可能なだけでなく、	子供とお年寄り、障害を持つ方に対して割引があるのでおすすめです。,美祢市立秋吉台科学博物館でしたら子供とお年寄り、障害を持つ方に対して割引があるとの事。喫煙も可能なのでおすすめでございます。
s00002414,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の駐車場の有無 観光地におすすめな人,親水公園ムーンテラス あり 恋人,恋人向けのおすすめ観光地は親水公園ムーンテラスです。駐車場はあります。,親水公園ムーンテラスは駐車場があり、恋人におすすめの観光スポットです。
s00001403,system,情報を教える,観光地の名称 観光地での観光の所要時間 観光地におすすめな人,ジュネス栗駒スキー場 30分未満 友達,ジュネス栗駒スキー場の観光所要時間は30分未満で、友達におすすめの観光地となっております。,友達と行く観光地で観光時間30分未満という条件ですと、ジュネス栗駒スキー場になります。
s00001850,system,情報を教える,観光地の名称 観光地の手荷物預かりの有無 観光地の喫煙可否,田川市美術館 あり 不明,田川市美術館は手荷物の預かりサービスがありますが、喫煙情報は不明です。,喫煙可否に関しては不明なのですが、田川市美術館なら手荷物預かりのサービスがあります。
s00000897,system,質問する,客の名前（※） 客がインドア派かアウトドア派か,遠藤 ?,遠藤様はインドア派でしょうか？アウトドア派でしょうか？,遠藤様、恐れ入りますがインドア派とアウトドア派のどちらでございますか？
s00001169,system,情報を教える,観光地の名称 観光地の駐車場の有無 観光地のジャンル,池波正太郎ふれあい館 あり 博物館・科学館・資料館,博物館・科学館・資料館で駐車場ありの観光地でしたら、池波正太郎ふれあい館がございます。,池波正太郎ふれあい館のジャンルは博物館・科学館・資料館となっておりまして、駐車場はあります。
s00002348,system,観光地の情報を使って客におすすめする,観光地の名称 観光地におすすめな時期 観光地の料金,ウッディパル余呉 夏 通行手形4800円,夏におすすめなのはウッディパル余呉で、料金は通行手形4800円となっております。,通行手形4800円なのですが、夏でしたらウッディパル余呉がおすすめです。
s00001198,system,情報を教える,観光地の名称 観光地の営業時間 観光地の電話番号,日立シビックセンター科学館 ロープウェイ：8時30分～17時30分、天守営業時間：9～17時 0763-82-2565,日立シビックセンター科学館の営業時間は	ロープウェイ：8時30分～17時30分、天守営業時間：9～17時となっておりまして、電話番号は0763-82-2565となってございます。,日立シビックセンター科学館の連絡先は0763-82-2565です。ロープウェイ：8時30分～17時30分、天守営業時間：9～17時という営業時間になっております。
s00001043,system,情報を教える,客の名前（※） 観光地の名称 観光地が雨天でも楽しめるか,菊地 めいほう高原キャンプフィールド 不可能,菊池様、	めいほう高原キャンプフィールドは雨天で楽しむのは不可能な観光地になってございます。,めいほう高原キャンプフィールドですね、菊池様。雨天で楽しむ事は不可能な観光地です。
s00000752,system,好意的に承知する,客の希望の観光時間帯 客が観光にかけたい時間,希望なし 希望なし,お客様の観光にかける時間や時間帯に関してですが、希望なしということですね。了承しました。,お客様の希望する観光時間帯と時間帯は希望なしということで承りました。
