id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
s00001944,system,情報を教える,観光地の名称 観光地の撮影可否 観光地の予約要否,まほろば健康パーク ファミリープール 不明 可能,まほろば健康パーク ファミリープールのご利用には予約が可能です。こちらで撮影ができるかどうか、わかりません。,まほろば健康パーク ファミリープールでの撮影は、禁止かどうかは不明です。この施設のご利用には、事前に予約ができます。
s00002213,system,観光地の情報を使って客におすすめする,客の名前（※） 観光地の名称 観光地周辺のレストランのジャンル,藤井 ほたる園 ご当地グルメ,藤井様、ほたる園ではご当地グルメをお楽しみいただけます。,藤井様には、ホタル園にあるご当地グルメがおすすめです。
s00001841,system,情報を教える,観光地の名称 観光地の手荷物預かりの有無 観光地の予約要否,ひだ森のめぐみ あり 不明,ひだ森のめぐみでは、手荷物預かり所があります。こちらの施設の事前予約は不明です。,ひだ森のめぐみのご利用ですが、事前に予約することができるか不明です。手荷物預かりを利用することはできます。
s00001658,system,情報を教える,観光地の名称 観光地の設備 観光地の予約要否,南レク御荘公園 南レクジャンボプール 乳幼児への対応なし 不明,南レク御荘公園 南レクジャンボプールでの乳幼児のご利用はできません。こちらのプールは事前に予約ができるか不明です。,南レク御荘公園 南レクジャンボプールのご利用には、事前予約ができるか不明です。こちらの施設では、乳幼児の対応をしていません。
s00002002,system,情報を教える,観光地の名称 観光地の駐車場の料金 観光地の予約要否,アートホール 60分550円、以降30分毎110円 不可能,こちらのアートホールは、60分550円、以降30分毎110円で利用していただけます。施設のの事前予約はできません。,こちらのアートホールをご利用するために事前予約することはできません。施設の利用料金は、60分550円、以降30分毎110円です。
s00002010,system,情報を教える,観光地の名称 観光地の広さ 観光地の予約要否,クリスタルビーチ 不明 可能,クリスタルビーチの広さは不明です。ビーチのご利用の予約は可能です。,クリスタルビーチの事前予約をしていただくことができます。ビーチの広さはわかりかねます。
s00002151,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の飲食物持ち込みの可否,松ケ峯 可能,松ケ峯では、飲食物の持ち込みをおすすめします。,松ケ峯に飲食物を持ち込むことが可能です。持っていかれてはいかがですか。
s00000960,system,情報を教える,観光地の名称 観光地におすすめな人,勝浦朝市 恋人,勝浦朝市は、恋人とのご利用にとても良いところです。,勝浦朝市は、恋人とご一緒に訪れると良い場所です。
s00002330,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の定休日 観光地におすすめな時期,ベイサイドビーチ坂 月曜、展示替え期間 冬,ベイサイドビーチ坂のご利用は冬がおすすめです。展示替え期間のため、定休日は月曜です。,ベイサイドビーチ坂の定休日は月曜で、展示替え期間になっています。おすすめの時期は冬です。
s00001459,system,情報を教える,観光地の名称 観光地におすすめな人 観光地におすすめな時期,滝尻王子 友達 夏,滝尻王子は、夏にご友人と一緒に訪れることができます。,滝尻王子は、夏に友人同士で訪れることができます。
s00000470,system,好意的に承知する,客が希望する観光の季節 客が希望する交通手段,秋 公共交通機関,お客様のおっしゃる通り、秋は観光シーズンなので、公共交通機関のご利用がよいと思います。,秋は観光シーズンなので、私も、公共交通機関のご利用がよいと思います。
s00002084,system,情報を教える,観光地の名称 観光地の広さ 観光地の待ち時間,五桂池ふる～つ村 不明 不明,五桂池ふる～つ村の施設の全体面積はわかりません。待ち時間も不明です。,五桂池ふる～つ村の広さと施設での待ち時間は、わかりかねます。
s00002273,system,観光地の情報を使って客におすすめする,観光地の名称 観光地のジャンル 観光地の電話番号,広島市江波山気象館 繁華街・町並み・散歩道 027-235-2211,広島市江波山気象館では、繁華街・町並み・散歩道という種類を表現している施設です。お問い合わせ先は、027-235-2211です。,広島市江波山気象館のお電話番号は、027-235-2211です。館内では、繁華街・町並み・散歩道といった形式があります。
s00000748,system,好意的に承知する,客の希望の観光時間帯 客が観光にかけたい時間,未定 30分以上60未満,何時ごろに行かれるかわかりませんが、お客様のご希望通り、30分以上60未満でお楽しみいただけます。,いつ訪れても、30分以上60未満の希望時間で楽しむことができます。
s00002323,system,観光地の情報を使って客におすすめする,観光地の名称 観光地におすすめな人 観光地の定休日,カナルクルーザー 女性 気象警報発令時は閉園,カナルクルーザーのご利用は女性におすすめします。ただし、気象警報発令時は閉園となります。,カナルクルーザーは、気象警報発令時は閉園になりますが、女性におすすめできるところです。
s00000927,system,質問する,客が希望する観光ジャンル 客の趣味,? ?,お客様はどのようなご趣味がありますか。ご希望の観光地はありますか。,どのような種類の観光をされたいですか。ご趣味なども合わせて教えてください。
s00002054,system,情報を教える,観光地の名称 観光地がインドアかアウトドアか 観光地の喫煙可否,都立葛西臨海公園バーベキュー広場 インドア 不明,都立葛西臨海公園バーベキュー広場はインドアの施設です。喫煙できるかどうか不明です。,都立葛西臨海公園バーベキュー広場はインドアの施設ですので、喫煙できるかどうかわかりません。
s00000240,system,好意的に承知する,客の観光の同行者 客が希望する観光の季節,家族 秋,家族の方とご一緒に、秋に旅行は良いと思います。,秋にご家族と旅行は良いですね。
s00000826,system,好意的に承知する,客の本日の交通手段 客の本日の同行者,電車 乳幼児,乳幼児を連れて、電車のご利用はいいと思います。,乳幼児と電車に乗ることはいいと思います。
s00001008,system,情報を教える,観光地の名称 観光地周辺のレストランのジャンル,越前打刃物会館 クレープ,越前打刃物会館の近くには、クレープを販売しているお店があります。,越前打刃物会館の近くにある飲食店はクレープ屋です。
