id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
s00002275,system,観光地の情報を使って客におすすめする,観光地の名称 観光地での観光の所要時間 観光地のジャンル,建仁寺 30分以上60未満 空港,建仁寺は空港観光の一つです。30分以上60未満で観光できるためおすすめです。,建仁寺は30分以上60未満でまわることがでるためおすすめです。観光地のジャンルとしては空港になります。
s00002298,system,観光地の情報を使って客におすすめする,観光地の名称 観光地での観光の所要時間 観光地の営業時間,フェルケール博物館 30分以上60未満 入場自由,フェルケール博物館は30分以上60未満で観光できます。また営業時間も入場自由のためおすすめです。,フェルケール博物館は入場自由の営業です。また30分以上60未満で観光できるためおすすめです。
s00001704,system,情報を教える,観光地の名称 観光地の設備 観光地の広さ,将軍塚青龍殿 障害者への対応あり 不明,将軍塚青龍殿は障害をお持ちの方への対応をしておりますが、広さは不明です。,将軍塚青龍殿の広さは不明ですが、障害をお持ちの方への対応もございます。
s00001809,system,情報を教える,観光地の名称 観光地のおすすめイベント 観光地のWi-Fiの有無,別府タワー 不明 あり,別府タワーはWi-Fiを完備しております。ただおすすめのイベントは不明です。,別府タワーのおすすめイベントは不明ですが、Wi-Fiをご利用いただけます。
s00002123,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の駐車場の有無,加太海水浴場 あり,加太海水浴場は駐車場を完備しているためおすすめです。,駐車場があるため加太海水浴場はおすすめです。
s00001819,system,情報を教える,観光地の名称 観光地がインドアかアウトドアか 観光地のWi-Fiの有無,長崎歴史文化博物館 アウトドア なし,長崎歴史文化博物館はアウトドアの観光地です。Wi-Fiはご利用いただけません。,長崎歴史文化博物館はWi-Fiを完備していないアウトドアの観光地です。
s00001333,system,情報を教える,観光地の名称 観光地の駐車場の有無 観光地の電話番号,名水百選龍ケ窪 なし 0952-37-6129,名水百選龍ケ窪の電話番号は0952-37-6129で、駐車場はございません。,名水百選龍ケ窪には駐車場はございません。電話番号は0952-37-6129です。
s00001967,system,情報を教える,観光地の名称 観光地の利用可能なキャッシュレス決済 観光地の撮影可否,おのファミリーランド オートキャンプ場 クレジットカード 不明,おのファミリーランド オートキャンプ場ではクレジットカードがご利用いただけますが、撮影ができるかは不明です。,おのファミリーランド オートキャンプ場では撮影はご遠慮いただいております。ただクレジットカード決済はご利用いただけます。
s00001606,system,情報を教える,観光地の名称 観光地の手荷物預かりの有無 観光地の設備,開明学校 あり ペットへの対応なし,開明学校では手荷物預かりをしています。ただペットへの対応はしておりません。,開明学校ではペット対応はありませんが、手荷物預かりサービスをしております。
s00001843,system,情報を教える,観光地の名称 観光地の手荷物預かりの有無 観光地の予約要否,安楽島海水浴場 あり 不可能,安楽島海水浴場では手荷物預かりをしていますが、予約はできません。,安楽島海水浴場では予約を受け付けておりません。ただ手荷物預かりはございます。
s00001051,system,情報を教える,客の名前（※） 観光地の名称 観光地の設備,西村 蓮沼ウォーターガーデン 障害者への対応なし,西村様、蓮沼ウォーターガーデンでは障害をお持ちの方への対応はしておりません。,西村様、あいにく蓮沼ウォーターガーデンには障害をお持ちの方への対応はございません。
s00001372,system,情報を教える,観光地の名称 観光地の駐車場の有無 観光地におすすめな時期,望月農園 なし 春,望月農園には駐車場はございませんが、春の観光がおすすめです。,望月農園の観光は春がおすすめです。ただ駐車場はございません。
s00000197,system,好意的に承知する,客の観光の同行者 客が希望する食べ物,ペット 洋菓子,洋菓子をご希望ですね。またペットとご同伴とのことで楽しそうですね。,この度はペットとご一緒のご観光とのことで良いですね。また食べ物では洋菓子をご希望とのこと承知いたしました。
s00000154,system,好意的に承知する,客の観光の同行者 客が希望する交通手段,友達 徒歩,お友達とのご旅行で楽しそうですね。またご移動は徒歩をご希望とのことですね。,ご移動は徒歩ですね。また今回はお友達とご一緒の観光で良いですね。
s00001779,system,情報を教える,観光地の名称 観光地の予約要否 観光地のWi-Fiの有無,聖林寺 不可能 あり,聖林寺はWi-Fiを完備しております。ただご予約は受け付けておりません。,聖林寺では予約はできませんが、Wi-Fiはご利用いただけます。
s00000955,system,情報を教える,観光地の名称 観光地での観光の所要時間,八百萬神之御殿 60分以上90分未満,八百萬神之御殿の観光にかかる時間は60分以上90分未満です。,八百萬神之御殿はまわるのに60分以上90分未満かかります。
s00002296,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の営業時間 観光地の電話番号,敦賀半島 2部制11～15時、17～21時 097-537-5976,敦賀半島は11～15時、17～21時の2部制となっているためおすすめです。電話番号は097-537-5976です。,敦賀半島の電話番号は097-537-5976です。また11～15時、17～21時の2部制のためおすすめです。
s00002008,system,情報を教える,観光地の名称 観光地の利用可能なキャッシュレス決済 観光地の予約要否,町立湯河原美術館 クレジットカード 不可能,町立湯河原美術館は予約はできませんが、クレジットカード決済が可能です。,町立湯河原美術館ではクレジットカード決済が利用できます。ただ予約は受け付けておりません。
s00002261,system,観光地の情報を使って客におすすめする,観光地の名称 観光地周辺のレストランの名称,八重岳 桜の森公園 大松鮨,八重岳 桜の森公園には大松鮨というレストランがありおすすめです。,周辺に大松鮨というレストランがあるため、八重岳 桜の森公園がおすすめです。
s00001328,system,情報を教える,観光地の名称 観光地が雨天でも楽しめるか 観光地の最寄り駅,牛首 不明 大山口,牛首の最寄り駅は大山口です。雨の場合楽しめるかは不明です。,牛首を雨でも楽しめるかは分かりません。最寄り駅は大山口です。
