id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
s00000239,system,好意的に承知する,客の観光の同行者 客が希望する観光の季節,家族 夏,ご家族で季節は夏をご希望ですね。かしこまりました。,夏にご家族で行かれるのですね。承知致しました。
s00002350,system,観光地の情報を使って客におすすめする,観光地の名称 観光地におすすめな時期 観光地の料金,こんぶくろ池自然博物公園 冬 大人2000円、小人1000円、4歳～小学生未満800円、1kg超過につき1000円,こんぶくろ池自然博物公園は冬に訪れるのがおすすめで、料金は大人2000円、小人1000円、4歳～小学生未満800円、1kg超過につき1000円となっております。,こんぶくろ池自然博物公園の料金は大人2000円、小人1000円、4歳～小学生未満800円、1kg超過につき1000円となっており、おすすめの季節は冬になります。
s00002169,system,観光地の情報を使って客におすすめする,客の名前（※） 観光地の名称 観光地の定休日,杉山 榛名里見地区ナシ園 法隆寺：無休,杉山様、榛名里見地区ナシ園の法隆寺は無休となっていますが、いかがでしょうか。,榛名里見地区ナシ園ですが、法隆寺は無休となっておりますので、杉山様のご都合で観光できますが、いかがでしょうか。
s00000585,system,好意的に承知する,客が希望する交通手段 客がインドア派かアウトドア派か,車 アウトドア,お車で行かれるのですね。アウトドア好きのお客様にはぴったりだと思います。,アウトドア好きのお客様ならきっと気に入ると思います。交通手段も車が便利だと思います。
s00001510,system,情報を教える,観光地の名称 観光地のお土産 観光地の設備,八女市上陽地区一円のほたる 不明 障害者への対応あり,八女市上陽地区一円のほたるは障害者の方への対応がございます。名産のお土産は不明です。,八女市上陽地区一円のほたるの名物のお土産は不明ですが、障害者の方への対応はございます。
s00001325,system,情報を教える,観光地の名称 観光地におすすめな時期 観光地の最寄り駅,人形芝居えびす座 夏 八日市,人形芝居えびす座の最寄り駅は八日市でおすすめの季節は夏です。,人形芝居えびす座は夏がおすすめで、最寄り駅は八日市になります。
s00002621,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の手荷物預かりの有無 観光地の利用可能なキャッシュレス決済,百尺観音 あり クレジットカード,百尺観音は手荷物預かりがございますので、手ぶらで観光ができます。またクレジットカードも利用可能ですが、いかがでしょうか。,百尺観音はクレジットカードも利用可能ですし、手荷物預かりもございますが、いかがでしょうか。
s00000324,system,好意的に承知する,客の観光の同行者 客が観光にかけたい時間,歴史好き 未定,歴史好きの同行者の方を行かれるのですね。時間制限もなしということで承りました。,承知いたしました。歴史好きの方とご一緒に行かれるのですね。時間制限も特にないとのことで、お任せ下さい。
s00000181,system,好意的に承知する,客の観光の同行者 客が希望する交通手段,女性 公共交通機関,同行者の方は女性で、公共交通機関をご希望とのことですね。承知いたしました。,公共交通機関をご希望で女性の方がご同行者ですね。承りました。
s00001163,system,情報を教える,観光地の名称 観光地のジャンル 観光地の定休日,つがる地球村オートキャンプ場 プール 第4火曜,つがる地球村オートキャンプ場はプールがあり、第4火曜が定休日となっております。,つがる地球村オートキャンプ場は第4火曜定休でプールがございます。
s00000346,system,好意的に承知する,客の観光の同行者 客の希望の観光時間帯,なし 未定,おひとり様でご観光ですね。時間については未定とのことで承りました。,おひとり様でご希望の時間帯は未定ですね。承知いたしました。
s00001151,system,情報を教える,観光地の名称 観光地がインドアかアウトドアか,柏原市観光ぶどうセンター 不明,柏原市観光ぶどうセンターはインドアかアウトドアか不明となっております。,柏原市観光ぶどうセンターですが、インドアかアウトドアかはわかりかねます。
s00002118,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の定休日,有峰湖 土～月曜、展示替えのための臨時休館あり,有峰湖は土～月曜、展示替えのための臨時休館がありますが、いかがでしょうか。,有峰湖はいかがですか。土～月曜、展示替えのための臨時休館がありますが、それ以外の曜日は開いています。
s00001689,system,情報を教える,観光地の名称 観光地の設備 観光地の駐車場の料金,フェスタ立花 障害者への対応なし 大型6台,フェスタ立花は障害者の方への対応はございません。駐車場は大型が6台まで止められます。,フェスタ立花は大型6台まで止められますが、障害者の方への対応はございません。
s00001472,system,情報を教える,観光地の名称 観光地におすすめな人 観光地におすすめな時期,ハーブの里・響きの森ミントレイノ 家族 秋,ハーブの里・響きの森ミントレイノはご家族向けの観光施設になります。季節は秋がおすすめです。,秋にご家族で訪れるのならハーブの里・響きの森ミントレイノがおすすめです。
s00000006,system,別れの挨拶をする,,,本日はありがとうございました。,本日はご来店ありがとうございました。またのご利用お待ちしております。
s00000483,system,好意的に承知する,客が希望する観光ジャンル 客が希望する交通手段,記念碑・像 電車,記念碑・像をご希望で交通手段は電車ですね。かしこまりました。,電車で行ける記念碑・像をご希望ですね。承知いたしました。
s00001178,system,情報を教える,観光地の名称 観光地のジャンル 観光地におすすめな人,しん窯 青花 繁華街・町並み・散歩道 女性,しん窯 青花は女性の方におすすめの繁華街・町並み・散歩道になります。,女性の方におすすめの繁華街・町並み・散歩道ならしん窯 青花がいいですね。
s00000928,system,質問する,客が希望する観光ジャンル 客の希望の観光時間帯,? ?,どのような観光地がご希望ですか。時間帯は何時くらいがよろしいですか。,ご希望の観光のジャンルと時間帯を教えていただけますでしょうか。
s00002373,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の車でのアクセス 観光地の電話番号,曼荼羅寺 小郡萩道路絵堂ICから国道490・262号経由20km30分 0957-73-3133,曼荼羅寺は小郡萩道路絵堂ICから国道490・262号経由で20km30分くらいですがいかがでしょうか。電話番号は0957-73-3133になります。,お車でなら小郡萩道路絵堂ICから国道490・262号経由で20km30分くらいで曼荼羅寺に到着しますが、いかがでしょうか。道に迷われた時のため電話番号は0957-73-3133になります。
