id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
s00000239,system,好意的に承知する,客の観光の同行者 客が希望する観光の季節,家族 夏,"夏に家族で観光なんて良いですね.","夏に家族で観光ですか.素敵です."
s00002350,system,観光地の情報を使って客におすすめする,観光地の名称 観光地におすすめな時期 観光地の料金,こんぶくろ池自然博物公園 冬 大人2000円、小人1000円、4歳～小学生未満800円、1kg超過につき1000円,"こんぶくろ池自然博物公園は冬におすすめの観光スポットです.大人2000円,小人1000円,4歳～小学生未満800円,1kg超過につき1000円という料金で楽しめますよ.","冬にこんぶくろ池自然博物公園を観光するのはいかがですか.料金は大人2000円,小人1000円,4歳～小学生未満800円,1kg超過につき1000円となっております"
s00002169,system,観光地の情報を使って客におすすめする,客の名前（※） 観光地の名称 観光地の定休日,杉山 榛名里見地区ナシ園 法隆寺：無休,"杉山様,榛名里見地区ナシ園はいかがですか?法隆寺は無休で営業しているので,いつ訪れても大丈夫ですよ.","杉山様におすすめの観光スポットは榛名里見地区ナシ園です.法隆寺は定休日はありませんので,いつ訪れても楽しめますよ."
s00000585,system,好意的に承知する,客が希望する交通手段 客がインドア派かアウトドア派か,車 アウトドア,"車でアウトドアなんて素敵です.","車で観光なさるんですね.アウトドアなんて素敵ですね."
s00001510,system,情報を教える,観光地の名称 観光地のお土産 観光地の設備,八女市上陽地区一円のほたる 不明 障害者への対応あり,"八女市上陽地区一円のほたるは,障害者の方でも安心してご利用いただけますよ.お土産が売っているかどうかは分かりません.","八女市上陽地区一円のほたるはお土産があるかどうかは分かりませんが,設備が整っているので障害者の方でもご利用いただけます."
s00001325,system,情報を教える,観光地の名称 観光地におすすめな時期 観光地の最寄り駅,人形芝居えびす座 夏 八日市,"人形芝居えびす座は夏に訪れるのがおすすめです.最寄り駅は八日市駅です.","夏に訪れるのでしたら人形芝居えびす座がいいですよ.八日市駅が最寄り駅です."
s00002621,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の手荷物預かりの有無 観光地の利用可能なキャッシュレス決済,百尺観音 あり クレジットカード,"百尺観音は、クレジットカード決済もできるのでおすすめです.手荷物も預かってくれますよ.","百尺観音がおすすめです.手荷物の預かりもしてくれますし,クレジットカード決済にも対応しています."
s00000324,system,好意的に承知する,客の観光の同行者 客が観光にかけたい時間,歴史好き 未定,"歴史好きの方と一緒に観光なさるんですね.時間を決めずにゆっくり観光するのもいいですね.","歴史好きの方と時間を気にせずに観光するのも素敵ですよね."
s00000181,system,好意的に承知する,客の観光の同行者 客が希望する交通手段,女性 公共交通機関,"女性の方と公共交通機関を利用して観光するのですね.良いですね.","女性の方と観光なさるんですね.公共交通機関を使ってゆったり観光するのも素敵ですね."
s00001163,system,情報を教える,観光地の名称 観光地のジャンル 観光地の定休日,つがる地球村オートキャンプ場 プール 第4火曜,"つがる地球村オートキャンプ場は,プールが楽しめるスポットです.第４火曜が定休日です.","つがる地球村オートキャンプ場では,プールが楽しめます.定休日は第4火曜日となっています."
s00000346,system,好意的に承知する,客の観光の同行者 客の希望の観光時間帯,なし 未定,"時間帯はまだ決めていらっしゃらないんですね.一人旅なんて良いですね.","時間を決めない,一人の観光もおしゃれで素敵ですね."
s00001151,system,情報を教える,観光地の名称 観光地がインドアかアウトドアか,柏原市観光ぶどうセンター 不明,"柏原市観光ぶどうセンターは、インドアな施設なのかアウトドアな施設なのかはわかりません.","柏原市観光ぶどうセンターは、屋内を観光するのか屋外を観光するのかはわかりかねます."
