id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
s00001244,system,情報を教える,観光地の名称 観光地の駐車場の有無 観光地の料金,日本二十六聖人殉教地 不明 デイキャンプサイト使用料1000円、別途入場料,日本二十六聖人殉教地ですが駐車場があるかは分かりません。デイキャンプサイト使用料1000円ですが別途入場料が必要になりますね。,日本二十六聖人殉教地はデイキャンプサイト使用料1000円プラス別途入場料が必要となっています。ちなみに駐車場があるかは不明ですね。
s00002579,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の利用可能なキャッシュレス決済 観光地の設備,サナシオン・スパ バーコード決済 乳幼児への対応なし,サナシオン・スパは乳幼児への対応はありません。支払い時はバーコード決済が使えますよ。,サナシオン・スパは乳幼児への対応が出来ないみたいです。ですが、支払時にバーコード決済が可能になっていますよ。
s00002303,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の営業時間 観光地におすすめな人,千畳敷カール 河川敷車止めの開放は花期のみ 女性,千畳敷カールは女性の方にお勧めですね。ただ河川敷車止めの開放は花期のみなのでその点は注意ですね。,女性であれば千畳敷カールも楽しめると思います。河川敷車止めの開放は花期のみと限定はされていますが良い場所ですよ。
s00002171,system,観光地の情報を使って客におすすめする,客の名前（※） 観光地の名称 観光地の公共交通機関でのアクセス,斎藤 もみじ谷大吊橋 ＪＲ下呂駅→徒歩10分,斎藤様、もみじ谷大吊橋でしたらＪＲ下呂駅から徒歩10分で行けますよ。,斎藤様がご希望のもみじ谷大吊橋はＪＲ下呂駅からなら徒歩10分という近い場所に有りますね。
s00002427,system,観光地の情報を使って客におすすめする,観光地の名称 観光地におすすめな人 観光地の電話番号,箱根強羅公園 箱根クラフトハウス 友達 088-841-2437,箱根強羅公園 箱根クラフトハウスの電話番号なら088-841-2437となっています。お友達と行かれるならお勧めですよ。,友達と一緒のご旅行で有れば箱根強羅公園 箱根クラフトハウスがお勧めですね。もし行かれるのであれば電話番号をお教えしておきますね。088-841-2437になります。
s00001462,system,情報を教える,観光地の名称 観光地におすすめな人 観光地におすすめな時期,観音山梅の里梅園 女性 春,観音山梅の里梅園は特に春が綺麗ですね。女性同士で行くなら絶対にお勧めです。,女性でのご旅行でしたら観音山梅の里梅園はいかがでしょうか。春は特におすすめとなっています。
s00001121,system,情報を教える,観光地の名称 観光地の設備,会津新選組記念館 障害者への対応あり,会津新選組記念館では障がい者の方も問題なく楽しめるかと思います。,会津新選組記念館では障がい者に対応した設備がありますね。
s00002313,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の公共交通機関でのアクセス 観光地の定休日,池めぐり自然探勝路 ＪＲ萩駅→萩循環まぁーるバス西回り利用、バス停：菊ケ浜入口下車、徒歩すぐ 火・水曜、11月下旬～4月下旬は冬期休業,池めぐり自然探勝路はＪＲ萩駅から萩循環まぁーるバス西回りで菊ケ浜入口で下車すると歩いてすぐですよ。火・水曜が定休日で、11月下旬～4月下旬は冬期休業なのでお気をつけください。,火・水曜がお休みで、11月下旬～4月下旬は冬期休業ではあるのですが、池めぐり自然探勝路はいかがでしょうか。萩循環まぁーるバス西回りでJR萩駅から菊ケ浜入口までいけますし、そこからは歩いてすぐ着きますよ。
s00001045,system,情報を教える,客の名前（※） 観光地の名称 観光地のお土産,竹内 洞川温泉郷のほたる 伝統工芸品,竹内様、伝統工芸品がご希望でしたら洞川温泉郷のほたるが良いかなと思います。,竹内様、洞川温泉郷のほたるは伝統工芸品が有名ですね。
s00000584,system,好意的に承知する,客が希望する交通手段 客がインドア派かアウトドア派か,車 インドア,インドア多めのご旅行で、車で移動できるプランをご提案させて頂きますね。,なるべく建物内が多めの旅行をご希望ですね。車で回れる良い旅行になるように色々ご提案させて頂きますね！
