id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
s00001513,system,情報を教える,観光地の名称 観光地のお土産 観光地の設備,木崎湖 不明 障害者への対応なし,木崎湖で買えるお土産はあいにく存じません。また、バリアフリー化はされていません,木崎湖のお土産に関しては分かりません。障害者の観光ケアがないので注意が必要です
s00001906,system,情報を教える,観光地の名称 観光地の飲食物持ち込みの可否 観光地の喫煙可否,原農園 不明 不可能,原農園に飲食物の持ち込みが可能かは分かりませんが、園内では全面禁煙です,原農園へは飲食物が持ち込めるかはっきりしません。喫煙はできません
s00002479,system,観光地の情報を使って客におすすめする,観光地の名称 観光地での観光の所要時間 観光地が雨天でも楽しめるか,大原海水浴場 60分以上90分未満 可能,大原海水浴場なら60分から90分程度の滞在で堪能でき、雨でも楽しめるのでおすすめです,60分～90分ほどお時間があれば、雨天でも満喫できる大原海水浴場が良いですよ
s00002509,system,観光地の情報を使って客におすすめする,観光地の名称 観光地におすすめな人 観光地が雨天でも楽しめるか,ホテル・ロッジ舞洲・森とリルのBBQフィールド 家族 可能,ホテル・ロッジ舞洲・森とリルのBBQフィールドは家族連れに最適で、雨天でも楽しめるのでイチ押しですよ,家族で行くならホテル・ロッジ舞洲・森とリルのBBQフィールドが雨でも楽しめるのでおすすめです
s00002011,system,情報を教える,観光地の名称 観光地の広さ 観光地の予約要否,歴史資料館 不明 不可能,歴史資料館の広さは分かりかねます。また、事前予約は不可能です,歴史資料館がどれくらい大きいか存じません。予約はできないので気をつけてください
s00000034,system,好意的に承知する,客が希望する観光ジャンル,プール,プールに行かれたいのですね。とても良い案です,観光先がプールなら最高ですよね
s00002368,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の公共交通機関でのアクセス 観光地におすすめな時期,川場村りんご園 ＪＲ帯広駅→十勝バス、柘殖バス士幌・糠平行きで1時間5分、バス停：上士幌下車、車15分 秋,川場村りんご園へは、ＪＲ帯広駅から十勝バス、柘殖バス士幌・糠平行きで1時間5分です。最寄りのバス停は上士幌で、乗車時間は15分です。秋に訪れるのが一番おすすめです,公共交通機関を利用して川場村りんご園へ行くには、ＪＲ帯広駅から十勝バス、柘殖バス士幌・糠平行きで1時間5分、バス停：上士幌で下車です。乗車時間は15分ほどなので便利ですよ。ベストシーズンの秋に行かれるのが良いですよ
s00001859,system,情報を教える,観光地の名称 観光地の手荷物預かりの有無 観光地のすいている曜日，時間帯,高森峠千本桜 不明 平日の午後,高森峠千本桜の見学時には手荷物預かりがあるかは分かりません。また、平日の午後が空いていますよ。,高森峠千本桜を訪れる際、手荷物を預けられるかどうか存じません。混雑を避けるなら平日の午後が空いています
s00002428,system,観光地の情報を使って客におすすめする,観光地の名称 観光地におすすめな人 観光地の電話番号,地球市民交流センター 女性 0797-86-6641,地球市民交流センターなら女性におすすめで、直通電話の0797-86-6641もあり心配無用です,地球市民交流センターの電話番号は0797-86-6641で、女性に適した観光箇所でおすすめできます
s00001741,system,情報を教える,観光地の名称 観光地がインドアかアウトドアか 観光地の設備,旧小林冩真館 アウトドア ペットへの対応あり,旧小林冩真館はアウトドア施設となっておりまして、同伴ペットへのサービスもございます,アウトドアの旧小林冩真館はペットへの対応もあります
s00000264,system,好意的に承知する,客が希望する観光ジャンル 客の観光の同行者,島 友達,島にお友達と行かれたいんですね。楽しくていいですよね,友達と島に行くなら盛り上がって良いですね
s00001641,system,情報を教える,観光地の名称 観光地の設備 観光地の撮影可否,渡月橋 乳幼児への対応なし 可能,渡月橋では残念ながら乳幼児への対応はありませんが、写真撮影は可能です,渡月橋はベビーカーなど乳幼児への特別サービスはないですけど、写真なら存分に撮影いただけますよ
s00000812,system,好意的に承知する,客の本日の交通手段 客の本日の同行者,車 恋人,恋人と車で行かれるなんてロマンチックで良いですね,車で現地に向かって、しかも恋人となんて最高ですよね
s00001909,system,情報を教える,観光地の名称 観光地の飲食物持ち込みの可否 観光地の喫煙可否,湊山公園 可能 不可能,湊山公園へは飲食物の持ち込みができますが、喫煙は不可能です,湊山公園は全面禁煙となっています。ただ、飲食物の持ち込みは大丈夫です
s00000926,system,質問する,客が希望する観光ジャンル 客が観光にかけたい時間,? ?,どのような観光をご希望されていますか。また、お時間はどれくらいありますか,観光先のジャンルはどのようなものをお探しですか。長め短め、観光時間のご希望はございますか
