id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
s00001708,system,情報を教える,観光地の名称 観光地の設備 観光地の広さ,川越市蔵造り資料館 ペットへの対応なし 一日あれば十分見て回れるような広さ,川越市蔵造り資料館は適度な広さですが、ペットは不可です。,川越市蔵造り資料館はペットの対応はしていませんが、ちょうどよい大きさです。
s00000904,system,質問する,客の観光の同行者 客が観光にかけたい時間,? ?,同行者はいらっしゃいますか。あと、どれくらいの時間で観光する予定ですか。,同行者の数と観光日数を教えてください。
s00002314,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の車でのアクセス 観光地の定休日,稲佐山公園ドッグラン 北陸道富山西ICから県道41号経由8km20分 月曜、展示替え期間,稲佐山公園ドッグランは定休日が月曜日と展示替え時で、北陸道富山西ICから県道41号経由8kmで20分ほどで着くことができますよ。,稲佐山公園ドッグランは月曜、展示替え期間は定休日ですが、北陸道富山西ICから県道41号経由8km20分ほどで行くことができるのでおすすめです。
s00001292,system,情報を教える,観光地の名称 観光地の車でのアクセス 観光地の電話番号,リザンシーパークビーチ 新東名高速静岡SAから国道362号、県道77号経由44km1時間30分 0143-83-3311,リザンシーパークビーチは新東名高速静岡SAから国道362号、県道77号経由44km1時間30分ほどの所にあります。それと、電話番号は0143-83-3311です。,新東名高速静岡SAから国道362号、県道77号経由44km1時間30分の場所にあるリザンシーパークビーチの電話番号は0143-83-3311です。
s00001744,system,情報を教える,観光地の名称 観光地がインドアかアウトドアか 観光地の設備,江川海岸潮干狩場 アウトドア ペットへの対応なし,観光地の江川海岸潮干狩場はアウトドアに最適ですが、ペットの対応はしていません。,アウトドアにオススメの江川海岸潮干狩場ですが、ペットは不可になっております。
s00000384,system,好意的に承知する,客の観光の同行者 客の希望の観光時間帯,ペット 朝,ペットもご一緒なんですね。朝のご希望も承知しました。,朝の観光は良いですよね。ペットもお連れということで楽しそうですね。
s00002559,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の設備 観光地の予約要否,石切劔箭神社 ペットへの対応あり 可能,石切劔箭神社は予約もできますし、ペットも連れていけますよ。,予約、ペット可の石切劔箭神社はおすすめです。
s00000180,system,好意的に承知する,客の観光の同行者 客が希望する交通手段,女性 電車,同行者の女性と電車をご希望ですね。承知いたしました。,分かりました。女性と一緒に電車で観光は良いですね。
s00000175,system,好意的に承知する,客の観光の同行者 客が希望する交通手段,ペット 徒歩,ペットと一緒に歩いていきたいなんて楽しそうですね。,同行者はペット、徒歩希望ということで承りました。
s00002494,system,観光地の情報を使って客におすすめする,観光地の名称 観光地におすすめな人 観光地におすすめな時期,津和野川のほたる 恋人 夏,津和野川のほたるは夏に恋人と一緒がとてもおすすめなんです。,津和野川のほたるといえば恋人との夏のひとときを満喫するのに最適ですよ。
s00000013,system,好意的に承知する,客の観光の同行者,子供,お子さんとご一緒なんですね。,承知しました。お子さんと観光なんて素敵ですね。
s00000637,system,好意的に承知する,客が希望する観光の季節 客が観光にかけたい時間,希望なし 60分以上90分未満,1時間以上1時間半未満で季節はいつでもということですね。,60分以上90分未満であれば季節はおまかせということで承りました。
s00001838,system,情報を教える,観光地の名称 観光地の手荷物預かりの有無 観光地の予約要否,花江茶亭 不明 不明,花江茶亭ですが、手荷物の預かりや予約に関しては分かりかねます。,花江茶亭での手荷物預かりと予約については情報がございません。
s00000699,system,好意的に承知する,客の希望の観光時間帯 客が希望する観光の季節,夜 未定,夜であれば季節は気にしないということですね。,季節に希望なしということですが、夜に観光するには良いところだと思います。
s00001979,system,情報を教える,観光地の名称 観光地のおすすめイベント 観光地の撮影可否,江戸東京博物館 不明 不明,江戸東京博物館ではイベントの開催や、撮影可能なのかは不明です。,江戸東京博物館でのおすすめイベントや館内での撮影の可否については分かりかねます。
s00000586,system,好意的に承知する,客が希望する交通手段 客がインドア派かアウトドア派か,バス 特になし,バスで行ける場所であれば屋内屋外は気にされないということですね。,バスをご希望ですね。インドアでもアウトドアでも問題ないということで確認いたします。
s00001086,system,情報を教える,客の名前（※） 観光地の名称 観光地周辺のレストランの評価,藤井 玉湯川堤桜並木 4,藤井様、玉湯川堤桜並木周辺のレストランの評価は4となっております。,玉湯川堤桜並木周辺のレストランの評価は4ですが、藤井様いかがでしょう。
s00001865,system,情報を教える,観光地の名称 観光地の手荷物預かりの有無 観光地の広さ,勝浦朝市 不明 一日あれば十分見て回れるような広さ,勝浦朝市では手荷物預かりがあるかは分かりませんが、観光地はそれほど広くありません。,勝浦朝市は1日で見て廻れるほどの広さですが、手荷物の預かりがない可能性がありますのでご留意ください。
s00001296,system,情報を教える,観光地の名称 観光地の車でのアクセス 観光地での観光の所要時間,三徳山三佛寺 沖縄県那覇空港から国道58号、那覇中環状線経由7km25分 90分以上,三徳山三佛寺までは沖縄県那覇空港から国道58号、那覇中環状線経由7km25分、観光の所要時間は90以上です。,三徳山三佛寺は観光するのに90分以上掛かります。また、アクセスは沖縄県那覇空港から国道58号、那覇中環状線経由7km25分です。
s00000174,system,好意的に承知する,客の観光の同行者 客が希望する交通手段,ペット 公共交通機関,ペット可の公共交通機関ですね。承知しました。,公共交通機関でペット同伴ということですね。分かりました。
