id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
s00001708,system,情報を教える,観光地の名称 観光地の設備 観光地の広さ,川越市蔵造り資料館 ペットへの対応なし 一日あれば十分見て回れるような広さ,川越市蔵造り資料館は一日あれば十分見て回れるような広さです。ペットへの対応はありません。,川越市蔵造り資料館はペットへの対応なしで、広さは一日あれば十分見て回れるような広さです。
s00000904,system,質問する,客の観光の同行者 客が観光にかけたい時間,? ?,どなたと一緒にどのくらいの観光時間をご希望でしょうか。,観光に費やすお時間とご同行される方の人数を教えてください。
s00002314,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の車でのアクセス 観光地の定休日,稲佐山公園ドッグラン 北陸道富山西ICから県道41号経由8km20分 月曜、展示替え期間,稲佐山公園ドッグランは月曜、展示替え期間はお休みとなっていますが、北陸道富山西ICから県道41号経由8km20分と交通の便もよくお勧めです。,稲佐山公園ドッグランは北陸道富山西ICから県道41号経由8km20分と訪問しやすいのでお勧めですが、月曜、展示替え期間は定休日となっております。
s00001292,system,情報を教える,観光地の名称 観光地の車でのアクセス 観光地の電話番号,リザンシーパークビーチ 新東名高速静岡SAから国道362号、県道77号経由44km1時間30分 0143-83-3311,リザンシーパークビーチへのアクセス方法は新東名高速静岡SAから国道362号、県道77号経由44km1時間30分で電話番号は0143-83-3311です。,リザンシーパークビーチの電話番号は0143-83-3311でアクセス方法は新東名高速静岡SAから国道362号、県道77号経由44km1時間30分となっております。
s00001744,system,情報を教える,観光地の名称 観光地がインドアかアウトドアか 観光地の設備,江川海岸潮干狩場 アウトドア ペットへの対応なし,江川海岸潮干狩場は屋外施設ですが、ペットへの対応はしておりません。,江川海岸潮干狩場はペット対応なしの屋外潮干狩場です。
s00000384,system,好意的に承知する,客の観光の同行者 客の希望の観光時間帯,ペット 朝,朝からペットと散歩できてよかったですね。,朝からペットと一緒に観光できますよ。
s00002559,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の設備 観光地の予約要否,石切劔箭神社 ペットへの対応あり 可能,石切劔箭神社はペットへの対応あり予約することも可能で大変便利でお勧めです。。,石切劔箭神社は予約可能で、さらにペットへの対応もあり大変お勧めです。
s00000180,system,好意的に承知する,客の観光の同行者 客が希望する交通手段,女性 電車,女性と一緒に電車で観光されて羨ましいですね。,電車で女性と一緒に楽しい時間を過ごせて羨ましい限りです。
s00000175,system,好意的に承知する,客の観光の同行者 客が希望する交通手段,ペット 徒歩,ペットと一緒に歩いて行けるので良かったですね。,徒歩ですので、ペットと一緒で問題ありません。一緒に行けてよかったですね。
s00002494,system,観光地の情報を使って客におすすめする,観光地の名称 観光地におすすめな人 観光地におすすめな時期,津和野川のほたる 恋人 夏,夏に恋人同士で観光するなら津和野川のほたるがお勧めです。,津和野川のほたるは夏はとてもきれいで恋人同士で観光するにはぴったりですよ。
s00000013,system,好意的に承知する,客の観光の同行者,子供,子供と一緒に観光できてよかったですね。,観光も子供と一緒なら楽しそうですね。
s00000637,system,好意的に承知する,客が希望する観光の季節 客が観光にかけたい時間,希望なし 60分以上90分未満,60分以上90分未満でしたら季節問わず問題なく楽しめますよ。,季節を気にされないようでしたら、時間は60分以上90分未満となってしまいますが、十分楽しめる旅行になると思いますよ。
s00001838,system,情報を教える,観光地の名称 観光地の手荷物預かりの有無 観光地の予約要否,花江茶亭 不明 不明,花江茶亭では手荷物預かりや予約ができるか判りかねます。,花江茶亭は予約や手荷物預かりのサービスがあるかは判りません。
s00000699,system,好意的に承知する,客の希望の観光時間帯 客が希望する観光の季節,夜 未定,夜はどの季節でも綺麗ですので、よかったですね。,季節に関係なく夜は見どころがあり観光するには良い時間帯ですよ。良い時間に予定しましたね。
s00001979,system,情報を教える,観光地の名称 観光地のおすすめイベント 観光地の撮影可否,江戸東京博物館 不明 不明,江戸東京博物館はお勧めのイベントや写真撮影が可能かどうかは判りかねます。,江戸東京博物館ではお勧めのイベントが開催されているかどうか、また写真の撮影が可能かどうかは判りません。
s00000586,system,好意的に承知する,客が希望する交通手段 客がインドア派かアウトドア派か,バス 特になし,バスでしたらインドアアウトドアそちらでも楽しめますので、よい選択だと思います。,バスで行けますし、インドアアウトドアどちらが好きでも楽しめる場所ですので、よかったですね。
s00001086,system,情報を教える,客の名前（※） 観光地の名称 観光地周辺のレストランの評価,藤井 玉湯川堤桜並木 4,藤井様のご質問の玉湯川堤桜並木の周辺のレストランの評判は4です。,藤井様の気にされている玉湯川堤桜並木周辺のレストランの評価は4です。
s00001865,system,情報を教える,観光地の名称 観光地の手荷物預かりの有無 観光地の広さ,勝浦朝市 不明 一日あれば十分見て回れるような広さ,勝浦朝市は一日あれば十分見て回れるような広さですが、手荷物預かりサービスがあるかどうかは判りかねます。,勝浦朝市では手荷物預かりができるか不明で、一日あれば十分見て回れるような広さです。
s00001296,system,情報を教える,観光地の名称 観光地の車でのアクセス 観光地での観光の所要時間,三徳山三佛寺 沖縄県那覇空港から国道58号、那覇中環状線経由7km25分 90分以上,三徳山三佛寺での散策時間は大凡90分以上で、アクセス方法は沖縄県那覇空港から国道58号、那覇中環状線経由7km25分ほどです。,三徳山三佛寺へは沖縄県那覇空港から国道58号、那覇中環状線経由7km25分で、観光の所要時間は90分以上は掛かると思います。
s00000174,system,好意的に承知する,客の観光の同行者 客が希望する交通手段,ペット 公共交通機関,ペットを連れて公共交通機関に乗れてよかったですね。,公共交通機関をペット同伴で利用できるので、よかったですね。
