id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
s00001488,system,情報を教える,観光地の名称 観光地におすすめな人 観光地が雨天でも楽しめるか,富岡市立妙義 ふるさと美術館 恋人 可能,富岡市立妙義 ふるさと美術館は雨天でも問題ありませんので恋人との旅行にも良いと思います。,恋人と雨天でも楽しめる富岡市立妙義 ふるさと美術館がお勧めです。
s00001627,system,情報を教える,観光地の名称 観光地の飲食物持ち込みの可否 観光地の設備,Billboard Live TOKYO 不可能 ペットへの対応あり,Billboard Live TOKYOでは飲食の持ち込みは不可ですがペットへの対応はございます。,Billboard Live TOKYOではペットの対応があります。ただ飲食の持ち込みは不可になっております。
s00002170,system,観光地の情報を使って客におすすめする,客の名前（※） 観光地の名称 観光地の料金,小島 江戸川松戸フラワーライン 巡拝700円,小島様にお勧めなのが江戸川松戸フラワーラインです。巡拝は700円でございます。,巡拝が700円の江戸川松戸フラワーラインを小島様にお勧めいたします。
s00001252,system,情報を教える,観光地の名称 観光地におすすめな人 観光地の料金,高瀬湖 子供 2時間食べ放題デラウェア大人1000円、3歳～小学生500円。,高瀬湖では2時間食べ放題デラウェア大人1000円、3歳～小学生500円がございます。子供にもお勧めです。,子供と行ける高瀬湖では2時間食べ放題デラウェア大人1000円、3歳～小学生500円で楽しめます。
s00001889,system,情報を教える,観光地の名称 観光地の飲食物持ち込みの可否 観光地の撮影可否,雲仙ビードロ美術館 可能 不明,雲仙ビードロ美術館では飲食の持ち込みは可能になっております。ただ撮影ができるかはは不明です。,雲仙ビードロ美術館は撮影ができるのかは不明ですが飲食の持ち込みは可能になっております。
s00002046,system,情報を教える,観光地の名称 観光地の新型コロナウイルス感染対策 観光地の喫煙可否,夢のつり橋 入場時のアルコール消毒とマスクの着用 可能,夢のつり橋では入場時のアルコール消毒とマスクの着用をお願いしておりますが喫煙は可能になっております。,夢のつり橋は喫煙可能ですが入場時のアルコール消毒とマスクの着用はお願いしております。
s00001813,system,情報を教える,観光地の名称 観光地がインドアかアウトドアか 観光地のWi-Fiの有無,びわ湖観光船オーミマリン 不明 なし,びわ湖観光船オーミマリンはWi-Fiがございません。また室内なのか外の施設なのかは不明です。,びわ湖観光船オーミマリンは室内なのか外の施設なのかが不明です。またWi-Fiはございません。
s00001593,system,情報を教える,観光地の名称 観光地の設備 観光地のWi-Fiの有無,道の駅 たいじ ペットへの対応なし あり,道の駅 たいじはペットへの対応はありませんがWi-Fiはございます。,道の駅 たいじにはWi-Fiがございます。ただペットへの対応はございません。
s00000134,system,好意的に承知する,客の観光の同行者 客が希望する交通手段,乳幼児 未定,乳幼児がいらっしゃても問題ございませんし交通手段も指定はございませんのでご安心ください。,交通手段に指定はございません。また乳幼児がいても全く問題はございません。
s00001849,system,情報を教える,観光地の名称 観光地の手荷物預かりの有無 観光地の喫煙可否,尼崎市記念公園 不明 不可能,尼崎市記念公園では手荷物の預かりは不明です。また喫煙は不可になっております。,尼崎市記念公園では喫煙が不可になっております。手荷物の預かりは不明でございます。
s00001673,system,情報を教える,観光地の名称 観光地の設備 観光地の喫煙可否,東山動植物園 ペットへの対応あり 不明,東山動植物園ではペットへの対応はございますが喫煙は不可になっております。,東山動植物園では喫煙は不可になっておりますがペットへの対応はございます。
